date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20160414|0:35|21|Neven Rihtar|Inga Sadaić|18|Filip Jagar|Lucija Buchberger|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|doubles
20160414|0:35|18|Neven Rihtar|Inga Sadaić|21|Filip Jagar|Lucija Buchberger|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|doubles
20160414|0:35|21|Neven Rihtar|Inga Sadaić|19|Filip Jagar|Lucija Buchberger|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|doubles
20160414||Walkover Win|Borna Drvodelic|Dora Drvodelic|Walkover Loss|Mikkel Normann|Iza Salehar|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|doubles
20160414|0:41|15|Peter Roenn Stensaeth|none|21|Philip Birker|none|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|singles
20160414|0:41|21|Peter Roenn Stensaeth|none|13|Philip Birker|none|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|singles
20160414|0:41|21|Peter Roenn Stensaeth|none|11|Philip Birker|none|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|singles
20160414|0:39|21|Igor Cimbur|none|18|Rinoy Manavalan|none|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|singles
20160414|0:39|16|Igor Cimbur|none|21|Rinoy Manavalan|none|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|singles
20160414|0:39|21|Igor Cimbur|none|14|Rinoy Manavalan|none|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|singles
20160414|0:20|21|Thibault Bernetti|none|12|Dasen Jardas|none|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|singles
20160414|0:20|21|Thibault Bernetti|none|8|Dasen Jardas|none|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|singles
20160414|0:27|21|Filip Spoljarec|none|14|Balazs Szenjai|none|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|singles
20160414|0:27|21|Filip Spoljarec|none|11|Balazs Szenjai|none|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|singles
20160414|0:28|21|Gergo Pytel|none|19|Kevin Strobl|none|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|singles
20160414|0:28|21|Gergo Pytel|none|19|Kevin Strobl|none|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|singles
20160414|0:21|21|Jorgen Rosenlund|none|14|Zoltan Szele|none|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|singles
20160414|0:21|21|Jorgen Rosenlund|none|9|Zoltan Szele|none|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|singles
20160414|0:20|21|Romain Eudeline|none|9|Dominik Doko|none|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|singles
20160414|0:20|21|Romain Eudeline|none|13|Dominik Doko|none|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|singles
20160414|0:18|21|Jiri Louda|none|6|Marcell Granat|none|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|singles
20160414|0:18|21|Jiri Louda|none|8|Marcell Granat|none|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|singles
20160414|0:42|15|Aljosa Turk|none|21|Michael Giesinger|none|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|singles
20160414|0:42|21|Aljosa Turk|none|12|Michael Giesinger|none|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|singles
20160414|0:42|21|Aljosa Turk|none|14|Michael Giesinger|none|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|singles
20160414|0:20|21|Andraz Krapez|none|16|Luka Ban|none|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|singles
20160414|0:20|21|Andraz Krapez|none|17|Luka Ban|none|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|singles
20160414|0:15|21|Wisnu Haryo Putro|none|7|Jan Rožman|none|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|singles
20160414|0:15|21|Wisnu Haryo Putro|none|7|Jan Rožman|none|0048BE93-01A5-441E-9AA4-A1CA2C720C7B|singles
