date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180405||Walkover Win|Kajetan JEZIAK|Arianna BIEL|Walkover Loss|Tomáš POSPÍŠIL|Anna Natálie KOHOUTOVÁ|00C31977-5FAE-4649-A4D6-A792C404FE8A|doubles
20180405|0:39|24|Mikolaj SZYMANOWSKI|Zuzanna JANKOWSKA|22|Petr JANOUŠEK|Veronika VESELÁ|00C31977-5FAE-4649-A4D6-A792C404FE8A|doubles
20180405|0:39|19|Mikolaj SZYMANOWSKI|Zuzanna JANKOWSKA|21|Petr JANOUŠEK|Veronika VESELÁ|00C31977-5FAE-4649-A4D6-A792C404FE8A|doubles
20180405|0:39|21|Mikolaj SZYMANOWSKI|Zuzanna JANKOWSKA|18|Petr JANOUŠEK|Veronika VESELÁ|00C31977-5FAE-4649-A4D6-A792C404FE8A|doubles
20180405|0:18|21|Jakub REICHMAN|Sunčica SERTIĆ|12|Dominik KOPŘIVA|Markéta KOHOUTOVÁ|00C31977-5FAE-4649-A4D6-A792C404FE8A|doubles
20180405|0:18|21|Jakub REICHMAN|Sunčica SERTIĆ|10|Dominik KOPŘIVA|Markéta KOHOUTOVÁ|00C31977-5FAE-4649-A4D6-A792C404FE8A|doubles
20180405|0:28|21|Gustav ANDREE|Emily WU|14|David SMUTNÝ|Lucie METZOVÁ|00C31977-5FAE-4649-A4D6-A792C404FE8A|doubles
20180405|0:28|21|Gustav ANDREE|Emily WU|15|David SMUTNÝ|Lucie METZOVÁ|00C31977-5FAE-4649-A4D6-A792C404FE8A|doubles
20180405|0:17|21|Adam JEČMÍNEK|Linda ŠMIKMÁTOROVÁ|14|Roberts Renars MISCENKO|Annemarija Lorena PRIEDE|00C31977-5FAE-4649-A4D6-A792C404FE8A|doubles
20180405|0:17|21|Adam JEČMÍNEK|Linda ŠMIKMÁTOROVÁ|16|Roberts Renars MISCENKO|Annemarija Lorena PRIEDE|00C31977-5FAE-4649-A4D6-A792C404FE8A|doubles
20180405|0:20|21|Peter DUBECKY|Natalia TOMCOVA|10|Uladzimir KRYVASHEYEU|Aliaksandra VASILEUSKAYA|00C31977-5FAE-4649-A4D6-A792C404FE8A|doubles
20180405|0:20|23|Peter DUBECKY|Natalia TOMCOVA|21|Uladzimir KRYVASHEYEU|Aliaksandra VASILEUSKAYA|00C31977-5FAE-4649-A4D6-A792C404FE8A|doubles
20180405|0:24|21|Daniel FÜRST|Natalie ŠTĚŘÍKOVÁ|16|Iljo VAN DELSEN|Lotte GEERTS|00C31977-5FAE-4649-A4D6-A792C404FE8A|doubles
20180405|0:24|21|Daniel FÜRST|Natalie ŠTĚŘÍKOVÁ|17|Iljo VAN DELSEN|Lotte GEERTS|00C31977-5FAE-4649-A4D6-A792C404FE8A|doubles
20180405|0:22|21|Julian BLAUMOSER|Ronja HAMM|15|Adam MARŤÁN|Barbora KORTUSOVÁ|00C31977-5FAE-4649-A4D6-A792C404FE8A|doubles
20180405|0:22|21|Julian BLAUMOSER|Ronja HAMM|17|Adam MARŤÁN|Barbora KORTUSOVÁ|00C31977-5FAE-4649-A4D6-A792C404FE8A|doubles
20180405|0:35|22|Adam ŠULC|Klára ŠILHAVÁ|20|Benedict VANHOUTTE|Evy TAVEIRNE|00C31977-5FAE-4649-A4D6-A792C404FE8A|doubles
20180405|0:35|22|Adam ŠULC|Klára ŠILHAVÁ|24|Benedict VANHOUTTE|Evy TAVEIRNE|00C31977-5FAE-4649-A4D6-A792C404FE8A|doubles
20180405|0:35|21|Adam ŠULC|Klára ŠILHAVÁ|15|Benedict VANHOUTTE|Evy TAVEIRNE|00C31977-5FAE-4649-A4D6-A792C404FE8A|doubles
20180405|0:18|21|Jakub MATULA|Marie STUDENÁ|14|Boris KARPJAK|Sofia SLOSIARIKOVA|00C31977-5FAE-4649-A4D6-A792C404FE8A|doubles
20180405|0:18|21|Jakub MATULA|Marie STUDENÁ|18|Boris KARPJAK|Sofia SLOSIARIKOVA|00C31977-5FAE-4649-A4D6-A792C404FE8A|doubles
20180405|0:17|21|Barbara JANIČIĆ|none|11|Karolína HEJDUKOVÁ|none|00C31977-5FAE-4649-A4D6-A792C404FE8A|singles
20180405|0:17|21|Barbara JANIČIĆ|none|13|Karolína HEJDUKOVÁ|none|00C31977-5FAE-4649-A4D6-A792C404FE8A|singles
20180405|0:20|21|Marie RŮŽIČKOVÁ|none|6|Dunja ŠTRBENAC|none|00C31977-5FAE-4649-A4D6-A792C404FE8A|singles
20180405|0:20|21|Marie RŮŽIČKOVÁ|none|5|Dunja ŠTRBENAC|none|00C31977-5FAE-4649-A4D6-A792C404FE8A|singles
20180405|0:42|18|Olivia KADLECOVA|none|21|Karoline POTTENDORFER|none|00C31977-5FAE-4649-A4D6-A792C404FE8A|singles
20180405|0:42|21|Olivia KADLECOVA|none|17|Karoline POTTENDORFER|none|00C31977-5FAE-4649-A4D6-A792C404FE8A|singles
20180405|0:42|26|Olivia KADLECOVA|none|24|Karoline POTTENDORFER|none|00C31977-5FAE-4649-A4D6-A792C404FE8A|singles
20180405|0:24|21|Friederike Panmai RUDERT|none|18|Martina ŠEVČÍKOVÁ|none|00C31977-5FAE-4649-A4D6-A792C404FE8A|singles
20180405|0:24|21|Friederike Panmai RUDERT|none|15|Martina ŠEVČÍKOVÁ|none|00C31977-5FAE-4649-A4D6-A792C404FE8A|singles
20180405|0:25|21|Michaela TELEHANICOVA|none|14|Adéla KLAPALOVÁ|none|00C31977-5FAE-4649-A4D6-A792C404FE8A|singles
20180405|0:25|21|Michaela TELEHANICOVA|none|15|Adéla KLAPALOVÁ|none|00C31977-5FAE-4649-A4D6-A792C404FE8A|singles
20180405|0:40|12|Nina ZWAN|none|21|Mare VAN BRITSOM|none|00C31977-5FAE-4649-A4D6-A792C404FE8A|singles
20180405|0:40|21|Nina ZWAN|none|16|Mare VAN BRITSOM|none|00C31977-5FAE-4649-A4D6-A792C404FE8A|singles
20180405|0:40|21|Nina ZWAN|none|14|Mare VAN BRITSOM|none|00C31977-5FAE-4649-A4D6-A792C404FE8A|singles
20180405|0:23|21|Šárka LÍBALOVÁ|none|14|Martyna KOWALCZYK|none|00C31977-5FAE-4649-A4D6-A792C404FE8A|singles
20180405|0:23|21|Šárka LÍBALOVÁ|none|15|Martyna KOWALCZYK|none|00C31977-5FAE-4649-A4D6-A792C404FE8A|singles
20180405|0:18|21|Lucie WAGNER|none|11|Julia DZIALUK|none|00C31977-5FAE-4649-A4D6-A792C404FE8A|singles
20180405|0:18|21|Lucie WAGNER|none|6|Julia DZIALUK|none|00C31977-5FAE-4649-A4D6-A792C404FE8A|singles
20180405|0:20|21|Radka ŠILHAVÁ|none|10|Zina HLAVACKOVA|none|00C31977-5FAE-4649-A4D6-A792C404FE8A|singles
20180405|0:20|21|Radka ŠILHAVÁ|none|14|Zina HLAVACKOVA|none|00C31977-5FAE-4649-A4D6-A792C404FE8A|singles
20180405|0:39|21|Dominika GAJDA|none|19|Klára PETRUŠKOVÁ|none|00C31977-5FAE-4649-A4D6-A792C404FE8A|singles
20180405|0:39|19|Dominika GAJDA|none|21|Klára PETRUŠKOVÁ|none|00C31977-5FAE-4649-A4D6-A792C404FE8A|singles
20180405|0:39|21|Dominika GAJDA|none|13|Klára PETRUŠKOVÁ|none|00C31977-5FAE-4649-A4D6-A792C404FE8A|singles
20180405|0:29|21|Patrycja KUSZMAR|none|18|Anna Natálie KOHOUTOVÁ|none|00C31977-5FAE-4649-A4D6-A792C404FE8A|singles
20180405|0:29|21|Patrycja KUSZMAR|none|18|Anna Natálie KOHOUTOVÁ|none|00C31977-5FAE-4649-A4D6-A792C404FE8A|singles
