date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20170711|0:09|21|Chun Ling Chong|Sin Er Ng|8|Yu Ming, Adam Lau|Sue Xin Tio|01542802-5A64-4015-97A5-FCB358008E7A|doubles
20170711|0:09|Walkover Win|Chun Ling Chong|Sin Er Ng|Walkover Loss|Yu Ming, Adam Lau|Sue Xin Tio|01542802-5A64-4015-97A5-FCB358008E7A|doubles
20170711|0:17|21|Muhammad Aiman Abd Malek|Nurul Farisha Abd Malek|11|Saran Nopphakao|Runshida Sukjai|01542802-5A64-4015-97A5-FCB358008E7A|doubles
20170711|0:17|21|Muhammad Aiman Abd Malek|Nurul Farisha Abd Malek|8|Saran Nopphakao|Runshida Sukjai|01542802-5A64-4015-97A5-FCB358008E7A|doubles
20170711|0:19|21|Muhammad Syawal Mohd Ismail |Desiree, Hao Shan Siow|11|Andreas Zbinden|Nadia Fankhauser|01542802-5A64-4015-97A5-FCB358008E7A|doubles
20170711|0:19|21|Muhammad Syawal Mohd Ismail |Desiree, Hao Shan Siow|15|Andreas Zbinden|Nadia Fankhauser|01542802-5A64-4015-97A5-FCB358008E7A|doubles
20170711|0:20|21|Zhen Ting Lim|Kah Mun Chin|11|Andrew Susanto|Maria Natalia Kartika Mainaky|01542802-5A64-4015-97A5-FCB358008E7A|doubles
20170711|0:20|21|Zhen Ting Lim|Kah Mun Chin|12|Andrew Susanto|Maria Natalia Kartika Mainaky|01542802-5A64-4015-97A5-FCB358008E7A|doubles
20170711|0:38|21|Choo Han Ch'Ng|Yi Xuan Goh|18|Aatish Lubah|Kobita Dokhee|01542802-5A64-4015-97A5-FCB358008E7A|doubles
20170711|0:38|18|Choo Han Ch'Ng|Yi Xuan Goh|21|Aatish Lubah|Kobita Dokhee|01542802-5A64-4015-97A5-FCB358008E7A|doubles
20170711|0:38|21|Choo Han Ch'Ng|Yi Xuan Goh|14|Aatish Lubah|Kobita Dokhee|01542802-5A64-4015-97A5-FCB358008E7A|doubles
20170711|0:18|21|Ahmad Maziri Mazlan |Peiy Yee, Payee Lim|6|Setthanan Piyawatcharavijit|Pattarasuda Chaiwan|01542802-5A64-4015-97A5-FCB358008E7A|doubles
20170711|0:18|21|Ahmad Maziri Mazlan |Peiy Yee, Payee Lim|13|Setthanan Piyawatcharavijit|Pattarasuda Chaiwan|01542802-5A64-4015-97A5-FCB358008E7A|doubles
20170711|0:19|21|Thanesh Veerappan|Wei Chyi Ti|14|Gurpartap Singh Dhaliwal|Dapasha Joshi|01542802-5A64-4015-97A5-FCB358008E7A|doubles
