date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20160611|0:53|16|Przemyslaw GAJDA|Julia WOJCIK|21|Patryk DARON|Kristina KOZEMPELOVA|03EBD4F5-706B-4720-906F-E7BF19608969|doubles
20160611|0:53|21|Przemyslaw GAJDA|Julia WOJCIK|17|Patryk DARON|Kristina KOZEMPELOVA|03EBD4F5-706B-4720-906F-E7BF19608969|doubles
20160611|0:53|21|Przemyslaw GAJDA|Julia WOJCIK|14|Patryk DARON|Kristina KOZEMPELOVA|03EBD4F5-706B-4720-906F-E7BF19608969|doubles
20160611|0:38|21|Kean KIGYOS|Petra HART|11|Dominik JUHNKE|Nikol SOLTESZ|03EBD4F5-706B-4720-906F-E7BF19608969|doubles
20160611|0:38|21|Kean KIGYOS|Petra HART|13|Dominik JUHNKE|Nikol SOLTESZ|03EBD4F5-706B-4720-906F-E7BF19608969|doubles
20160611|0:36|21|Vid MATANIĆ|Ivor ZEKAN|18|Dino BLAŽIĆ|Ivan GRUBIĆ|03EBD4F5-706B-4720-906F-E7BF19608969|doubles
20160611|0:36|21|Vid MATANIĆ|Ivor ZEKAN|3|Dino BLAŽIĆ|Ivan GRUBIĆ|03EBD4F5-706B-4720-906F-E7BF19608969|doubles
20160611|0:18|21|Roko PIPUNIĆ|none|5|Ivano KUKLA|none|03EBD4F5-706B-4720-906F-E7BF19608969|singles
20160611|0:18|21|Roko PIPUNIĆ|none|11|Ivano KUKLA|none|03EBD4F5-706B-4720-906F-E7BF19608969|singles
20160611|0:40|21|Mikolaj SZYMANOWSKI|Dominika GAJDA|8|Sebastian JASZKIEWICZ|Anna Natalie KOHOUTOVA|03EBD4F5-706B-4720-906F-E7BF19608969|doubles
20160611|0:40|21|Mikolaj SZYMANOWSKI|Dominika GAJDA|17|Sebastian JASZKIEWICZ|Anna Natalie KOHOUTOVA|03EBD4F5-706B-4720-906F-E7BF19608969|doubles
20160611|0:13|21|Karol BUDNY|Zuzanna JANKOWSKA|10|Ivan GOTESMAN|Sunčica SERTIĆ|03EBD4F5-706B-4720-906F-E7BF19608969|doubles
20160611|0:13|21|Karol BUDNY|Zuzanna JANKOWSKA|19|Ivan GOTESMAN|Sunčica SERTIĆ|03EBD4F5-706B-4720-906F-E7BF19608969|doubles
20160611|0:26|21|Patryk DARON|Przemyslaw GAJDA|10|Ivan KORUNDA|Roko PIPUNIĆ|03EBD4F5-706B-4720-906F-E7BF19608969|doubles
20160611|0:26|21|Patryk DARON|Przemyslaw GAJDA|13|Ivan KORUNDA|Roko PIPUNIĆ|03EBD4F5-706B-4720-906F-E7BF19608969|doubles
20160611|0:30|21|Vid MATANIĆ|none|12|Ivan GRUBIĆ|none|03EBD4F5-706B-4720-906F-E7BF19608969|singles
20160611|0:30|21|Vid MATANIĆ|none|15|Ivan GRUBIĆ|none|03EBD4F5-706B-4720-906F-E7BF19608969|singles
