date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20171214||21|Max Weisskirchen|none|19|Alex Vlaar|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Max Weisskirchen|none|18|Alex Vlaar|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Søren Hald|none|8|Samuel Hsiao|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||24|Søren Hald|none|22|Samuel Hsiao|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Fabio Caponio|none|18|Rory Easton|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Fabio Caponio|none|12|Rory Easton|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Christian Kirchmayr|none|19|Manuel Vazquez|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||8|Christian Kirchmayr|none|21|Manuel Vazquez|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Christian Kirchmayr|none|19|Manuel Vazquez|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||22|Johanna Magnusson|none|24|Iza Salehar|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Johanna Magnusson|none|15|Iza Salehar|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||24|Johanna Magnusson|none|22|Iza Salehar|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Lia Salehar|none|15|Anastasiia Semenova|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Lia Salehar|none|19|Anastasiia Semenova|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Bruno Carvalho|Mariana Chang|18|Thomas Bless|Jennifer Kobelt|042CA6E9-AA54-4A11-949B-6C065222BF51|doubles
20171214||22|Bruno Carvalho|Mariana Chang|24|Thomas Bless|Jennifer Kobelt|042CA6E9-AA54-4A11-949B-6C065222BF51|doubles
20171214||21|Bruno Carvalho|Mariana Chang|8|Thomas Bless|Jennifer Kobelt|042CA6E9-AA54-4A11-949B-6C065222BF51|doubles
20171214||21|Chirag Sen|none|18|Søren Hald|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||22|Chirag Sen|none|20|Søren Hald|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||11|Douglas Lidman|none|1|David Kim|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||Walkover Win|Douglas Lidman|none|Walkover Loss|David Kim|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Amalie Hertz|none|10|Amalie Schulz|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||22|Amalie Hertz|none|20|Amalie Schulz|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Devi Yunita Indah Sari|none|14|Helina Rüütel|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Devi Yunita Indah Sari|none|16|Helina Rüütel|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||16|Mateusz Swierczynski|none|21|Christian Kirchmayr|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||23|Mateusz Swierczynski|none|21|Christian Kirchmayr|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Mateusz Swierczynski|none|14|Christian Kirchmayr|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||15|Oliver Leydon-Davis|Susannah Leydon-Davis|21|Victor Liew|Ann-Louise Slee|042CA6E9-AA54-4A11-949B-6C065222BF51|doubles
20171214||21|Oliver Leydon-Davis|Susannah Leydon-Davis|10|Victor Liew|Ann-Louise Slee|042CA6E9-AA54-4A11-949B-6C065222BF51|doubles
20171214||21|Oliver Leydon-Davis|Susannah Leydon-Davis|10|Victor Liew|Ann-Louise Slee|042CA6E9-AA54-4A11-949B-6C065222BF51|doubles
20171214||21|Oleksandar Shmundyak|none|15|Philip Discher|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Oleksandar Shmundyak|none|19|Philip Discher|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Lukas Osele|none|13|Kari Gunnarsson|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Lukas Osele|none|11|Kari Gunnarsson|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Matteo Bellucci|none|12|Vladyslav Volnyanskiy|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Matteo Bellucci|none|16|Vladyslav Volnyanskiy|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Sara Penalver Pereira|none|11|Hanna Karkaus|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||16|Sara Penalver Pereira|none|21|Hanna Karkaus|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Sara Penalver Pereira|none|10|Hanna Karkaus|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Anna Thea Madsen|none|7|Dorotea Sutara|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Anna Thea Madsen|none|7|Dorotea Sutara|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Patrick Scheiel|Franziska Volkmann|16|Wisnu Haryo Putro|Chiara Passeri|042CA6E9-AA54-4A11-949B-6C065222BF51|doubles
20171214||21|Patrick Scheiel|Franziska Volkmann|15|Wisnu Haryo Putro|Chiara Passeri|042CA6E9-AA54-4A11-949B-6C065222BF51|doubles
20171214||21|Panji Akbar Sudrajat|none|17|Hannes Gerberich|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Panji Akbar Sudrajat|none|13|Hannes Gerberich|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Adrian Dziolko|none|14|Mads Christophersen|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||23|Adrian Dziolko|none|21|Mads Christophersen|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||24|Dmytro Zavadsky|none|22|Giovanni Toti|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||22|Dmytro Zavadsky|none|20|Giovanni Toti|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Anna Thea Madsen|none|5|Trine Villadsen|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Anna Thea Madsen|none|7|Trine Villadsen|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||28|Chirag Sen|none|26|Valeriy Atrashchenkov|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Chirag Sen|none|17|Valeriy Atrashchenkov|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Sara Penalver Pereira|none|11|Camilla Martens|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171214||21|Sara Penalver Pereira|none|9|Camilla Martens|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Max Weisskirchen|none|19|Alex Vlaar|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Max Weisskirchen|none|18|Alex Vlaar|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Søren Hald|none|8|Samuel Hsiao|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||24|Søren Hald|none|22|Samuel Hsiao|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Fabio Caponio|none|18|Rory Easton|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Fabio Caponio|none|12|Rory Easton|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Christian Kirchmayr|none|19|Manuel Vazquez|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||8|Christian Kirchmayr|none|21|Manuel Vazquez|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Christian Kirchmayr|none|19|Manuel Vazquez|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||22|Johanna Magnusson|none|24|Iza Salehar|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Johanna Magnusson|none|15|Iza Salehar|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||24|Johanna Magnusson|none|22|Iza Salehar|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Lia Salehar|none|15|Anastasiia Semenova|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Lia Salehar|none|19|Anastasiia Semenova|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Bruno Carvalho|Mariana Chang|18|Thomas Bless|Jennifer Kobelt|042CA6E9-AA54-4A11-949B-6C065222BF51|doubles
20171215||22|Bruno Carvalho|Mariana Chang|24|Thomas Bless|Jennifer Kobelt|042CA6E9-AA54-4A11-949B-6C065222BF51|doubles
20171215||21|Bruno Carvalho|Mariana Chang|8|Thomas Bless|Jennifer Kobelt|042CA6E9-AA54-4A11-949B-6C065222BF51|doubles
20171215||21|Chirag Sen|none|18|Søren Hald|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||22|Chirag Sen|none|20|Søren Hald|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||11|Douglas Lidman|none|1|David Kim|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||Walkover Win|Douglas Lidman|none|Walkover Loss|David Kim|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Amalie Hertz|none|10|Amalie Schulz|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||22|Amalie Hertz|none|20|Amalie Schulz|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Devi Yunita Indah Sari|none|14|Helina Rüütel|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Devi Yunita Indah Sari|none|16|Helina Rüütel|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||16|Mateusz Swierczynski|none|21|Christian Kirchmayr|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||23|Mateusz Swierczynski|none|21|Christian Kirchmayr|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Mateusz Swierczynski|none|14|Christian Kirchmayr|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||15|Oliver Leydon-Davis|Susannah Leydon-Davis|21|Victor Liew|Ann-Louise Slee|042CA6E9-AA54-4A11-949B-6C065222BF51|doubles
20171215||21|Oliver Leydon-Davis|Susannah Leydon-Davis|10|Victor Liew|Ann-Louise Slee|042CA6E9-AA54-4A11-949B-6C065222BF51|doubles
20171215||21|Oliver Leydon-Davis|Susannah Leydon-Davis|10|Victor Liew|Ann-Louise Slee|042CA6E9-AA54-4A11-949B-6C065222BF51|doubles
20171215||21|Oleksandar Shmundyak|none|15|Philip Discher|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Oleksandar Shmundyak|none|19|Philip Discher|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Lukas Osele|none|13|Kari Gunnarsson|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Lukas Osele|none|11|Kari Gunnarsson|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Matteo Bellucci|none|12|Vladyslav Volnyanskiy|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Matteo Bellucci|none|16|Vladyslav Volnyanskiy|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Sara Penalver Pereira|none|11|Hanna Karkaus|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||16|Sara Penalver Pereira|none|21|Hanna Karkaus|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Sara Penalver Pereira|none|10|Hanna Karkaus|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Anna Thea Madsen|none|7|Dorotea Sutara|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Anna Thea Madsen|none|7|Dorotea Sutara|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Patrick Scheiel|Franziska Volkmann|16|Wisnu Haryo Putro|Chiara Passeri|042CA6E9-AA54-4A11-949B-6C065222BF51|doubles
20171215||21|Patrick Scheiel|Franziska Volkmann|15|Wisnu Haryo Putro|Chiara Passeri|042CA6E9-AA54-4A11-949B-6C065222BF51|doubles
20171215||21|Panji Akbar Sudrajat|none|17|Hannes Gerberich|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Panji Akbar Sudrajat|none|13|Hannes Gerberich|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Adrian Dziolko|none|14|Mads Christophersen|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||23|Adrian Dziolko|none|21|Mads Christophersen|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||24|Dmytro Zavadsky|none|22|Giovanni Toti|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||22|Dmytro Zavadsky|none|20|Giovanni Toti|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Anna Thea Madsen|none|5|Trine Villadsen|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Anna Thea Madsen|none|7|Trine Villadsen|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||28|Chirag Sen|none|26|Valeriy Atrashchenkov|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Chirag Sen|none|17|Valeriy Atrashchenkov|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Sara Penalver Pereira|none|11|Camilla Martens|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171215||21|Sara Penalver Pereira|none|9|Camilla Martens|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171216||21|Max Weisskirchen|none|19|Alex Vlaar|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171216||21|Max Weisskirchen|none|18|Alex Vlaar|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171216||21|Søren Hald|none|8|Samuel Hsiao|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171216||24|Søren Hald|none|22|Samuel Hsiao|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171216||21|Fabio Caponio|none|18|Rory Easton|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171216||21|Fabio Caponio|none|12|Rory Easton|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171216||21|Christian Kirchmayr|none|19|Manuel Vazquez|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171216||8|Christian Kirchmayr|none|21|Manuel Vazquez|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171216||21|Christian Kirchmayr|none|19|Manuel Vazquez|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171216||22|Johanna Magnusson|none|24|Iza Salehar|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171216||21|Johanna Magnusson|none|15|Iza Salehar|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171216||24|Johanna Magnusson|none|22|Iza Salehar|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171216||21|Lia Salehar|none|15|Anastasiia Semenova|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171216||21|Lia Salehar|none|19|Anastasiia Semenova|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171216||21|Bruno Carvalho|Mariana Chang|18|Thomas Bless|Jennifer Kobelt|042CA6E9-AA54-4A11-949B-6C065222BF51|doubles
20171216||22|Bruno Carvalho|Mariana Chang|24|Thomas Bless|Jennifer Kobelt|042CA6E9-AA54-4A11-949B-6C065222BF51|doubles
20171216||21|Bruno Carvalho|Mariana Chang|8|Thomas Bless|Jennifer Kobelt|042CA6E9-AA54-4A11-949B-6C065222BF51|doubles
20171216||21|Chirag Sen|none|18|Søren Hald|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171216||22|Chirag Sen|none|20|Søren Hald|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171216||11|Douglas Lidman|none|1|David Kim|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171216||Walkover Win|Douglas Lidman|none|Walkover Loss|David Kim|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171216||21|Amalie Hertz|none|10|Amalie Schulz|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171216||22|Amalie Hertz|none|20|Amalie Schulz|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171216||21|Devi Yunita Indah Sari|none|14|Helina Rüütel|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171216||21|Devi Yunita Indah Sari|none|16|Helina Rüütel|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
20171216||16|Mateusz Swierczynski|none|21|Christian Kirchmayr|none|042CA6E9-AA54-4A11-949B-6C065222BF51|singles
