date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20150326||19|Indra Viki Okvana|Rosy Oktavia Pancasari|21|Arif Rasidi|Héloïse Le Moulec|060205C8-6EFA-47B4-B741-31CAA2AB7760|doubles
20150326||23|Indra Viki Okvana|Rosy Oktavia Pancasari|21|Arif Rasidi|Héloïse Le Moulec|060205C8-6EFA-47B4-B741-31CAA2AB7760|doubles
20150326||21|Indra Viki Okvana|Rosy Oktavia Pancasari|14|Arif Rasidi|Héloïse Le Moulec|060205C8-6EFA-47B4-B741-31CAA2AB7760|doubles
20150326||Walkover Win|Him Lam|none|Walkover Loss|Edwin Ekiring [9]|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
20150326||Walkover Win|Marin Baumann |none|Walkover Loss|Georgios Charalambidis|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
20150326||12|Yoann Turlan|none|21|Kari Gunnarsson|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
20150326||21|Yoann Turlan|none|18|Kari Gunnarsson|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
20150326||21|Yoann Turlan|none|15|Kari Gunnarsson|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
20150326||21|Ygor Coelho De Oliveira |none|18|Mohamed Abderrahime Belarbi|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
20150326||21|Ygor Coelho De Oliveira |none|12|Mohamed Abderrahime Belarbi|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
20150326||21|Philip Discher|none|15|Mathieu Perrin|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
20150326||21|Philip Discher|none|7|Mathieu Perrin|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
20150326||21|Ella Diehl|none|12|Héloïse Le Moulec|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
20150326||21|Ella Diehl|none|13|Héloïse Le Moulec|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
20150326||21|Olga Konon|none|6|Marie Batomene|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
20150326||21|Olga Konon|none|12|Marie Batomene|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
20150326||21|Josh Neil|none|11|Kyrill Schaffluetzel|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
20150326||21|Josh Neil|none|10|Kyrill Schaffluetzel|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
20150326||21|Natalia Koch Rohde|none|8|Marine Noblecourt|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
20150326||21|Natalia Koch Rohde|none|9|Marine Noblecourt|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
20150326||21|Ella Diehl|none|15|Rosy Oktavia Pancasari|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
20150326||23|Ella Diehl|none|21|Rosy Oktavia Pancasari|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
20150326||21|Matej Hlinican |none|11|Mateo Martinez|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
20150326||21|Matej Hlinican |none|8|Mateo Martinez|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
20150326||21|Indra Viki Okvana|Rosy Oktavia Pancasari|16|Gaetan Brethes|Marie Hermeline|060205C8-6EFA-47B4-B741-31CAA2AB7760|doubles
20150326||21|Indra Viki Okvana|Rosy Oktavia Pancasari|16|Gaetan Brethes|Marie Hermeline|060205C8-6EFA-47B4-B741-31CAA2AB7760|doubles
20150326||24|Stilian Makarski|none|22|Anthony Dumartheray [16]|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
20150326||19|Stilian Makarski|none|21|Anthony Dumartheray [16]|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
20150326||21|Stilian Makarski|none|12|Anthony Dumartheray [16]|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
20150326||21|Daniel Font |none|16|Josh Neil|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
20150326||12|Daniel Font |none|21|Josh Neil|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
20150326||21|Daniel Font |none|12|Josh Neil|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
20150326||21|Kieran Merrilees |none|9|Youcef Sabri Medel|none|060205C8-6EFA-47B4-B741-31CAA2AB7760|singles
