date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20181217|0:37|22|Mehmet Akarsu|Betul Baskan|20|Abdurasul Khadjaev|Gulassar Bokieva|08BEED1A-4169-4079-840C-3024397F03B3|doubles
20181217|0:37|10|Mehmet Akarsu|Betul Baskan|21|Abdurasul Khadjaev|Gulassar Bokieva|08BEED1A-4169-4079-840C-3024397F03B3|doubles
20181217|0:37|21|Mehmet Akarsu|Betul Baskan|12|Abdurasul Khadjaev|Gulassar Bokieva|08BEED1A-4169-4079-840C-3024397F03B3|doubles
20181217|0:17|21|Hilmican Şimşek|Ceren Ozdemir|10|Ali Bugra Akdogan|Ozlem Başaran|08BEED1A-4169-4079-840C-3024397F03B3|doubles
20181217|0:17|21|Hilmican Şimşek|Ceren Ozdemir|12|Ali Bugra Akdogan|Ozlem Başaran|08BEED1A-4169-4079-840C-3024397F03B3|doubles
20181217|0:24|21|Erenturk Özder|Zeynep Özgen|15|Mesut Sezer [3]|Edanur Koybasi|08BEED1A-4169-4079-840C-3024397F03B3|doubles
20181217|0:24|21|Erenturk Özder|Zeynep Özgen|16|Mesut Sezer [3]|Edanur Koybasi|08BEED1A-4169-4079-840C-3024397F03B3|doubles
20181217|0:17|21|Bahadir Kaan Kola|Fatma Nur Yavuz|9|Orcun Ozturk|Ayca Özgür|08BEED1A-4169-4079-840C-3024397F03B3|doubles
20181217|0:17|21|Bahadir Kaan Kola|Fatma Nur Yavuz|7|Orcun Ozturk|Ayca Özgür|08BEED1A-4169-4079-840C-3024397F03B3|doubles
20181217|0:18|21|Mert Tunco|Ilayda Nur Ozelgul|15|Peyo Boichinov|Tanya Ivanova|08BEED1A-4169-4079-840C-3024397F03B3|doubles
20181217|0:18|21|Mert Tunco|Ilayda Nur Ozelgul|6|Peyo Boichinov|Tanya Ivanova|08BEED1A-4169-4079-840C-3024397F03B3|doubles
20181217|0:20|21|Semih Baha Basakin |Ece Sare Basakin|11|Nurullah Saraç|Basak Kilic|08BEED1A-4169-4079-840C-3024397F03B3|doubles
20181217|0:20|21|Semih Baha Basakin |Ece Sare Basakin|9|Nurullah Saraç|Basak Kilic|08BEED1A-4169-4079-840C-3024397F03B3|doubles
20181217|0:23|21|Faruk Mehmet Yilmaz|Yasemen Bektaş|16|Moritz Rappen|Alicia Molitor|08BEED1A-4169-4079-840C-3024397F03B3|doubles
