date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20150414|0:18|21|Calvin Kristanto|Tania Oktaviani Kusumah|17|Travis Moniaga|Tracy Moniaga|0BA32E71-C8C8-4886-B22B-50EAF1A7E383|doubles
20150414|0:18|21|Calvin Kristanto|Tania Oktaviani Kusumah|15|Travis Moniaga|Tracy Moniaga|0BA32E71-C8C8-4886-B22B-50EAF1A7E383|doubles
20150414|0:40|21|Gea Kamahamas|Brigita Marcelia Rumambi|17|Abhinaya Adira|Virni Putri Jafar|0BA32E71-C8C8-4886-B22B-50EAF1A7E383|doubles
20150414|0:40|14|Gea Kamahamas|Brigita Marcelia Rumambi|21|Abhinaya Adira|Virni Putri Jafar|0BA32E71-C8C8-4886-B22B-50EAF1A7E383|doubles
20150414|0:40|21|Gea Kamahamas|Brigita Marcelia Rumambi|14|Abhinaya Adira|Virni Putri Jafar|0BA32E71-C8C8-4886-B22B-50EAF1A7E383|doubles
20150414|0:15|21|Erwin Rendana Purnomo|Dewi Setyo Rahmawati|16|Muhammad Andi Purnomo|Violita Dewi|0BA32E71-C8C8-4886-B22B-50EAF1A7E383|doubles
20150414|0:15|21|Erwin Rendana Purnomo|Dewi Setyo Rahmawati|11|Muhammad Andi Purnomo|Violita Dewi|0BA32E71-C8C8-4886-B22B-50EAF1A7E383|doubles
20150414|0:27|23|Ramadhani Akbar Gusti|Serena Kani|21|Muhmmad Shohibul Fikri|Triya Nursaadiyah|0BA32E71-C8C8-4886-B22B-50EAF1A7E383|doubles
20150414|0:27|21|Ramadhani Akbar Gusti|Serena Kani|18|Muhmmad Shohibul Fikri|Triya Nursaadiyah|0BA32E71-C8C8-4886-B22B-50EAF1A7E383|doubles
20150414|0:20|21|Willian Astan|Anisa Nur Azizah|9|Axel Raditya Vasyah|Vania Lystia Vasyah|0BA32E71-C8C8-4886-B22B-50EAF1A7E383|doubles
20150414|0:20|21|Willian Astan|Anisa Nur Azizah|5|Axel Raditya Vasyah|Vania Lystia Vasyah|0BA32E71-C8C8-4886-B22B-50EAF1A7E383|doubles
20150414|0:30|21|Rinov Rivaldy|Vania Arianti Sukoco|14|Drajat Beno|Yulfira Barkah|0BA32E71-C8C8-4886-B22B-50EAF1A7E383|doubles
20150414|0:30|21|Rinov Rivaldy|Vania Arianti Sukoco|19|Drajat Beno|Yulfira Barkah|0BA32E71-C8C8-4886-B22B-50EAF1A7E383|doubles
20150414|0:42|21|Wen Chi Hsu |none|12|Florencya Vioni|none|0BA32E71-C8C8-4886-B22B-50EAF1A7E383|singles
20150414|0:42|17|Wen Chi Hsu |none|21|Florencya Vioni|none|0BA32E71-C8C8-4886-B22B-50EAF1A7E383|singles
20150414|0:42|21|Wen Chi Hsu |none|12|Florencya Vioni|none|0BA32E71-C8C8-4886-B22B-50EAF1A7E383|singles
20150414|1:00|22|Lya Ersalita|none|24|Ren-Ne Ong|none|0BA32E71-C8C8-4886-B22B-50EAF1A7E383|singles
20150414|1:00|22|Lya Ersalita|none|20|Ren-Ne Ong|none|0BA32E71-C8C8-4886-B22B-50EAF1A7E383|singles
20150414|1:00|21|Lya Ersalita|none|16|Ren-Ne Ong|none|0BA32E71-C8C8-4886-B22B-50EAF1A7E383|singles
20150414|0:35|21|Kornkamon Sukklad|none|11|Ayu Gary Luma Maharani [4]|none|0BA32E71-C8C8-4886-B22B-50EAF1A7E383|singles
20150414|0:35|21|Kornkamon Sukklad|none|18|Ayu Gary Luma Maharani [4]|none|0BA32E71-C8C8-4886-B22B-50EAF1A7E383|singles
