date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20181213|0:31|18|Gorkem Ersoy|Aslihan Ayna|21|Emirhan Kurtoglu|Raziyenur Bakir|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:31|21|Gorkem Ersoy|Aslihan Ayna|11|Emirhan Kurtoglu|Raziyenur Bakir|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:31|21|Gorkem Ersoy|Aslihan Ayna|18|Emirhan Kurtoglu|Raziyenur Bakir|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:35|21|Cuma Durnaoglu|Tuba Koyuncu|16|Mehmet Can Toremis|Sumeyye Erkus|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:35|11|Cuma Durnaoglu|Tuba Koyuncu|21|Mehmet Can Toremis|Sumeyye Erkus|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:35|21|Cuma Durnaoglu|Tuba Koyuncu|13|Mehmet Can Toremis|Sumeyye Erkus|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:29|22|Emre Duyurucu|Unzile Esma Durukan|20|Halil Acar|Mercan Bacak|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:29|21|Emre Duyurucu|Unzile Esma Durukan|17|Halil Acar|Mercan Bacak|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:20|21|Mehmet Sahilogullari|Ebru Kececi|7|Mehmet Bugra Tatli|Sila Cigdem|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:20|21|Mehmet Sahilogullari|Ebru Kececi|9|Mehmet Bugra Tatli|Sila Cigdem|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:23|21|Seyfettin Serdar|Aybuke Baran|15|Berat Cambaz|Sumeyye Tuncer|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:23|21|Seyfettin Serdar|Aybuke Baran|16|Berat Cambaz|Sumeyye Tuncer|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:35|15|Ismail Berat Özdemir|Zumre Onan|21|Isa Celik|Ceylin Yaman|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:35|21|Ismail Berat Özdemir|Zumre Onan|19|Isa Celik|Ceylin Yaman|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:35|21|Ismail Berat Özdemir|Zumre Onan|12|Isa Celik|Ceylin Yaman|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:21|21|Abdulsamet Kezer|Rumeysa Firat|19|Yasin Furkan Arslan|Yagmur Cevik|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:21|21|Abdulsamet Kezer|Rumeysa Firat|16|Yasin Furkan Arslan|Yagmur Cevik|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:18|21|Ogulcan Genç|Ayca Hava|3|Muhammed Enes Atay|Birsu Tuna|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:18|21|Ogulcan Genç|Ayca Hava|8|Muhammed Enes Atay|Birsu Tuna|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:15|21|Yasin Torun|Edanur Demİr|7|Cihat Akin|Irmak Buse Kiral|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:15|21|Yasin Torun|Edanur Demİr|10|Cihat Akin|Irmak Buse Kiral|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:20|21|Cengiz Dag|Ezgi Hazal Ulus|15|Muhammed Ali Atasoy|Elif Esin Sel|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:20|21|Cengiz Dag|Ezgi Hazal Ulus|16|Muhammed Ali Atasoy|Elif Esin Sel|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:20|21|Semih Ozgur Doğruer|Edanur Alan|7|Burak Mert Alkaya|Sude Naz Duyar|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:20|21|Semih Ozgur Doğruer|Edanur Alan|7|Burak Mert Alkaya|Sude Naz Duyar|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213||Walkover Win|Taha Emirhan Budak|Yasemen Bektaş|Walkover Loss|Vasileios Rafail Kiosses|Grammatoula Sotiriou|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:22|21|Baris Ozkan|Selen Özdemİr|9|Eren Dervisoğlu|Ece Kocanalbant|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:22|21|Baris Ozkan|Selen Özdemİr|13|Eren Dervisoğlu|Ece Kocanalbant|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:16|21|Emre Türk|Nursin Sevgin|10|Mustafa Samet Tuncer|Iremsu Curuk|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:16|21|Emre Türk|Nursin Sevgin|8|Mustafa Samet Tuncer|Iremsu Curuk|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:20|21|Enes Pars|Gulsah Küçüksari|10|Umut Ersoy|Ece Terzi|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:20|21|Enes Pars|Gulsah Küçüksari|14|Umut Ersoy|Ece Terzi|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
20181213|0:15|21|Yusuf Boran|Zeynep Efe|10|Ahmet Hakikatoglu|Nazmiye Ozkan|0FF43ADE-98B5-4B8C-8D10-62FC5368A5DB|doubles
