date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180315||21|Jaromir Janacek|Tomáš Švejda|8|Michal Kazmierczak|Marcin Wnuk|11DA4053-0EF1-46F5-9D7B-6B94A957801E|doubles
20180315||21|Jaromir Janacek|Tomáš Švejda|13|Michal Kazmierczak|Marcin Wnuk|11DA4053-0EF1-46F5-9D7B-6B94A957801E|doubles
20180315||Walkover Win|Michal Hubáček|Valentýna Sonnková|Walkover Loss|Jan Colin Völker|Judith Petrikowski|11DA4053-0EF1-46F5-9D7B-6B94A957801E|doubles
20180315||21|Dominik Zietek|Wiktoria Adamek|12|Matthew Abela|Jana Panochova|11DA4053-0EF1-46F5-9D7B-6B94A957801E|doubles
20180315||21|Dominik Zietek|Wiktoria Adamek|14|Matthew Abela|Jana Panochova|11DA4053-0EF1-46F5-9D7B-6B94A957801E|doubles
20180315||13|Aman Farogh Sanjay '|none|21|Mateusz Danielak|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
20180315||21|Aman Farogh Sanjay '|none|9|Mateusz Danielak|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
20180315||21|Aman Farogh Sanjay '|none|12|Mateusz Danielak|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
20180315||21|Matthew Abela|none|17|Jiří Bureš|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
20180315||11|Matthew Abela|none|21|Jiří Bureš|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
20180315||21|Matthew Abela|none|12|Jiří Bureš|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
20180315||21|Amalie Vestmar|none|9|Szubert Karolina|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
20180315||21|Amalie Vestmar|none|15|Szubert Karolina|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
20180315||16|Mathilde Møller|none|15|Veronika Kubečková|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
20180315||Walkover Win|Mathilde Møller|none|Walkover Loss|Veronika Kubečková|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
20180315||21|Patrick Abildgaard|none|15|Jan Viktora|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
20180315||21|Patrick Abildgaard|none|13|Jan Viktora|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
20180315||21|Marcin Nowak|none|16|Matej Polacek|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
20180315||21|Marcin Nowak|none|16|Matej Polacek|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
20180315||Walkover Win|Murad Bayramov|none|Walkover Loss|Michael Spencer-Smith [1]|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
20180315||25|Przemyslaw Szydlowski |Szubert Karolina|23|Michal Hubáček|Valentýna Sonnková|11DA4053-0EF1-46F5-9D7B-6B94A957801E|doubles
20180315||21|Przemyslaw Szydlowski |Szubert Karolina|11|Michal Hubáček|Valentýna Sonnková|11DA4053-0EF1-46F5-9D7B-6B94A957801E|doubles
20180315||21|Emil Hybel |Line Fleischer|11|Dominik Zietek|Wiktoria Adamek|11DA4053-0EF1-46F5-9D7B-6B94A957801E|doubles
20180315||21|Emil Hybel |Line Fleischer|19|Dominik Zietek|Wiktoria Adamek|11DA4053-0EF1-46F5-9D7B-6B94A957801E|doubles
20180315||21|Juno Thomas|none|17|Petr Tomala|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
20180315||21|Juno Thomas|none|16|Petr Tomala|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
20180315||Walkover Win|Jiří Bureš|Ondřej Helar|Walkover Loss|Daniel Grassmuck [1]|Roman Zirnwald|11DA4053-0EF1-46F5-9D7B-6B94A957801E|doubles
20180315||Walkover Win|Miha Ivancic|none|Walkover Loss|Collins Valentine Filimon [3]|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
20180315||21|Daniel Nikolov|none|13|Jan Benbenek|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
20180315||21|Daniel Nikolov|none|14|Jan Benbenek|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
20180315||21|Patrick Abildgaard|none|13|Adam Sowa|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
20180315||21|Patrick Abildgaard|none|10|Adam Sowa|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
20180315||24|Marcin Nowak|none|22|Ondřej Helar|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
20180315||21|Marcin Nowak|none|10|Ondřej Helar|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
20180315||Walkover Win|Sofie Zacho |none|Walkover Loss|Karolina Wladzinska|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
20180315||21|Yuri Nakamura|none|4|Amalie Vestmar|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
20180315||21|Yuri Nakamura|none|11|Amalie Vestmar|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
20180315||Walkover Win|Mathilde Møller|none|Walkover Loss|Iza Salehar [2]|none|11DA4053-0EF1-46F5-9D7B-6B94A957801E|singles
