date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20171114|0:25|21|Izzat Farhan Azhar |Noor Hazwani Hazair|13|Chun Ling Chong|Sin Er Ng|13830F4E-DB00-4A89-8D43-723A6C05B80E|doubles
20171114|0:25|21|Izzat Farhan Azhar |Noor Hazwani Hazair|19|Chun Ling Chong|Sin Er Ng|13830F4E-DB00-4A89-8D43-723A6C05B80E|doubles
20171114|0:50|19|Zachary Chiong Shen Sia|Shun Mei Lee|21|Kwang Yean Khoo|Kha Yan Wong|13830F4E-DB00-4A89-8D43-723A6C05B80E|doubles
20171114|0:50|22|Zachary Chiong Shen Sia|Shun Mei Lee|20|Kwang Yean Khoo|Kha Yan Wong|13830F4E-DB00-4A89-8D43-723A6C05B80E|doubles
20171114|0:50|21|Zachary Chiong Shen Sia|Shun Mei Lee|15|Kwang Yean Khoo|Kha Yan Wong|13830F4E-DB00-4A89-8D43-723A6C05B80E|doubles
20171114|0:17|21|Muhammad Nuraidil Adha Azman |Peiy Zhean Lim|12|Muhammad Syafiq A Sanusi|Nur Azlinda Hassim|13830F4E-DB00-4A89-8D43-723A6C05B80E|doubles
20171114|0:17|21|Muhammad Nuraidil Adha Azman |Peiy Zhean Lim|8|Muhammad Syafiq A Sanusi|Nur Azlinda Hassim|13830F4E-DB00-4A89-8D43-723A6C05B80E|doubles
20171114|0:35|21|Satheishtharan Ramachandran|Desiree, Hao Shan Siow|9|Wipoo Inkaew|Nurul Farisha Abd Malek|13830F4E-DB00-4A89-8D43-723A6C05B80E|doubles
20171114|0:35|17|Satheishtharan Ramachandran|Desiree, Hao Shan Siow|21|Wipoo Inkaew|Nurul Farisha Abd Malek|13830F4E-DB00-4A89-8D43-723A6C05B80E|doubles
20171114|0:35|21|Satheishtharan Ramachandran|Desiree, Hao Shan Siow|17|Wipoo Inkaew|Nurul Farisha Abd Malek|13830F4E-DB00-4A89-8D43-723A6C05B80E|doubles
20171114|0:43|19|Choo Han Ch'Ng|Qi Xuan Ng|21|Hon Jian Choong|Florence Sin Yee Saw|13830F4E-DB00-4A89-8D43-723A6C05B80E|doubles
20171114|0:43|21|Choo Han Ch'Ng|Qi Xuan Ng|16|Hon Jian Choong|Florence Sin Yee Saw|13830F4E-DB00-4A89-8D43-723A6C05B80E|doubles
20171114|0:43|21|Choo Han Ch'Ng|Qi Xuan Ng|16|Hon Jian Choong|Florence Sin Yee Saw|13830F4E-DB00-4A89-8D43-723A6C05B80E|doubles
20171114|0:19|21|Ahmad Maziri Mazlan |Peiy Yee, Payee Lim|12|Andrew Susanto|Maria Natalia Kartika Mainaky|13830F4E-DB00-4A89-8D43-723A6C05B80E|doubles
20171114|0:19|21|Ahmad Maziri Mazlan |Peiy Yee, Payee Lim|14|Andrew Susanto|Maria Natalia Kartika Mainaky|13830F4E-DB00-4A89-8D43-723A6C05B80E|doubles
20171114|0:20|21|Natchanon Tulamok|Natcha Saengchote|11|Mohd Razif Abdul Latif|Sin Zou Ng|13830F4E-DB00-4A89-8D43-723A6C05B80E|doubles
20171114|0:20|21|Natchanon Tulamok|Natcha Saengchote|14|Mohd Razif Abdul Latif|Sin Zou Ng|13830F4E-DB00-4A89-8D43-723A6C05B80E|doubles
20171114|0:33|21|Mohd Razlan Shah Mohd Ridzuan Shah |Lin Seah|12|Wei Khoon Ong|Sue Xin Tio|13830F4E-DB00-4A89-8D43-723A6C05B80E|doubles
20171114|0:33|15|Mohd Razlan Shah Mohd Ridzuan Shah |Lin Seah|21|Wei Khoon Ong|Sue Xin Tio|13830F4E-DB00-4A89-8D43-723A6C05B80E|doubles
20171114|0:33|21|Mohd Razlan Shah Mohd Ridzuan Shah |Lin Seah|19|Wei Khoon Ong|Sue Xin Tio|13830F4E-DB00-4A89-8D43-723A6C05B80E|doubles
20171114|0:31|21|Lishwan Mudukasan|none|14|Chin Yong Chian|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:31|21|Lishwan Mudukasan|none|18|Chin Yong Chian|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:27|21|Ridzwan Rahmat|none|14|Yehezkiel Fritz Mainaky|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:27|21|Ridzwan Rahmat|none|14|Yehezkiel Fritz Mainaky|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:05|Walkover Win|Yu-Hua Lai|none|Walkover Loss|Kai Wun Tee [7]|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:45|17|Seng Zoe Yeoh|none|21|Muhammad Elaf Wei Tan|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:45|21|Seng Zoe Yeoh|none|14|Muhammad Elaf Wei Tan|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:45|21|Seng Zoe Yeoh|none|11|Muhammad Elaf Wei Tan|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:20|21|Wei Chi Liu|none|13|Jun Hong Lee|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:20|21|Wei Chi Liu|none|10|Jun Hong Lee|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:22|21|Maisa Fathuhulla Ismail|none|18|Mei Chin Leong|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:22|21|Maisa Fathuhulla Ismail|none|14|Mei Chin Leong|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:24|21|Muhammad Ziyad Md Tah|none|10|Fabricio Farias [5]|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:24|21|Muhammad Ziyad Md Tah|none|12|Fabricio Farias [5]|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:48|17|Kartik Jindal|none|21|Yu Ming, Adam Lau|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:48|22|Kartik Jindal|none|20|Yu Ming, Adam Lau|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:48|21|Kartik Jindal|none|13|Yu Ming, Adam Lau|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:40|21|Datu Mohd Saffuan Nizam Sardik|none|10|Mayank Ahuja|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:40|17|Datu Mohd Saffuan Nizam Sardik|none|21|Mayank Ahuja|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:40|21|Datu Mohd Saffuan Nizam Sardik|none|10|Mayank Ahuja|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:29|21|Jun Yan Ng|none|16|Muhammad Izzuddin Shamsul Muzli [8]|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:29|21|Jun Yan Ng|none|14|Muhammad Izzuddin Shamsul Muzli [8]|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:54|21|Vincent Cheng Wei Phuah|none|10|Chun Chung Hung|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:54|14|Vincent Cheng Wei Phuah|none|21|Chun Chung Hung|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:54|23|Vincent Cheng Wei Phuah|none|21|Chun Chung Hung|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:30|21|Thammasin Sitthikom |none|15|Muhammad Lukman Hakim Mohd Ibrahim|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:30|21|Thammasin Sitthikom |none|10|Muhammad Lukman Hakim Mohd Ibrahim|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:43|21|Fong Hau Sim|none|16|Muhammad Syafiq A Sanusi|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:43|21|Fong Hau Sim|none|15|Muhammad Syafiq A Sanusi|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:53|21|Muhammad Naim Ahmad Fairuzly|none|19|Adnan Ebrahim|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:53|16|Muhammad Naim Ahmad Fairuzly|none|21|Adnan Ebrahim|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:53|21|Muhammad Naim Ahmad Fairuzly|none|19|Adnan Ebrahim|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:31|22|Yu Leong, Alfred Lau|none|20|Andrew Susanto|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:31|21|Yu Leong, Alfred Lau|none|14|Andrew Susanto|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:16|21|Yang Chih Chieh |none|6|Mitthren Raj Veerappen|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:16|21|Yang Chih Chieh |none|7|Mitthren Raj Veerappen|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:17|21|Mattana Hemrachatanun|none|9|Yi Jin Kong|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:17|21|Mattana Hemrachatanun|none|17|Yi Jin Kong|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:27|21|Korakrit Laotrakul |none|9|Kiran Raj Maniraj|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:27|21|Korakrit Laotrakul |none|11|Kiran Raj Maniraj|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:49|17|Lin Hsiang Ti |none|21|Letshanaa A. Karupathevan|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:49|21|Lin Hsiang Ti |none|15|Letshanaa A. Karupathevan|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:49|21|Lin Hsiang Ti |none|14|Letshanaa A. Karupathevan|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:24|21|Aurum Oktavia Winata|none|9|Zuelaikha Idris|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:24|21|Aurum Oktavia Winata|none|16|Zuelaikha Idris|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:32|21|Choirunnisa Choirunnisa|none|19|Mukherjee Riya|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:32|21|Choirunnisa Choirunnisa|none|18|Mukherjee Riya|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:20|21|Ying Chun Lin |none|6|Peiy Zhean Lim|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:20|21|Ying Chun Lin |none|17|Peiy Zhean Lim|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:23|21|Saranya Navaratnajah|none|10|Jaqueline Lima|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:23|21|Saranya Navaratnajah|none|13|Jaqueline Lima|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:20|21|Manassanan Lerthattasin |none|11|Kobita Dokhee|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:20|21|Manassanan Lerthattasin |none|8|Kobita Dokhee|none|13830F4E-DB00-4A89-8D43-723A6C05B80E|singles
20171114|0:20|22|Hang Yee Low |Jinn Hwa Tan|20|Chia Hung Lu|Shih Kuei Chun|13830F4E-DB00-4A89-8D43-723A6C05B80E|doubles
20171114|0:20|21|Hang Yee Low |Jinn Hwa Tan|8|Chia Hung Lu|Shih Kuei Chun|13830F4E-DB00-4A89-8D43-723A6C05B80E|doubles
20171114|0:21|21|Wachirawit Sothon|Natthapat Trinkajee|13|Kwang Yean Khoo [3]|Piyapat Wannalee|13830F4E-DB00-4A89-8D43-723A6C05B80E|doubles
