date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20171023|0:31|21|Omonullo Kasimov|none|13|Andrey Shalagin|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:31|27|Omonullo Kasimov|none|25|Andrey Shalagin|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:20|21|Ilya Lysenko|none|10|Artem Mineev|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:20|21|Ilya Lysenko|none|15|Artem Mineev|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:20|21|Oleg Yermakov|none|13|Izatillo Nosirov|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:20|21|Oleg Yermakov|none|15|Izatillo Nosirov|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:36|21|Korolev Artem|none|12|Asadbek Olimjanov|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:36|21|Korolev Artem|none|14|Asadbek Olimjanov|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:22|21|Kemran Tajibullayev|none|15|Omad Dilmurodov|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:22|21|Kemran Tajibullayev|none|16|Omad Dilmurodov|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:20|21|Nursultan Zhaksylykov|none|13|Jakhongir Khudaykulov|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:20|21|Nursultan Zhaksylykov|none|16|Jakhongir Khudaykulov|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:18|21|Erlan Yeshimkhanov|none|17|Refat Settarov|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:18|21|Erlan Yeshimkhanov|none|15|Refat Settarov|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:17|21|Dastan Zhumabaev|none|10|Azmiddin Ziyadullayev|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:17|21|Dastan Zhumabaev|none|4|Azmiddin Ziyadullayev|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:15|21|Akhmoldanova Aizhan|none|6|Nazmina Ravshanova|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:15|21|Akhmoldanova Aizhan|none|10|Nazmina Ravshanova|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:25|21|Madina Kaimova|none|17|Yeva Butpayeva|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:25|21|Madina Kaimova|none|13|Yeva Butpayeva|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:22|21|Meruert Akhmadieva|none|12|Algazieva Aruzhan|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:22|21|Meruert Akhmadieva|none|10|Algazieva Aruzhan|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:16|21|Dinara Kaydar|none|8|Veronika Vitman|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:16|21|Dinara Kaydar|none|7|Veronika Vitman|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:17|21|Dana Ayapova|none|17|Arina Ulyasheva|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:17|21|Dana Ayapova|none|8|Arina Ulyasheva|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:35|21|Karabaeva Zarina|none|11|Yana Usmanova|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:35|17|Karabaeva Zarina|none|21|Yana Usmanova|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:35|22|Karabaeva Zarina|none|20|Yana Usmanova|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:18|21|Nargiza Rakhmetullayeva|none|15|Sinyutina Alisa|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:18|21|Nargiza Rakhmetullayeva|none|19|Sinyutina Alisa|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:15|21|Alina Kerimova|none|14|Ayazhan Nesipbayeva|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:15|21|Alina Kerimova|none|8|Ayazhan Nesipbayeva|none|161BC5E1-87D9-470C-9402-A00E2984583A|singles
20171023|0:30|21|Viktor Zeiferling|Vassilissa Li- Zhe- Yu|18|Kirill Gorin|Akhmoldanova Aizhan|161BC5E1-87D9-470C-9402-A00E2984583A|doubles
20171023|0:30|21|Viktor Zeiferling|Vassilissa Li- Zhe- Yu|17|Kirill Gorin|Akhmoldanova Aizhan|161BC5E1-87D9-470C-9402-A00E2984583A|doubles
20171023|0:13|21|Damir Abdullayev|Ademi Serikbayeva|4|Matvey Grishenko [3]|Yeva Butpayeva|161BC5E1-87D9-470C-9402-A00E2984583A|doubles
20171023|0:13|21|Damir Abdullayev|Ademi Serikbayeva|3|Matvey Grishenko [3]|Yeva Butpayeva|161BC5E1-87D9-470C-9402-A00E2984583A|doubles
20171023|0:10|21|Refat Settarov|Madina Ganieva|6|Otabek Kamilov|Moldir Adilova|161BC5E1-87D9-470C-9402-A00E2984583A|doubles
