date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180918|0:16|21|Antonio Emanuel Ortiz|none|11|Lucas Gutiérrez Antillón|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180918|0:16|21|Antonio Emanuel Ortiz|none|9|Lucas Gutiérrez Antillón|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180918|0:33|21|Ramiro Alonso Espinoza|none|16|Pedro Aguilar Gonzalez|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180918|0:33|22|Ramiro Alonso Espinoza|none|20|Pedro Aguilar Gonzalez|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180918|0:18|21|Yeison Esleiter Del Cid Alvarez|none|7|Francisco Hau Liu|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180918|0:18|21|Yeison Esleiter Del Cid Alvarez|none|9|Francisco Hau Liu|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180918|0:17|21|Axel Flores Barrondo|none|8|Sebastian Aballi Luna|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180918|0:17|21|Axel Flores Barrondo|none|4|Sebastian Aballi Luna|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180918|0:38|21|Andrea Maria Morales Guirola|none|17|Nathalie Angelique Fedney Vidal|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180918|0:38|21|Andrea Maria Morales Guirola|none|23|Nathalie Angelique Fedney Vidal|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180918|0:38|21|Andrea Maria Morales Guirola|none|13|Nathalie Angelique Fedney Vidal|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180918|0:40|21|Ana Laura Martinez Vega|none|19|Gonzalez Ana Pamela|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180918|0:40|8|Ana Laura Martinez Vega|none|21|Gonzalez Ana Pamela|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180918|0:40|26|Ana Laura Martinez Vega|none|24|Gonzalez Ana Pamela|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180918|0:30|21|Natalie Chi|none|19|Mariana Isabel Paiz Quan|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180918|0:30|21|Natalie Chi|none|11|Mariana Isabel Paiz Quan|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180918|0:25|21|Lauren Villalobos|none|18|Karolina Orellana Ardon|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180918|0:25|21|Lauren Villalobos|none|13|Karolina Orellana Ardon|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180919|0:16|21|Antonio Emanuel Ortiz|none|11|Lucas Gutiérrez Antillón|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180919|0:16|21|Antonio Emanuel Ortiz|none|9|Lucas Gutiérrez Antillón|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180919|0:33|21|Ramiro Alonso Espinoza|none|16|Pedro Aguilar Gonzalez|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180919|0:33|22|Ramiro Alonso Espinoza|none|20|Pedro Aguilar Gonzalez|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180919|0:18|21|Yeison Esleiter Del Cid Alvarez|none|7|Francisco Hau Liu|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180919|0:18|21|Yeison Esleiter Del Cid Alvarez|none|9|Francisco Hau Liu|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180919|0:17|21|Axel Flores Barrondo|none|8|Sebastian Aballi Luna|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180919|0:17|21|Axel Flores Barrondo|none|4|Sebastian Aballi Luna|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180919|0:38|21|Andrea Maria Morales Guirola|none|17|Nathalie Angelique Fedney Vidal|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180919|0:38|21|Andrea Maria Morales Guirola|none|23|Nathalie Angelique Fedney Vidal|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180919|0:38|21|Andrea Maria Morales Guirola|none|13|Nathalie Angelique Fedney Vidal|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180919|0:40|21|Ana Laura Martinez Vega|none|19|Gonzalez Ana Pamela|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180919|0:40|8|Ana Laura Martinez Vega|none|21|Gonzalez Ana Pamela|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180919|0:40|26|Ana Laura Martinez Vega|none|24|Gonzalez Ana Pamela|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180919|0:30|21|Natalie Chi|none|19|Mariana Isabel Paiz Quan|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180919|0:30|21|Natalie Chi|none|11|Mariana Isabel Paiz Quan|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180919|0:25|21|Lauren Villalobos|none|18|Karolina Orellana Ardon|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180919|0:25|21|Lauren Villalobos|none|13|Karolina Orellana Ardon|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180920|0:16|21|Antonio Emanuel Ortiz|none|11|Lucas Gutiérrez Antillón|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180920|0:16|21|Antonio Emanuel Ortiz|none|9|Lucas Gutiérrez Antillón|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180920|0:33|21|Ramiro Alonso Espinoza|none|16|Pedro Aguilar Gonzalez|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180920|0:33|22|Ramiro Alonso Espinoza|none|20|Pedro Aguilar Gonzalez|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180920|0:18|21|Yeison Esleiter Del Cid Alvarez|none|7|Francisco Hau Liu|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180920|0:18|21|Yeison Esleiter Del Cid Alvarez|none|9|Francisco Hau Liu|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180920|0:17|21|Axel Flores Barrondo|none|8|Sebastian Aballi Luna|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180920|0:17|21|Axel Flores Barrondo|none|4|Sebastian Aballi Luna|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180920|0:38|21|Andrea Maria Morales Guirola|none|17|Nathalie Angelique Fedney Vidal|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180920|0:38|21|Andrea Maria Morales Guirola|none|23|Nathalie Angelique Fedney Vidal|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180920|0:38|21|Andrea Maria Morales Guirola|none|13|Nathalie Angelique Fedney Vidal|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180920|0:40|21|Ana Laura Martinez Vega|none|19|Gonzalez Ana Pamela|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180920|0:40|8|Ana Laura Martinez Vega|none|21|Gonzalez Ana Pamela|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180920|0:40|26|Ana Laura Martinez Vega|none|24|Gonzalez Ana Pamela|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180920|0:30|21|Natalie Chi|none|19|Mariana Isabel Paiz Quan|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180920|0:30|21|Natalie Chi|none|11|Mariana Isabel Paiz Quan|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180920|0:25|21|Lauren Villalobos|none|18|Karolina Orellana Ardon|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180920|0:25|21|Lauren Villalobos|none|13|Karolina Orellana Ardon|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180921|0:16|21|Antonio Emanuel Ortiz|none|11|Lucas Gutiérrez Antillón|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180921|0:16|21|Antonio Emanuel Ortiz|none|9|Lucas Gutiérrez Antillón|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180921|0:33|21|Ramiro Alonso Espinoza|none|16|Pedro Aguilar Gonzalez|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180921|0:33|22|Ramiro Alonso Espinoza|none|20|Pedro Aguilar Gonzalez|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180921|0:18|21|Yeison Esleiter Del Cid Alvarez|none|7|Francisco Hau Liu|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180921|0:18|21|Yeison Esleiter Del Cid Alvarez|none|9|Francisco Hau Liu|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180921|0:17|21|Axel Flores Barrondo|none|8|Sebastian Aballi Luna|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180921|0:17|21|Axel Flores Barrondo|none|4|Sebastian Aballi Luna|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180921|0:38|21|Andrea Maria Morales Guirola|none|17|Nathalie Angelique Fedney Vidal|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180921|0:38|21|Andrea Maria Morales Guirola|none|23|Nathalie Angelique Fedney Vidal|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180921|0:38|21|Andrea Maria Morales Guirola|none|13|Nathalie Angelique Fedney Vidal|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
20180921|0:40|21|Ana Laura Martinez Vega|none|19|Gonzalez Ana Pamela|none|18A247B8-9780-4AF7-8971-2EEEA3A446D3|singles
