date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20181023|0:30|23|Indra Leonard Prasetya|Violita Dewi|21|Zachary Chiong Shen Sia|Nurul Farisha Abd Malek|19FE013F-C311-4DE9-A9E2-B73A9AF63AFC|doubles
20181023|0:30|24|Indra Leonard Prasetya|Violita Dewi|22|Zachary Chiong Shen Sia|Nurul Farisha Abd Malek|19FE013F-C311-4DE9-A9E2-B73A9AF63AFC|doubles
20181023||Walkover Win|Neville Baptist Nosius Luaran|none|Walkover Loss|Andika Pratama|none|19FE013F-C311-4DE9-A9E2-B73A9AF63AFC|singles
20181023|0:26|21|Muhammad Aldo Apriyandi|none|9|Taufan Fadly Adriananta|none|19FE013F-C311-4DE9-A9E2-B73A9AF63AFC|singles
20181023|0:26|21|Muhammad Aldo Apriyandi|none|16|Taufan Fadly Adriananta|none|19FE013F-C311-4DE9-A9E2-B73A9AF63AFC|singles
20181023|0:15|21|Aldo Oktaviano Purnomo|none|8|Isna Sakti Maulana Mustaqim Mustaqim [5]|none|19FE013F-C311-4DE9-A9E2-B73A9AF63AFC|singles
20181023|0:15|21|Aldo Oktaviano Purnomo|none|5|Isna Sakti Maulana Mustaqim Mustaqim [5]|none|19FE013F-C311-4DE9-A9E2-B73A9AF63AFC|singles
20181023|0:16|21|Wipoo Inkaew|none|17|Exacta Bunayya Aldero|none|19FE013F-C311-4DE9-A9E2-B73A9AF63AFC|singles
20181023|0:16|21|Wipoo Inkaew|none|10|Exacta Bunayya Aldero|none|19FE013F-C311-4DE9-A9E2-B73A9AF63AFC|singles
20181023||Walkover Win|Mario Verdiano Ben-Oni Mainaky|none|Walkover Loss|Arya Kusuma|none|19FE013F-C311-4DE9-A9E2-B73A9AF63AFC|singles
20181023|0:37|21|Muh. Asqar Harianto|none|14|Aaron Sangga Wijaya|none|19FE013F-C311-4DE9-A9E2-B73A9AF63AFC|singles
20181023|0:37|21|Muh. Asqar Harianto|none|19|Aaron Sangga Wijaya|none|19FE013F-C311-4DE9-A9E2-B73A9AF63AFC|singles
20181023|0:18|21|Shintaro Inokuma |none|10|Woen Kenny|none|19FE013F-C311-4DE9-A9E2-B73A9AF63AFC|singles
20181023|0:18|21|Shintaro Inokuma |none|15|Woen Kenny|none|19FE013F-C311-4DE9-A9E2-B73A9AF63AFC|singles
