date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20140904||Walkover Win|Bhivpathaki Arya|none|Walkover Loss|Rashith Halambage|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140904||Walkover Win|Shrestha Anis|none|Walkover Loss|Shukla Tapas|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140904|0:15|11|Parashar Rohan|none|9|Shrestha Anis|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140904|0:15|11|Parashar Rohan|none|2|Shrestha Anis|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140904|0:15|11|Parashar Rohan|none|5|Shrestha Anis|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140904|0:35|11|Deshpande Rishabh|none|10|Darji Akendra|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140904|0:35|11|Deshpande Rishabh|none|8|Darji Akendra|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140904|0:35|10|Deshpande Rishabh|none|11|Darji Akendra|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140904|0:35|9|Deshpande Rishabh|none|11|Darji Akendra|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140904|0:35|11|Deshpande Rishabh|none|9|Darji Akendra|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140904|0:12|11|Nandanoori Yeshaswini|none|5|Chand Mega|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140904|0:12|11|Nandanoori Yeshaswini|none|3|Chand Mega|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140904|0:12|11|Nandanoori Yeshaswini|none|9|Chand Mega|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140904|0:11|11|Bhagwat Shriya|none|3|Mukhiya Sunaina|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140904|0:11|11|Bhagwat Shriya|none|4|Mukhiya Sunaina|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140904|0:11|11|Bhagwat Shriya|none|6|Mukhiya Sunaina|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140904||Walkover Win|Gurung Jessica|none|Walkover Loss|Bera Archana|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140904||Walkover Win|Dahiya Lalit|none|Walkover Loss|Shetty Chirag [1]|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140904||Walkover Win|Makkar Hardik|none|Walkover Loss|Chhikara Ankit|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140904||Walkover Win|Dundi Gopalkrishna Reddy|none|Walkover Loss|Pratap Singh Siddharth [4]|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140904||Walkover Win|Bhivpathaki Arya|none|Walkover Loss|Saroha Himanshu|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140904||Walkover Win|Mayekar Aniruddha|none|Walkover Loss|Minhas Sahaj [3]|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140904||Walkover Win|Aroskar Siddhesh|none|Walkover Loss|Ghosh Shouvik [2]|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140905||Walkover Win|Bhivpathaki Arya|none|Walkover Loss|Rashith Halambage|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140905||Walkover Win|Shrestha Anis|none|Walkover Loss|Shukla Tapas|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140905|0:15|11|Parashar Rohan|none|9|Shrestha Anis|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140905|0:15|11|Parashar Rohan|none|2|Shrestha Anis|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140905|0:15|11|Parashar Rohan|none|5|Shrestha Anis|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140905|0:35|11|Deshpande Rishabh|none|10|Darji Akendra|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140905|0:35|11|Deshpande Rishabh|none|8|Darji Akendra|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140905|0:35|10|Deshpande Rishabh|none|11|Darji Akendra|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140905|0:35|9|Deshpande Rishabh|none|11|Darji Akendra|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140905|0:35|11|Deshpande Rishabh|none|9|Darji Akendra|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140905|0:12|11|Nandanoori Yeshaswini|none|5|Chand Mega|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140905|0:12|11|Nandanoori Yeshaswini|none|3|Chand Mega|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140905|0:12|11|Nandanoori Yeshaswini|none|9|Chand Mega|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140905|0:11|11|Bhagwat Shriya|none|3|Mukhiya Sunaina|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140905|0:11|11|Bhagwat Shriya|none|4|Mukhiya Sunaina|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140905|0:11|11|Bhagwat Shriya|none|6|Mukhiya Sunaina|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140905||Walkover Win|Gurung Jessica|none|Walkover Loss|Bera Archana|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140905||Walkover Win|Dahiya Lalit|none|Walkover Loss|Shetty Chirag [1]|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140905||Walkover Win|Makkar Hardik|none|Walkover Loss|Chhikara Ankit|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140905||Walkover Win|Dundi Gopalkrishna Reddy|none|Walkover Loss|Pratap Singh Siddharth [4]|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140905||Walkover Win|Bhivpathaki Arya|none|Walkover Loss|Saroha Himanshu|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140905||Walkover Win|Mayekar Aniruddha|none|Walkover Loss|Minhas Sahaj [3]|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140905||Walkover Win|Aroskar Siddhesh|none|Walkover Loss|Ghosh Shouvik [2]|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140906||Walkover Win|Bhivpathaki Arya|none|Walkover Loss|Rashith Halambage|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140906||Walkover Win|Shrestha Anis|none|Walkover Loss|Shukla Tapas|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140906|0:15|11|Parashar Rohan|none|9|Shrestha Anis|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140906|0:15|11|Parashar Rohan|none|2|Shrestha Anis|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140906|0:15|11|Parashar Rohan|none|5|Shrestha Anis|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140906|0:35|11|Deshpande Rishabh|none|10|Darji Akendra|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140906|0:35|11|Deshpande Rishabh|none|8|Darji Akendra|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140906|0:35|10|Deshpande Rishabh|none|11|Darji Akendra|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140906|0:35|9|Deshpande Rishabh|none|11|Darji Akendra|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140906|0:35|11|Deshpande Rishabh|none|9|Darji Akendra|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140906|0:12|11|Nandanoori Yeshaswini|none|5|Chand Mega|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140906|0:12|11|Nandanoori Yeshaswini|none|3|Chand Mega|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140906|0:12|11|Nandanoori Yeshaswini|none|9|Chand Mega|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140906|0:11|11|Bhagwat Shriya|none|3|Mukhiya Sunaina|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140906|0:11|11|Bhagwat Shriya|none|4|Mukhiya Sunaina|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
20140906|0:11|11|Bhagwat Shriya|none|6|Mukhiya Sunaina|none|1B578640-1896-489E-B57B-2247C50F02AC|singles
