date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20150626|0:27|21|Andrew Martin |none|9|Grzegorz Jednaki|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:27|21|Andrew Martin |none|3|Grzegorz Jednaki|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:13|21|Niall Mcveigh |none|6|Maria Bartusz|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:13|21|Niall Mcveigh |none|3|Maria Bartusz|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:23|21|Krysten Coombs |none|11|Isaak Dalglish|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:23|21|Krysten Coombs |none|16|Isaak Dalglish|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:38|21|Tibor Lorinczi|Sharon Jones-Barnes|19|Richard Perot|Pamela Masse|1C3705A5-12EB-457A-986C-28B997B9B49A|doubles
20150626|0:38|21|Tibor Lorinczi|Sharon Jones-Barnes|9|Richard Perot|Pamela Masse|1C3705A5-12EB-457A-986C-28B997B9B49A|doubles
20150626|0:29|21|Francois Nalborczyk|Audrey Marie Brigitte Bellia-Sauvage|12|Chris Stewart|Laura Lee Jenkins|1C3705A5-12EB-457A-986C-28B997B9B49A|doubles
20150626|0:29|21|Francois Nalborczyk|Audrey Marie Brigitte Bellia-Sauvage|18|Chris Stewart|Laura Lee Jenkins|1C3705A5-12EB-457A-986C-28B997B9B49A|doubles
20150626|0:31|21|Owen Kilburn|Fiona Christie|17|Pascal Barrillon|Florence Guillemin|1C3705A5-12EB-457A-986C-28B997B9B49A|doubles
20150626|0:31|21|Owen Kilburn|Fiona Christie|8|Pascal Barrillon|Florence Guillemin|1C3705A5-12EB-457A-986C-28B997B9B49A|doubles
20150626|0:28|21|Tsutomu Shimada|Rie Ogura|16|Aslan Sahin|Narin Uluc|1C3705A5-12EB-457A-986C-28B997B9B49A|doubles
20150626|0:28|21|Tsutomu Shimada|Rie Ogura|11|Aslan Sahin|Narin Uluc|1C3705A5-12EB-457A-986C-28B997B9B49A|doubles
20150626|0:50|21|Stephen Durand|Emmanuelle Ott|18|Hazret Korkmaz|Yoko Egami|1C3705A5-12EB-457A-986C-28B997B9B49A|doubles
20150626|0:50|17|Stephen Durand|Emmanuelle Ott|21|Hazret Korkmaz|Yoko Egami|1C3705A5-12EB-457A-986C-28B997B9B49A|doubles
20150626|0:50|21|Stephen Durand|Emmanuelle Ott|17|Hazret Korkmaz|Yoko Egami|1C3705A5-12EB-457A-986C-28B997B9B49A|doubles
20150626|0:18|21|Connor Dua-Harper |Liliia Prokofeva|8|Harri Isomaeki|Heidi Manninen|1C3705A5-12EB-457A-986C-28B997B9B49A|doubles
20150626|0:18|21|Connor Dua-Harper |Liliia Prokofeva|5|Harri Isomaeki|Heidi Manninen|1C3705A5-12EB-457A-986C-28B997B9B49A|doubles
20150626|0:32|21|Jordy Brouwer Von Gonzonbach |Elke Rongen|2|Jakub Tomasz Sikorski|Amalia Martinez Lopez|1C3705A5-12EB-457A-986C-28B997B9B49A|doubles
20150626|0:32|21|Jordy Brouwer Von Gonzonbach |Elke Rongen|9|Jakub Tomasz Sikorski|Amalia Martinez Lopez|1C3705A5-12EB-457A-986C-28B997B9B49A|doubles
20150626|0:20|21|Chun Yim Wong |none|3|Remi Benichou|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:20|21|Chun Yim Wong |none|3|Remi Benichou|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:35|17|Rachel Choong |none|21|Andrew Moorcroft|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:35|24|Rachel Choong |none|22|Andrew Moorcroft|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:35|21|Rachel Choong |none|11|Andrew Moorcroft|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:24|21|Lucas Mazur |none|14|Sedat Tuemkaya|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:24|21|Lucas Mazur |none|8|Sedat Tuemkaya|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:25|21|Raul Anguiano |none|6|Mark Waller|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:25|21|Raul Anguiano |none|10|Mark Waller|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:50|16|Tim Haller |none|21|Dan Ala Frojd|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:50|21|Tim Haller |none|19|Dan Ala Frojd|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:50|21|Tim Haller |none|12|Dan Ala Frojd|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:20|21|Anand Kumar Boregowda |none|11|Laurent Scatabelli|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:20|21|Anand Kumar Boregowda |none|15|Laurent Scatabelli|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:27|21|Nils Boning|none|9|Daniel Lee [5/6]|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:27|21|Nils Boning|none|18|Daniel Lee [5/6]|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:04|Walkover Win|Veronique Braud |none|Walkover Loss|Avraham Oren|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:21|21|Bobby Griffin |none|13|Jean-Francois Le Perff|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:21|21|Bobby Griffin |none|9|Jean-Francois Le Perff|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:24|21|Helle Sofie Sagoy |none|8|Fuat Soruklu|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:24|21|Helle Sofie Sagoy |none|12|Fuat Soruklu|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:27|21|Daniel Bethell |none|6|Geoffrey Byzery|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:27|21|Daniel Bethell |none|13|Geoffrey Byzery|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:25|21|Hugo Barrue|none|7|Pascal Baron|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:25|21|Hugo Barrue|none|7|Pascal Baron|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
20150626|0:23|21|Mathieu Gilles Thomas|none|13|Jeremie Gourves|none|1C3705A5-12EB-457A-986C-28B997B9B49A|singles
