date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180223|0:18|21|Su Li Yang |none|10|Adam Twardzik|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:18|21|Su Li Yang |none|6|Adam Twardzik|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:33|12|Senne Houthoofd|none|21|Jakub Horak|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:33|21|Senne Houthoofd|none|19|Jakub Horak|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:33|21|Senne Houthoofd|none|19|Jakub Horak|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:36|21|Alonso Medel |none|14|Josip Meglić|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:36|19|Alonso Medel |none|21|Josip Meglić|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:36|21|Alonso Medel |none|18|Josip Meglić|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:38|19|Dimitri Jacquart|none|21|Nicolas Macias|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:38|21|Dimitri Jacquart|none|14|Nicolas Macias|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:38|21|Dimitri Jacquart|none|18|Nicolas Macias|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:21|21|Christopher Alexander Martinez Salvador |none|16|Klemen Lesničar|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:21|21|Christopher Alexander Martinez Salvador |none|14|Klemen Lesničar|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:44|21|Nicolas Rudolf|none|23|Marcus Boman|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:44|24|Nicolas Rudolf|none|22|Marcus Boman|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:44|21|Nicolas Rudolf|none|14|Marcus Boman|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:17|21|Daniel Popescu |none|10|Malte Wagner|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:17|21|Daniel Popescu |none|8|Malte Wagner|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:19|21|Tomas Toledano|none|13|Minh Quang Pham|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:19|21|Tomas Toledano|none|9|Minh Quang Pham|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:40|21|Dennis Koppen |none|23|Wu Guan Xun|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:40|21|Dennis Koppen |none|16|Wu Guan Xun|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:40|22|Dennis Koppen |none|20|Wu Guan Xun|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:36|17|Ernesto Baschwitz|none|21|Hans-Kristjan Pilve|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:36|21|Ernesto Baschwitz|none|15|Hans-Kristjan Pilve|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:36|21|Ernesto Baschwitz|none|17|Hans-Kristjan Pilve|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:25|21|Giovanni Toti |none|13|Soen Rimmer|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:25|21|Giovanni Toti |none|12|Soen Rimmer|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:23|21|Lin Kuan-Ting|none|13|Andreas Zbinden|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:23|21|Lin Kuan-Ting|none|11|Andreas Zbinden|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:23|21|Markus Barth |none|16|Lars Kros|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:23|21|Markus Barth |none|11|Lars Kros|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:31|21|Maxim Grinblat|none|17|Maciej Matusz|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:31|18|Maxim Grinblat|none|21|Maciej Matusz|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:31|21|Maxim Grinblat|none|9|Maciej Matusz|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:19|21|Fabricio Farias |none|11|Nestor Gabrysiak|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:19|21|Fabricio Farias |none|14|Nestor Gabrysiak|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:23|21|Sergio Vidal|none|19|Samuel Cassar|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:23|21|Sergio Vidal|none|12|Samuel Cassar|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:41|25|Victor Ramstedt|none|23|Patryk Kordek|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:41|18|Victor Ramstedt|none|21|Patryk Kordek|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:41|21|Victor Ramstedt|none|19|Patryk Kordek|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
20180223|0:38|21|Karl Kert |none|17|Marc Cardona|none|1C7B573F-CFE7-46EA-B97D-8612CC14FF67|singles
