date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20141203||Walkover Win|Nicolas Strange|Jordan Hart|Walkover Loss|Karnphop Atthaviroj|Laura Sarosi|1E0DDF43-4997-495C-84ED-8F5934C397B6|doubles
20141203|0:23|21|Matthew Nottingham |Alyssa Lim|11|Javier Sanchez Soler|Laura Molina|1E0DDF43-4997-495C-84ED-8F5934C397B6|doubles
20141203|0:23|21|Matthew Nottingham |Alyssa Lim|12|Javier Sanchez Soler|Laura Molina|1E0DDF43-4997-495C-84ED-8F5934C397B6|doubles
20141203|0:31|21|Patrick Machugh|Rebekka Findlay|13|Andreas Heinz [4]|Jennifer Karnott|1E0DDF43-4997-495C-84ED-8F5934C397B6|doubles
20141203|0:31|22|Patrick Machugh|Rebekka Findlay|20|Andreas Heinz [4]|Jennifer Karnott|1E0DDF43-4997-495C-84ED-8F5934C397B6|doubles
20141203|0:23|21|Hsuan Ming Lee|Carissa Turner|14|Tony Murphy|Jennie King|1E0DDF43-4997-495C-84ED-8F5934C397B6|doubles
20141203|0:23|21|Hsuan Ming Lee|Carissa Turner|18|Tony Murphy|Jennie King|1E0DDF43-4997-495C-84ED-8F5934C397B6|doubles
20141203|0:24|21|Kan Chao Yu|Akvile Stapusaityte|8|Johannes Pistorius|Ramona Hacks|1E0DDF43-4997-495C-84ED-8F5934C397B6|doubles
20141203|0:24|21|Kan Chao Yu|Akvile Stapusaityte|19|Johannes Pistorius|Ramona Hacks|1E0DDF43-4997-495C-84ED-8F5934C397B6|doubles
20141203|0:17|21|Alex Vlaar|Cheryl Seinen|11|Callum Hemming|Lizzie Tolman|1E0DDF43-4997-495C-84ED-8F5934C397B6|doubles
20141203|0:17|21|Alex Vlaar|Cheryl Seinen|18|Callum Hemming|Lizzie Tolman|1E0DDF43-4997-495C-84ED-8F5934C397B6|doubles
20141203|0:20|21|Juan Manuel Fernandez Quiles|Rachael Darragh|12|Norman Chun Hang Lau|Moya Ryan|1E0DDF43-4997-495C-84ED-8F5934C397B6|doubles
20141203|0:20|21|Juan Manuel Fernandez Quiles|Rachael Darragh|13|Norman Chun Hang Lau|Moya Ryan|1E0DDF43-4997-495C-84ED-8F5934C397B6|doubles
20141203|0:17|21|Zvonimir Hoelbling|Maja Pavlinic|16|Beryno Jiann Tze Wong|Megan Bredin|1E0DDF43-4997-495C-84ED-8F5934C397B6|doubles
20141203|0:17|21|Zvonimir Hoelbling|Maja Pavlinic|4|Beryno Jiann Tze Wong|Megan Bredin|1E0DDF43-4997-495C-84ED-8F5934C397B6|doubles
20141203|0:33|22|Jakub Bitman|none|20|Winson Neo|none|1E0DDF43-4997-495C-84ED-8F5934C397B6|singles
20141203|0:33|21|Jakub Bitman|none|14|Winson Neo|none|1E0DDF43-4997-495C-84ED-8F5934C397B6|singles
20141203|0:36|21|Iikka Heino|none|13|Kwong Beng Chan [10]|none|1E0DDF43-4997-495C-84ED-8F5934C397B6|singles
20141203|0:36|21|Iikka Heino|none|19|Kwong Beng Chan [10]|none|1E0DDF43-4997-495C-84ED-8F5934C397B6|singles
20141203|0:18|21|Kai Schaefer|none|7|Che Leong Soong|none|1E0DDF43-4997-495C-84ED-8F5934C397B6|singles
20141203|0:18|21|Kai Schaefer|none|8|Che Leong Soong|none|1E0DDF43-4997-495C-84ED-8F5934C397B6|singles
20141203|0:45|11|Mark Caljouw |none|21|Hsuan Ming Lee|none|1E0DDF43-4997-495C-84ED-8F5934C397B6|singles
20141203|0:45|21|Mark Caljouw |none|13|Hsuan Ming Lee|none|1E0DDF43-4997-495C-84ED-8F5934C397B6|singles
