date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20160922|0:18|21|Daniel Grassmuck|none|10|Patryk Kordek|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:18|21|Daniel Grassmuck|none|10|Patryk Kordek|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:18|21|Jia Wei Tan|none|8|Norbert Swierk|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:18|21|Jia Wei Tan|none|9|Norbert Swierk|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:45|19|Dariusz Janik|none|21|Don Sergey [14]|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:45|21|Dariusz Janik|none|14|Don Sergey [14]|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:45|21|Dariusz Janik|none|15|Don Sergey [14]|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:21|21|Mikkel Enghøj|none|15|Michal Kikosicki|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:21|21|Mikkel Enghøj|none|7|Michal Kikosicki|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:37|16|Elias Nicolaou |none|21|Aleksander Jablonski|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:37|21|Elias Nicolaou |none|14|Aleksander Jablonski|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:37|21|Elias Nicolaou |none|13|Aleksander Jablonski|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:23|21|Simon Wang|none|13|Michal Walentek|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:23|21|Simon Wang|none|16|Michal Walentek|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:18|21|Douglas Lidman |none|9|Szymon Stokfisz|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:18|21|Douglas Lidman |none|8|Szymon Stokfisz|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:25|21|Victor Zuhr|none|16|Piotr Gajda|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:25|21|Victor Zuhr|none|7|Piotr Gajda|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922||Walkover Win|Lukasz Cimosz|none|Walkover Loss|Lukas Zevl [3]|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:25|21|Martynenko Mykola|none|17|Jacek Kolumbajew|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:25|21|Martynenko Mykola|none|16|Jacek Kolumbajew|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:22|21|Morgan Lidman|none|13|Krzysztof Jakowczuk [13]|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:22|21|Morgan Lidman|none|10|Krzysztof Jakowczuk [13]|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:22|21|Alan Ostrowski|none|17|Grimaldy Navirio Gunawan|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:22|21|Alan Ostrowski|none|9|Grimaldy Navirio Gunawan|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:17|21|Mikkel Mikkelsen |none|8|Kristaps Kalnins|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:17|21|Mikkel Mikkelsen |none|4|Kristaps Kalnins|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:48|17|Juraj Vachalek|none|21|Adam Szolc|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:48|21|Juraj Vachalek|none|6|Adam Szolc|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:48|21|Juraj Vachalek|none|15|Adam Szolc|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:44|22|Mateusz Biernacki |none|20|Oleksandar Shmundyak|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:44|25|Mateusz Biernacki |none|23|Oleksandar Shmundyak|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:18|21|Petr Beran|none|9|Wiktor Trecki|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:18|21|Petr Beran|none|8|Wiktor Trecki|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:46|21|Milan Dratva|none|13|Leon Seiwald|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:46|13|Milan Dratva|none|21|Leon Seiwald|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:46|21|Milan Dratva|none|16|Leon Seiwald|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:21|21|Maciej Ociepa |none|12|Ignas Reznikas|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:21|21|Maciej Ociepa |none|12|Ignas Reznikas|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:20|21|Jun Hao Leong|none|11|Mateusz Szalankiewicz|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:20|21|Jun Hao Leong|none|11|Mateusz Szalankiewicz|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:26|21|Jan Louda|none|10|Niks Podosinoviks [6]|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
20160922|0:26|21|Jan Louda|none|18|Niks Podosinoviks [6]|none|211A3BD4-A96F-4E34-8F27-9FC4C7F808F3|singles
