date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20190423|0:26|21|Pang Fong Pui|none|12|Artyom Savatyugin|none|21A30699-7C75-40EE-BE6C-930BF23B8736|singles
20190423|0:26|21|Pang Fong Pui|none|8|Artyom Savatyugin|none|21A30699-7C75-40EE-BE6C-930BF23B8736|singles
20190423|0:34|21|Cheam June Wei |none|13|Amir Jabbari|none|21A30699-7C75-40EE-BE6C-930BF23B8736|singles
20190423|0:34|21|Cheam June Wei |none|14|Amir Jabbari|none|21A30699-7C75-40EE-BE6C-930BF23B8736|singles
20190423|0:29|21|Kavidi Sirimannage|none|13|Sevinch Sodikova|none|21A30699-7C75-40EE-BE6C-930BF23B8736|singles
20190423|0:29|21|Kavidi Sirimannage|none|15|Sevinch Sodikova|none|21A30699-7C75-40EE-BE6C-930BF23B8736|singles
20190423|0:49|21|Ratnajit Tamang|none|15|Namboun Luangamath|none|21A30699-7C75-40EE-BE6C-930BF23B8736|singles
20190423|0:49|19|Ratnajit Tamang|none|21|Namboun Luangamath|none|21A30699-7C75-40EE-BE6C-930BF23B8736|singles
20190423|0:49|21|Ratnajit Tamang|none|12|Namboun Luangamath|none|21A30699-7C75-40EE-BE6C-930BF23B8736|singles
20190423|0:26|21|Cheung Ying Mei|none|11|Soraya Aghaeihajiagha|none|21A30699-7C75-40EE-BE6C-930BF23B8736|singles
20190423|0:26|21|Cheung Ying Mei|none|7|Soraya Aghaeihajiagha|none|21A30699-7C75-40EE-BE6C-930BF23B8736|singles
20190423|0:30|21|Jaspar Woon Chai Yu|none|16|Artyom Savatyugin|none|21A30699-7C75-40EE-BE6C-930BF23B8736|singles
20190423|0:30|21|Jaspar Woon Chai Yu|none|15|Artyom Savatyugin|none|21A30699-7C75-40EE-BE6C-930BF23B8736|singles
20190423|0:38|21|Niluka Karunaratne|none|10|Amir Jabbari|none|21A30699-7C75-40EE-BE6C-930BF23B8736|singles
20190423|0:38|21|Niluka Karunaratne|none|12|Amir Jabbari|none|21A30699-7C75-40EE-BE6C-930BF23B8736|singles
20190423|0:24|21|Hu Yun|none|11|Batdavaa Munkhbat|none|21A30699-7C75-40EE-BE6C-930BF23B8736|singles
20190423|0:24|21|Hu Yun|none|13|Batdavaa Munkhbat|none|21A30699-7C75-40EE-BE6C-930BF23B8736|singles
20190423|0:21|21|Pang Fong Pui|none|6|Jaspar Woon Chai Yu|none|21A30699-7C75-40EE-BE6C-930BF23B8736|singles
20190423|0:21|21|Pang Fong Pui|none|10|Jaspar Woon Chai Yu|none|21A30699-7C75-40EE-BE6C-930BF23B8736|singles
20190423|0:21|21|Chang Tak Ching|Yeung Ming Nok|7|Amrullo Bakhshullaev|Artyom Savatyugin|21A30699-7C75-40EE-BE6C-930BF23B8736|doubles
