date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20181130|0:44|17|Jannik Auberger|Karoline Pottendorfer|21|Ou Yang Wang|Katica Torba|25C922D0-7ADB-4860-87AF-5DF11ABD2E4E|doubles
20181130|0:44|23|Jannik Auberger|Karoline Pottendorfer|21|Ou Yang Wang|Katica Torba|25C922D0-7ADB-4860-87AF-5DF11ABD2E4E|doubles
20181130|0:44|25|Jannik Auberger|Karoline Pottendorfer|23|Ou Yang Wang|Katica Torba|25C922D0-7ADB-4860-87AF-5DF11ABD2E4E|doubles
20181130|0:31|21|Jaromir Fojtasek|Candela Antequera|8|Mark Mesarič|Ajda Justin|25C922D0-7ADB-4860-87AF-5DF11ABD2E4E|doubles
20181130|0:31|21|Jaromir Fojtasek|Candela Antequera|15|Mark Mesarič|Ajda Justin|25C922D0-7ADB-4860-87AF-5DF11ABD2E4E|doubles
20181130|0:27|21|Gal Bizjak|Taja Pipan|19|Jakub Diviš|Adéla Klapalová|25C922D0-7ADB-4860-87AF-5DF11ABD2E4E|doubles
20181130|0:27|21|Gal Bizjak|Taja Pipan|12|Jakub Diviš|Adéla Klapalová|25C922D0-7ADB-4860-87AF-5DF11ABD2E4E|doubles
20181130|0:24|21|Jan Babnik|Nike Brajkovič|19|Boris Karpjak|Julia Chmurovicova|25C922D0-7ADB-4860-87AF-5DF11ABD2E4E|doubles
20181130|0:24|21|Jan Babnik|Nike Brajkovič|11|Boris Karpjak|Julia Chmurovicova|25C922D0-7ADB-4860-87AF-5DF11ABD2E4E|doubles
20181130|0:21|21|Bene Benjamin Kiss|none|4|Maks Počivašek|none|25C922D0-7ADB-4860-87AF-5DF11ABD2E4E|singles
20181130|0:21|21|Bene Benjamin Kiss|none|7|Maks Počivašek|none|25C922D0-7ADB-4860-87AF-5DF11ABD2E4E|singles
20181130|0:31|21|Jacobo Fernandez |none|15|Alessandro Vertua|none|25C922D0-7ADB-4860-87AF-5DF11ABD2E4E|singles
20181130|0:31|21|Jacobo Fernandez |none|19|Alessandro Vertua|none|25C922D0-7ADB-4860-87AF-5DF11ABD2E4E|singles
20181130|0:29|21|Balint Papai |none|14|Guillermo Figueras|none|25C922D0-7ADB-4860-87AF-5DF11ABD2E4E|singles
20181130|0:29|21|Balint Papai |none|18|Guillermo Figueras|none|25C922D0-7ADB-4860-87AF-5DF11ABD2E4E|singles
20181130|0:31|21|Matevž Herman|none|10|Luka Črep|none|25C922D0-7ADB-4860-87AF-5DF11ABD2E4E|singles
20181130|0:31|21|Matevž Herman|none|15|Luka Črep|none|25C922D0-7ADB-4860-87AF-5DF11ABD2E4E|singles
20181130|0:28|21|Iñigo Diaz|none|16|Filip Knežević|none|25C922D0-7ADB-4860-87AF-5DF11ABD2E4E|singles
20181130|0:28|21|Iñigo Diaz|none|13|Filip Knežević|none|25C922D0-7ADB-4860-87AF-5DF11ABD2E4E|singles
20181130|0:22|21|Andrzej Niczyporuk |none|8|Zihao Zhai|none|25C922D0-7ADB-4860-87AF-5DF11ABD2E4E|singles
20181130|0:22|21|Andrzej Niczyporuk |none|14|Zihao Zhai|none|25C922D0-7ADB-4860-87AF-5DF11ABD2E4E|singles
20181130|0:32|24|Kai Niederhuber|none|22|Finn Saunders|none|25C922D0-7ADB-4860-87AF-5DF11ABD2E4E|singles
20181130|0:32|21|Kai Niederhuber|none|17|Finn Saunders|none|25C922D0-7ADB-4860-87AF-5DF11ABD2E4E|singles
20181130|0:35|21|Martin Zuazola|none|15|Sebastian Kadlec [11]|none|25C922D0-7ADB-4860-87AF-5DF11ABD2E4E|singles
20181130|0:35|21|Martin Zuazola|none|16|Sebastian Kadlec [11]|none|25C922D0-7ADB-4860-87AF-5DF11ABD2E4E|singles
20181130|0:19|21|Yohan Barbieri|none|5|Andraž Pečovnik|none|25C922D0-7ADB-4860-87AF-5DF11ABD2E4E|singles
