date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20150120||Walkover Win|Jaswinder Singh|none|Walkover Loss|Siril Verma|none|26C69424-0F56-4C3A-A382-C37ABF0090FF|singles
20150120|0:50|23|Vikranth Kumar Korukonda|none|21|Rishabh Sahdev|none|26C69424-0F56-4C3A-A382-C37ABF0090FF|singles
20150120|0:50|19|Vikranth Kumar Korukonda|none|21|Rishabh Sahdev|none|26C69424-0F56-4C3A-A382-C37ABF0090FF|singles
20150120|0:50|21|Vikranth Kumar Korukonda|none|17|Rishabh Sahdev|none|26C69424-0F56-4C3A-A382-C37ABF0090FF|singles
20150120||Walkover Win|Himanshu Saroha|none|Walkover Loss|Sajan Krishna Tamrakar|none|26C69424-0F56-4C3A-A382-C37ABF0090FF|singles
20150120|0:09|21|Talar Laa|none|7|Uddin Saif|none|26C69424-0F56-4C3A-A382-C37ABF0090FF|singles
20150120|0:09|21|Talar Laa|none|8|Uddin Saif|none|26C69424-0F56-4C3A-A382-C37ABF0090FF|singles
20150120|0:40|14|Rajat Joon|none|21|Gurpartap Singh Dhaliwal|none|26C69424-0F56-4C3A-A382-C37ABF0090FF|singles
20150120|0:40|21|Rajat Joon|none|12|Gurpartap Singh Dhaliwal|none|26C69424-0F56-4C3A-A382-C37ABF0090FF|singles
20150120|0:40|21|Rajat Joon|none|13|Gurpartap Singh Dhaliwal|none|26C69424-0F56-4C3A-A382-C37ABF0090FF|singles
20150120|0:30|21|Satinder Malik|none|16|Akshay Raut|none|26C69424-0F56-4C3A-A382-C37ABF0090FF|singles
20150120|0:30|22|Satinder Malik|none|20|Akshay Raut|none|26C69424-0F56-4C3A-A382-C37ABF0090FF|singles
20150120|0:25|21|Mostafizar Rahman|none|19|Rajat Rathore|none|26C69424-0F56-4C3A-A382-C37ABF0090FF|singles
20150120|0:25|21|Mostafizar Rahman|none|12|Rajat Rathore|none|26C69424-0F56-4C3A-A382-C37ABF0090FF|singles
20150120|0:19|21|Ekta Kalia|none|13|Teenu Dahiya|none|26C69424-0F56-4C3A-A382-C37ABF0090FF|singles
20150120|0:19|21|Ekta Kalia|none|4|Teenu Dahiya|none|26C69424-0F56-4C3A-A382-C37ABF0090FF|singles
20150120|0:23|21|Mukherjee Riya|none|8|Nisha Karamchand|none|26C69424-0F56-4C3A-A382-C37ABF0090FF|singles
20150120|0:23|21|Mukherjee Riya|none|11|Nisha Karamchand|none|26C69424-0F56-4C3A-A382-C37ABF0090FF|singles
20150120|0:24|21|Vaddepally Pramada|none|15|Ritu Vinayak|none|26C69424-0F56-4C3A-A382-C37ABF0090FF|singles
20150120|0:24|21|Vaddepally Pramada|none|17|Ritu Vinayak|none|26C69424-0F56-4C3A-A382-C37ABF0090FF|singles
20150120|0:27|26|Lalita Dahiya|none|24|Smriti Nagarkoti|none|26C69424-0F56-4C3A-A382-C37ABF0090FF|singles
20150120|0:27|21|Lalita Dahiya|none|9|Smriti Nagarkoti|none|26C69424-0F56-4C3A-A382-C37ABF0090FF|singles
20150120|0:01|Walkover Win|Kirill Romanuk|none|Walkover Loss|Chirag Sen|none|26C69424-0F56-4C3A-A382-C37ABF0090FF|singles
20150120|0:18|21|Yamini Sharma|none|11|Pooja Antil|none|26C69424-0F56-4C3A-A382-C37ABF0090FF|singles
20150120|0:18|21|Yamini Sharma|none|8|Pooja Antil|none|26C69424-0F56-4C3A-A382-C37ABF0090FF|singles
20150120|0:20|21|Love Kumar|Varun Sharma|17|Raj Kumar Chander|Anand Tiwari|26C69424-0F56-4C3A-A382-C37ABF0090FF|doubles
20150120|0:20|21|Love Kumar|Varun Sharma|17|Raj Kumar Chander|Anand Tiwari|26C69424-0F56-4C3A-A382-C37ABF0090FF|doubles
20150120|0:24|23|Saurav Kapoor|Deepak Khatri|21|Surender Rathee [3]|Neeraj Vashist|26C69424-0F56-4C3A-A382-C37ABF0090FF|doubles
20150120|0:24|21|Saurav Kapoor|Deepak Khatri|14|Surender Rathee [3]|Neeraj Vashist|26C69424-0F56-4C3A-A382-C37ABF0090FF|doubles
20150120|0:20|21|Kapil Chaudhary|Chandrabhusan Tripathi|9|Sahil Katlaria|Gurbaksh Singh|26C69424-0F56-4C3A-A382-C37ABF0090FF|doubles
20150120|0:20|21|Kapil Chaudhary|Chandrabhusan Tripathi|15|Sahil Katlaria|Gurbaksh Singh|26C69424-0F56-4C3A-A382-C37ABF0090FF|doubles
20150120|0:01|Walkover Win|Jayan James|Vikranth Kumar Korukonda|Walkover Loss|Prem Singh Chouhan [1]|Manish Gupta|26C69424-0F56-4C3A-A382-C37ABF0090FF|doubles
