date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20171027|0:18|21|Dmitrii Klimenko|none|9|Esa Ettala|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:18|21|Dmitrii Klimenko|none|9|Esa Ettala|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:22|21|Hans-Kristjan Pilve|none|18|Juha Honkanen|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:22|21|Hans-Kristjan Pilve|none|16|Juha Honkanen|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:26|21|Miika Lahtinen|none|17|Matis Kaart|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:26|21|Miika Lahtinen|none|19|Matis Kaart|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:36|14|Marcus Lõo|none|21|Joao Chang|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:36|21|Marcus Lõo|none|13|Joao Chang|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:36|21|Marcus Lõo|none|11|Joao Chang|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:20|21|Daniel Collin|none|12|Eetu Li|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:20|21|Daniel Collin|none|12|Eetu Li|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:22|21|Joakim Strömvall|none|16|Klaus Erik Kruus|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:22|21|Joakim Strömvall|none|15|Klaus Erik Kruus|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:36|21|Simao Ferreira|none|19|Andreas Segercrantz|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:36|19|Simao Ferreira|none|21|Andreas Segercrantz|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:36|21|Simao Ferreira|none|8|Andreas Segercrantz|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:33|21|Tony Lindelöf|none|11|Lev Barinov|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:33|15|Tony Lindelöf|none|21|Lev Barinov|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:33|21|Tony Lindelöf|none|11|Lev Barinov|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:32|21|Marcus Boman|none|19|Eero Lauri|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:32|21|Marcus Boman|none|15|Eero Lauri|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:40|17|Malte Wagner|none|21|Iiro Koivula|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:40|21|Malte Wagner|none|11|Iiro Koivula|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:40|21|Malte Wagner|none|14|Iiro Koivula|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:21|21|Aleksander Bazanov|none|15|Tommi Huhtinen|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:21|21|Aleksander Bazanov|none|12|Tommi Huhtinen|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:15|21|Simon Sandholm|none|13|Tuomas Alhoniemi|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:15|21|Simon Sandholm|none|10|Tuomas Alhoniemi|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:50|23|Hugo Soderberg|none|21|Zechen Ma|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:50|14|Hugo Soderberg|none|21|Zechen Ma|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:50|21|Hugo Soderberg|none|16|Zechen Ma|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:15|21|Calle Badenfors|none|7|Jani Heikkilä|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:15|21|Calle Badenfors|none|10|Jani Heikkilä|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:35|21|Joakim Oldorff|none|13|Emil Hasselberg|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:35|21|Joakim Oldorff|none|17|Emil Hasselberg|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:15|21|Emil Johansson|none|6|Andreas Leinola|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:15|21|Emil Johansson|none|4|Andreas Leinola|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:34|13|Fabian B-Carlsson|Daniel Collin|21|Lev Barinov|Dmitrii Klimenko|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|doubles
20171027|0:34|21|Fabian B-Carlsson|Daniel Collin|16|Lev Barinov|Dmitrii Klimenko|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|doubles
20171027|0:34|21|Fabian B-Carlsson|Daniel Collin|18|Lev Barinov|Dmitrii Klimenko|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|doubles
20171027|0:37|23|Hannes Svensson|Krittaphat Thiapwacha|25|Hans-Kristjan Pilve|Alexander Raudsepp|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|doubles
20171027|0:37|21|Hannes Svensson|Krittaphat Thiapwacha|16|Hans-Kristjan Pilve|Alexander Raudsepp|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|doubles
20171027|0:37|21|Hannes Svensson|Krittaphat Thiapwacha|15|Hans-Kristjan Pilve|Alexander Raudsepp|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|doubles
20171027|0:19|21|Juha Honkanen|Miika Lahtinen|12|Joao Chang|Simao Ferreira|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|doubles
20171027|0:19|21|Juha Honkanen|Miika Lahtinen|10|Joao Chang|Simao Ferreira|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|doubles
20171027|0:25|21|Victor Ramstedt|Joakim Strömvall|16|Guido Andersson|Andreas Segercrantz|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|doubles
20171027|0:25|21|Victor Ramstedt|Joakim Strömvall|18|Guido Andersson|Andreas Segercrantz|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|doubles
20171027|0:37|19|Mari Ann Karjus|none|21|Emilia Harti|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:37|21|Mari Ann Karjus|none|16|Emilia Harti|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:37|21|Mari Ann Karjus|none|11|Emilia Harti|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:33|20|Victoria Korobova|none|22|Jannica Monnberg|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:33|21|Victoria Korobova|none|8|Jannica Monnberg|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:33|21|Victoria Korobova|none|15|Jannica Monnberg|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
20171027|0:20|21|Nathalie Wang|none|15|Teresa Lopes|none|2E62C608-67DF-4195-9F14-C36BEBE1E2E7|singles
