date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180207|0:17|21|Mohamed Mahmoud Djitli|none|7|Bahaeddine Louani|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:17|21|Mohamed Mahmoud Djitli|none|8|Bahaeddine Louani|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:19|21|Mohamed Abdelaziz Ouchefoun|none|13|Walid Belaidene|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:19|21|Mohamed Abdelaziz Ouchefoun|none|11|Walid Belaidene|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:35|21|Majed Yacine Balahoune|none|13|Ahmed Amine Ksikes|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:35|21|Majed Yacine Balahoune|none|13|Ahmed Amine Ksikes|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:39|14|Akpa Jerome Ibrahim Agnimel|none|21|Yacine Allou|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:39|21|Akpa Jerome Ibrahim Agnimel|none|18|Yacine Allou|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:39|21|Akpa Jerome Ibrahim Agnimel|none|14|Yacine Allou|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:18|21|Yassine El Mernissi|none|6|Riad Halimi|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:18|21|Yassine El Mernissi|none|9|Riad Halimi|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:48|18|Samy Khaldi|none|21|Mohamed Amine Guelmaoui|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:48|21|Samy Khaldi|none|14|Mohamed Amine Guelmaoui|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:48|21|Samy Khaldi|none|18|Mohamed Amine Guelmaoui|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:19|21|Matthew Abela|none|8|Raouf Lamrani|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:19|21|Matthew Abela|none|9|Raouf Lamrani|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:44|21|Alex Patrick Zolobe|none|19|Massinissa Temine|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:44|23|Alex Patrick Zolobe|none|21|Massinissa Temine|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:44|21|Alex Patrick Zolobe|none|19|Massinissa Temine|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:26|21|Jana Ashraf|none|14|Yasmina Chibah|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:26|21|Jana Ashraf|none|16|Yasmina Chibah|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:27|22|Ines Ziani|none|20|Kenza Ghassil|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:27|21|Ines Ziani|none|6|Kenza Ghassil|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:36|19|Amrouni Kahina|none|21|Ferd Houda|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:36|21|Amrouni Kahina|none|19|Ferd Houda|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:36|21|Amrouni Kahina|none|7|Ferd Houda|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:25|21|Malak Ouchefoun|none|4|Abed Arina|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:25|21|Malak Ouchefoun|none|3|Abed Arina|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:12|21|Linda Mazri |none|6|Imane Chekkal|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:12|21|Linda Mazri |none|8|Imane Chekkal|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:24|21|Mohamed Mostafa Kamel |none|14|Mohamed Mahmoud Djitli|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:24|21|Mohamed Mostafa Kamel |none|14|Mohamed Mahmoud Djitli|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:20|21|Mohamed Abdelaziz Ouchefoun|none|16|Bouksani Abderrahim|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:20|21|Mohamed Abdelaziz Ouchefoun|none|19|Bouksani Abderrahim|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
20180207|0:55|21|Samy Khaldi|none|14|Yassine El Mernissi|none|2F225B70-FF6C-4BBD-A09E-24EB3A5ACB48|singles
