date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20160322|0:18|21|Edward Lau|Tamara Otene|11|Callum Harfield|Selena Wu|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|doubles
20160322|0:18|21|Edward Lau|Tamara Otene|13|Callum Harfield|Selena Wu|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|doubles
20160322|0:24|21|Alistair Casey|Melinda Sun|14|Abhinav Manota|Justine Villegas|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|doubles
20160322|0:24|21|Alistair Casey|Melinda Sun|17|Abhinav Manota|Justine Villegas|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|doubles
20160322|0:25|21|Niccolo Tagle|Deborah Yin|15|Maoni Hu He [4]|Alyse Derby|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|doubles
20160322|0:25|22|Niccolo Tagle|Deborah Yin|20|Maoni Hu He [4]|Alyse Derby|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|doubles
20160322|0:02|1|Manu Attri|Ashwini Ponnappa|0|Christopher Steeghs|Erena Calder -Hawkins|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|doubles
20160322|0:02|Walkover Win|Manu Attri|Ashwini Ponnappa|Walkover Loss|Christopher Steeghs|Erena Calder -Hawkins|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|doubles
20160322|0:17|21|Takuto Inoue|Naru Shinoya|7|Shyam Purushothman|Kelly Stern|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|doubles
20160322|0:17|21|Takuto Inoue|Naru Shinoya|6|Shyam Purushothman|Kelly Stern|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|doubles
20160322|0:31|24|Kevin Dennerly-Minturn|Danielle Tahuri|22|Anthony Joe [3]|Tiffany Ho|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|doubles
20160322|0:31|21|Kevin Dennerly-Minturn|Danielle Tahuri|13|Anthony Joe [3]|Tiffany Ho|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|doubles
20160322|0:36|22|Huaidong Tang|Joy Lai|20|Dhanny Oud|Jasmin Chung Man Ng|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|doubles
20160322|0:36|18|Huaidong Tang|Joy Lai|21|Dhanny Oud|Jasmin Chung Man Ng|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|doubles
20160322|0:36|21|Huaidong Tang|Joy Lai|18|Dhanny Oud|Jasmin Chung Man Ng|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|doubles
20160322|0:35|17|Catelyn Rozario|none|21|Claudia Lam|none|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|singles
20160322|0:35|21|Catelyn Rozario|none|14|Claudia Lam|none|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|singles
20160322|0:35|22|Catelyn Rozario|none|20|Claudia Lam|none|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|singles
20160322|0:19|21|Yu Jen Chi|Kuo Ching-Hung|10|Oscar Guo|Dacmen Vong|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|doubles
20160322|0:19|21|Yu Jen Chi|Kuo Ching-Hung|12|Oscar Guo|Dacmen Vong|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|doubles
20160322|0:23|21|Alistair Casey|Melinda Sun|14|Edward Lau|Tamara Otene|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|doubles
20160322|0:23|21|Alistair Casey|Melinda Sun|15|Edward Lau|Tamara Otene|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|doubles
20160322|0:18|21|Manu Attri|Ashwini Ponnappa|10|Niccolo Tagle|Deborah Yin|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|doubles
20160322|0:18|21|Manu Attri|Ashwini Ponnappa|11|Niccolo Tagle|Deborah Yin|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|doubles
20160322|0:23|21|Takuto Inoue|Naru Shinoya|13|Kevin Dennerly-Minturn|Danielle Tahuri|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|doubles
20160322|0:23|21|Takuto Inoue|Naru Shinoya|5|Kevin Dennerly-Minturn|Danielle Tahuri|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|doubles
20160322|0:27|21|Huaidong Tang|Joy Lai|17|Dylan Soedjasa|Vicki Copeland|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|doubles
20160322|0:27|21|Huaidong Tang|Joy Lai|19|Dylan Soedjasa|Vicki Copeland|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|doubles
20160322|0:16|21|Wei Chi Liu|Shih Kuei Chun|6|Calvin Pang|Andrew Rouse|2F65CB03-F736-4C3E-A3BB-86ED37264EC6|doubles
