date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20161118|0:30|24|Philip Birker|Nina Sorger|26|Alan Ostrowski|Oliwia Socha|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:30|21|Philip Birker|Nina Sorger|12|Alan Ostrowski|Oliwia Socha|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:30|21|Philip Birker|Nina Sorger|7|Alan Ostrowski|Oliwia Socha|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:33|21|Marek Aubus|Michaela Fuchsova|10|Wiktor Trecki|Laura Bujak|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:33|22|Marek Aubus|Michaela Fuchsova|24|Wiktor Trecki|Laura Bujak|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:33|21|Marek Aubus|Michaela Fuchsova|13|Wiktor Trecki|Laura Bujak|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:20|21|Václav Palán|Valentýna Sonnková|12|Filip Brudek|Patrycja Jonderko|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:20|21|Václav Palán|Valentýna Sonnková|11|Filip Brudek|Patrycja Jonderko|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:19|21|Patryk Kordek|Dominika Kwasnik|16|Adam Twardzik|Nela Němcová|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:19|21|Patryk Kordek|Dominika Kwasnik|9|Adam Twardzik|Nela Němcová|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:33|22|Christopher Grimley|Ciara Torrance|20|Steven Stallwood|Molly Chapman|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:33|21|Christopher Grimley|Ciara Torrance|19|Steven Stallwood|Molly Chapman|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:24|21|Jakob Sorger|Serena Au Yeong|15|Adam Blanik|Anna Škarková|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:24|21|Jakob Sorger|Serena Au Yeong|10|Adam Blanik|Anna Škarková|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:20|21|Pawel Smilowski |Magdalena Swierczynska|6|Karol Budny|Zuzanna Jankowska|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:20|21|Pawel Smilowski |Magdalena Swierczynska|6|Karol Budny|Zuzanna Jankowska|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:22|21|Jan Janoštík|Bára Hadáčková|14|Vít Kulíšek|Tereza Kobyláková|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:22|21|Jan Janoštík|Bára Hadáčková|17|Vít Kulíšek|Tereza Kobyláková|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:28|21|Konrad Ploch|Izabela Pajek|18|Szymon Stokfisz|Anna Duda|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:28|21|Konrad Ploch|Izabela Pajek|17|Szymon Stokfisz|Anna Duda|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:22|21|Patryk Kopec |Aleksandra Goszczynska|14|Wojciech Sajdok|Daniela Bielinska|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:22|21|Patryk Kopec |Aleksandra Goszczynska|16|Wojciech Sajdok|Daniela Bielinska|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:40|18|Bartosz Markiewicz|Zuzanna Glijer|21|Adam Szolc [7]|Wiktoria Adamek|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:40|21|Bartosz Markiewicz|Zuzanna Glijer|19|Adam Szolc [7]|Wiktoria Adamek|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:40|21|Bartosz Markiewicz|Zuzanna Glijer|14|Adam Szolc [7]|Wiktoria Adamek|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:21|21|Adam Horak |Mia Tarcalova|16|Matěj Ehm|Rozálie Bártová|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:21|21|Adam Horak |Mia Tarcalova|18|Matěj Ehm|Rozálie Bártová|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:20|21|Jan Somerlík |Dominika Budzelova|14|Filip Sedlacek|Tallulah Sharleen Van Coppenolle|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:20|21|Jan Somerlík |Dominika Budzelova|19|Filip Sedlacek|Tallulah Sharleen Van Coppenolle|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:22|21|Balazs Szenjai |Anett Karsai|19|Abela Matthew|Veronika Dobiášová|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:22|21|Balazs Szenjai |Anett Karsai|19|Abela Matthew|Veronika Dobiášová|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:21|21|Robert Cybulski |Wiktoria Dabczynska|15|Jiří Vajsejtl|Dana Griněnková|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
20161118|0:21|21|Robert Cybulski |Wiktoria Dabczynska|6|Jiří Vajsejtl|Dana Griněnková|2F66A0C9-F9EA-4628-92E1-766868EC5B5B|doubles
