date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20160930|0:15|21|Kevin Strobl|none|5|Asrar Seid|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:15|21|Kevin Strobl|none|15|Asrar Seid|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:25|21|Kalombo Mulenga|none|6|Asnake Getachew Sahilu|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:25|21|Kalombo Mulenga|none|15|Asnake Getachew Sahilu|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:20|21|Matteo Bellucci|none|5|Azmach Tebarek|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:20|21|Matteo Bellucci|none|4|Azmach Tebarek|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:20|21|Lukas Osele|none|10|Yakob Surafel|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:20|21|Lukas Osele|none|18|Yakob Surafel|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:25|21|Fabio Caponio|none|8|Markos Demis|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:25|21|Fabio Caponio|none|9|Markos Demis|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:15|21|Fanthhun Estefanos|none|8|Abdulkadir Tofik|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:15|21|Fanthhun Estefanos|none|13|Abdulkadir Tofik|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:10|21|Chongo Ezra Mulenga|none|1|Matusala Matusala|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:10|21|Chongo Ezra Mulenga|none|7|Matusala Matusala|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:20|21|Topsy Phiri|none|8|Amanuel Bekele|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:20|21|Topsy Phiri|none|13|Amanuel Bekele|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:30|21|Teklu Endale|none|16|Sema Bereket|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:30|21|Teklu Endale|none|6|Sema Bereket|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930||Walkover Win|Kidist Hailu|none|Walkover Loss|Vrushali Gummadi|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:20|21|Lisa Iversen|none|7|Workinesh Tilahun|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:20|21|Lisa Iversen|none|11|Workinesh Tilahun|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:14|21|Menna Eltanany |none|4|Melat Woldegebreal|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:14|21|Menna Eltanany |none|2|Melat Woldegebreal|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:19|21|Berhanu Samrawit|none|12|Mengistu Berhan|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:19|21|Berhanu Samrawit|none|8|Mengistu Berhan|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:20|21|Evelyn Siamupangila |none|7|Belete Melat|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:20|21|Evelyn Siamupangila |none|8|Belete Melat|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:15|21|Silvia Garino|none|4|Kidist Hailu|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:15|21|Silvia Garino|none|5|Kidist Hailu|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:22|21|Lisa Iversen|none|10|Yerusksew Legssey Tura|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:22|21|Lisa Iversen|none|9|Yerusksew Legssey Tura|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:17|21|Elizaberth Chipeleme |none|7|Cheru Hibst|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:17|21|Elizaberth Chipeleme |none|5|Cheru Hibst|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:20|21|Tigist Getachew|none|12|Fasika Bisrat|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:20|21|Tigist Getachew|none|9|Fasika Bisrat|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:16|21|Ogar Siamupangila |none|11|Yirga Frehiwot|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:16|21|Ogar Siamupangila |none|7|Yirga Frehiwot|none|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|singles
20160930|0:15|21|Matteo Bellucci|Fabio Caponio|5|Sema Bereket|Azmach Tebarek|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|doubles
20160930|0:15|21|Matteo Bellucci|Fabio Caponio|5|Sema Bereket|Azmach Tebarek|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|doubles
20160930|0:13|21|Lukas Osele|Kevin Strobl|4|Matusala Matusala|Woldegebreal Mezgebe|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|doubles
20160930|0:13|21|Lukas Osele|Kevin Strobl|4|Matusala Matusala|Woldegebreal Mezgebe|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|doubles
20160930|0:25|21|Kevin Strobl|Silvia Garino|14|Teklu Endale|Berhanu Samrawit|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|doubles
20160930|0:25|21|Kevin Strobl|Silvia Garino|17|Teklu Endale|Berhanu Samrawit|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|doubles
20160930|0:16|21|Amanuel Bekele|Yirga Frehiwot|9|Woldegebreal Mezgebe|Melat Woldegebreal|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|doubles
20160930|0:16|21|Amanuel Bekele|Yirga Frehiwot|8|Woldegebreal Mezgebe|Melat Woldegebreal|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|doubles
20160930|0:16|21|Yakob Surafel|Tigist Getachew|17|Fanthhun Estefanos|Kidist Hailu|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|doubles
20160930|0:16|21|Yakob Surafel|Tigist Getachew|8|Fanthhun Estefanos|Kidist Hailu|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|doubles
20160930|0:24|21|Melaku Amdebirhanu|Belete Melat|6|Markos Demis|Cheru Hibst|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|doubles
20160930|0:24|21|Melaku Amdebirhanu|Belete Melat|8|Markos Demis|Cheru Hibst|30D2888A-E946-4AC7-9A8E-DA553DA5D12C|doubles
