date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180809|0:30|23|Mads Vestergaard|Anna Siess Ryberg|21|Faruk Mehmet Yilmaz|Ece Sare Basakin|342D2784-321B-4900-AC62-B364502EA140|doubles
20180809|0:30|21|Mads Vestergaard|Anna Siess Ryberg|16|Faruk Mehmet Yilmaz|Ece Sare Basakin|342D2784-321B-4900-AC62-B364502EA140|doubles
20180809|0:22|21|Giovanni Toti|Martina Corsini|18|Dimitar Nenchev|Ira Spiridonova|342D2784-321B-4900-AC62-B364502EA140|doubles
20180809|0:22|21|Giovanni Toti|Martina Corsini|19|Dimitar Nenchev|Ira Spiridonova|342D2784-321B-4900-AC62-B364502EA140|doubles
20180809|0:28|21|Georgii Lebedev|Anastasiia Shapovalova|16|Ludvig Petre Olsson|Sofia Larsson|342D2784-321B-4900-AC62-B364502EA140|doubles
20180809|0:28|22|Georgii Lebedev|Anastasiia Shapovalova|20|Ludvig Petre Olsson|Sofia Larsson|342D2784-321B-4900-AC62-B364502EA140|doubles
20180809|0:41|21|Adam Mcallister|Rachael Woods|16|Mihnea Craciun|Luiza Milu|342D2784-321B-4900-AC62-B364502EA140|doubles
20180809|0:41|14|Adam Mcallister|Rachael Woods|21|Mihnea Craciun|Luiza Milu|342D2784-321B-4900-AC62-B364502EA140|doubles
20180809|0:41|21|Adam Mcallister|Rachael Woods|17|Mihnea Craciun|Luiza Milu|342D2784-321B-4900-AC62-B364502EA140|doubles
20180809|0:20|21|Rasmus Espersen|Christine Busch|8|Timon Angermann|Ramona Zimmermann|342D2784-321B-4900-AC62-B364502EA140|doubles
20180809|0:20|21|Rasmus Espersen|Christine Busch|12|Timon Angermann|Ramona Zimmermann|342D2784-321B-4900-AC62-B364502EA140|doubles
20180809|0:24|21|Semih Baha Basakin|Bengisu Ercetin|10|Senne Houthoofd|Kirstin Boonen|342D2784-321B-4900-AC62-B364502EA140|doubles
20180809|0:24|21|Semih Baha Basakin|Bengisu Ercetin|15|Senne Houthoofd|Kirstin Boonen|342D2784-321B-4900-AC62-B364502EA140|doubles
20180809|0:20|21|Sebastian Grønbjerg|Clara Graversen|9|Mihail Rami Panagiotou|Eleni Moutevelidou|342D2784-321B-4900-AC62-B364502EA140|doubles
20180809|0:20|21|Sebastian Grønbjerg|Clara Graversen|15|Mihail Rami Panagiotou|Eleni Moutevelidou|342D2784-321B-4900-AC62-B364502EA140|doubles
