date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20170713|0:22|21|Kouakou Franck Armel Eude Ahi|none|15|Mutombo Mutombo|none|359A3407-0C86-467D-A24F-55D342DDC868|singles
20170713|0:22|21|Kouakou Franck Armel Eude Ahi|none|13|Mutombo Mutombo|none|359A3407-0C86-467D-A24F-55D342DDC868|singles
20170713|0:23|21|Ousmane Ouedraogo|none|16|Pierre Frederic Bitep|none|359A3407-0C86-467D-A24F-55D342DDC868|singles
20170713|0:23|21|Ousmane Ouedraogo|none|11|Pierre Frederic Bitep|none|359A3407-0C86-467D-A24F-55D342DDC868|singles
20170713|0:20|21|Sahil Sipani|none|2|Herve Toscani Dady Assikang|none|359A3407-0C86-467D-A24F-55D342DDC868|singles
20170713|0:20|21|Sahil Sipani|none|4|Herve Toscani Dady Assikang|none|359A3407-0C86-467D-A24F-55D342DDC868|singles
20170713|0:25|23|Mamoudou Soudi|none|21|Alex Patrick Zolobe|none|359A3407-0C86-467D-A24F-55D342DDC868|singles
20170713|0:25|21|Mamoudou Soudi|none|11|Alex Patrick Zolobe|none|359A3407-0C86-467D-A24F-55D342DDC868|singles
20170713|0:26|21|Hana hesham Mohamed|none|10|Louise Lisane Mbas|none|359A3407-0C86-467D-A24F-55D342DDC868|singles
20170713|0:26|21|Hana hesham Mohamed|none|11|Louise Lisane Mbas|none|359A3407-0C86-467D-A24F-55D342DDC868|singles
20170713|0:12|21|Madeleine Carene Leticia Akoumba Ze|none|11|Mbuyi Bernice Bokotsha|none|359A3407-0C86-467D-A24F-55D342DDC868|singles
20170713|0:12|21|Madeleine Carene Leticia Akoumba Ze|none|11|Mbuyi Bernice Bokotsha|none|359A3407-0C86-467D-A24F-55D342DDC868|singles
20170714|0:22|21|Kouakou Franck Armel Eude Ahi|none|15|Mutombo Mutombo|none|359A3407-0C86-467D-A24F-55D342DDC868|singles
20170714|0:22|21|Kouakou Franck Armel Eude Ahi|none|13|Mutombo Mutombo|none|359A3407-0C86-467D-A24F-55D342DDC868|singles
20170714|0:23|21|Ousmane Ouedraogo|none|16|Pierre Frederic Bitep|none|359A3407-0C86-467D-A24F-55D342DDC868|singles
20170714|0:23|21|Ousmane Ouedraogo|none|11|Pierre Frederic Bitep|none|359A3407-0C86-467D-A24F-55D342DDC868|singles
20170714|0:20|21|Sahil Sipani|none|2|Herve Toscani Dady Assikang|none|359A3407-0C86-467D-A24F-55D342DDC868|singles
20170714|0:20|21|Sahil Sipani|none|4|Herve Toscani Dady Assikang|none|359A3407-0C86-467D-A24F-55D342DDC868|singles
20170714|0:25|23|Mamoudou Soudi|none|21|Alex Patrick Zolobe|none|359A3407-0C86-467D-A24F-55D342DDC868|singles
20170714|0:25|21|Mamoudou Soudi|none|11|Alex Patrick Zolobe|none|359A3407-0C86-467D-A24F-55D342DDC868|singles
20170714|0:26|21|Hana hesham Mohamed|none|10|Louise Lisane Mbas|none|359A3407-0C86-467D-A24F-55D342DDC868|singles
20170714|0:26|21|Hana hesham Mohamed|none|11|Louise Lisane Mbas|none|359A3407-0C86-467D-A24F-55D342DDC868|singles
