date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20170908|0:37|21|Tobias Rudolf|Anna-Sophie Zach|19|Borna Vadlja|Barbara Janičić|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|doubles
20170908|0:37|17|Tobias Rudolf|Anna-Sophie Zach|21|Borna Vadlja|Barbara Janičić|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|doubles
20170908|0:37|21|Tobias Rudolf|Anna-Sophie Zach|14|Borna Vadlja|Barbara Janičić|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|doubles
20170908|0:40|14|Gal Bizjak|Zala Žuran|21|Vito Buchberger|Ira Misir|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|doubles
20170908|0:40|21|Gal Bizjak|Zala Žuran|11|Vito Buchberger|Ira Misir|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|doubles
20170908|0:40|21|Gal Bizjak|Zala Žuran|18|Vito Buchberger|Ira Misir|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|doubles
20170908|0:23|21|Jaka Ivančič|Taja Pipan|7|Erik Bartos|Alexandra Remenova|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|doubles
20170908|0:23|21|Jaka Ivančič|Taja Pipan|17|Erik Bartos|Alexandra Remenova|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|doubles
20170908|0:24|21|Gregor Alič|Spela Alič|12|Vratislav Erhart|Ema Staňková|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|doubles
20170908|0:24|21|Gregor Alič|Spela Alič|17|Vratislav Erhart|Ema Staňková|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|doubles
20170908|0:25|21|Andrej Antoska|Katarina Csonkova|19|Nicolas Rudolf|Lena Kremmel|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|doubles
20170908|0:25|21|Andrej Antoska|Katarina Csonkova|12|Nicolas Rudolf|Lena Kremmel|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|doubles
20170908|0:36|21|Jonas Braun|Christina Weigert|13|Piotr Cunev|Ana Fernandes|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|doubles
20170908|0:36|18|Jonas Braun|Christina Weigert|21|Piotr Cunev|Ana Fernandes|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|doubles
20170908|0:36|21|Jonas Braun|Christina Weigert|11|Piotr Cunev|Ana Fernandes|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|doubles
20170908|0:27|21|Peter Kovac|none|11|Michael Tomic|none|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|singles
20170908|0:27|21|Peter Kovac|none|11|Michael Tomic|none|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|singles
20170908|0:51|14|Szymon Maciag|none|21|Lenny Sudarma|none|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|singles
20170908|0:51|21|Szymon Maciag|none|7|Lenny Sudarma|none|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|singles
20170908|0:51|21|Szymon Maciag|none|14|Lenny Sudarma|none|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|singles
20170908|0:33|21|Josip Meglić|none|15|Yannick Stommel|none|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|singles
20170908|0:33|21|Josip Meglić|none|19|Yannick Stommel|none|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|singles
20170908|0:32|21|Kian-Yu Oei|none|19|Blaž Smrkolj|none|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|singles
20170908|0:32|21|Kian-Yu Oei|none|16|Blaž Smrkolj|none|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|singles
20170908|0:27|21|Dimitar Nenchev|none|16|Luka Podgoršek|none|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|singles
20170908|0:27|21|Dimitar Nenchev|none|13|Luka Podgoršek|none|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|singles
20170908|0:20|21|Joshua Redelbach|none|16|Georgi Dimov|none|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|singles
20170908|0:20|21|Joshua Redelbach|none|15|Georgi Dimov|none|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|singles
20170908|0:23|21|Calle Fredholm|none|11|Johannes Mory|none|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|singles
20170908|0:23|21|Calle Fredholm|none|7|Johannes Mory|none|3ACAAEE8-71F6-4A44-AF15-8A314F0F91C6|singles
