date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20140220|0:40|11|Raymond Sing|none|21|Jacob Schueler|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:40|21|Raymond Sing|none|18|Jacob Schueler|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:40|21|Raymond Sing|none|19|Jacob Schueler|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:20|21|Mitzi Abigail Purnama|none|6|Chloe Chen|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:20|21|Mitzi Abigail Purnama|none|12|Chloe Chen|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:17|21|Janice Au|none|11|Kahaia Salmon|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:17|21|Janice Au|none|8|Kahaia Salmon|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:24|21|Teresa Chan|none|14|Chloe Lee|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:24|21|Teresa Chan|none|8|Chloe Lee|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:17|21|Celeste Lee|none|11|Litea Lupe Moe Valu Tatafu|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:17|21|Celeste Lee|none|6|Litea Lupe Moe Valu Tatafu|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:21|25|Josephine Liu|none|23|Anais Anton|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:21|21|Josephine Liu|none|15|Anais Anton|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:20|21|Joniva Almazan|none|13|Anuki Mishenka Hewavithana|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:20|21|Joniva Almazan|none|16|Anuki Mishenka Hewavithana|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:44|16|Justin Lee|none|21|David Chin|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:44|21|Justin Lee|none|16|David Chin|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:44|22|Justin Lee|none|20|David Chin|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:17|21|David Zheng Xuan Kang|none|8|Renaey Aikoniume Na’Aniumotu|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:17|21|David Zheng Xuan Kang|none|8|Renaey Aikoniume Na’Aniumotu|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:22|21|Alice Lorincz|none|11|Paandihwa Aratchige Udar De Alwis|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:22|21|Alice Lorincz|none|11|Paandihwa Aratchige Udar De Alwis|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:20|21|Malvika Hemanth|none|6|Lusia Ki Taulanga Faukafa|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:20|21|Malvika Hemanth|none|5|Lusia Ki Taulanga Faukafa|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220||Walkover Win|Claudia Lam|none|Walkover Loss|Moehau Hira|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:20|21|Tiffany Ho|none|11|Julia Lefur|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:20|21|Tiffany Ho|none|3|Julia Lefur|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:18|21|Grace Ngiam|none|13|Katrina Lowe|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:18|21|Grace Ngiam|none|13|Katrina Lowe|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:18|21|Lee Yen Khoo|none|9|Chandrasekara Rajakaruna Balasuriya|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:18|21|Lee Yen Khoo|none|10|Chandrasekara Rajakaruna Balasuriya|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:27|21|Raymond Sing|none|19|Tyzton Juin Lai Tan|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:27|22|Raymond Sing|none|20|Tyzton Juin Lai Tan|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:20|21|Mitchell Gervasoni|none|19|Marco Ma|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:20|21|Mitchell Gervasoni|none|15|Marco Ma|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:31|21|Ying Xiang Lin|none|14|Killiam Scilloux [4]|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:31|19|Ying Xiang Lin|none|21|Killiam Scilloux [4]|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:31|21|Ying Xiang Lin|none|12|Killiam Scilloux [4]|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:53|17|Mitzi Abigail Purnama|none|21|Joy Lai [1]|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:53|21|Mitzi Abigail Purnama|none|15|Joy Lai [1]|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:53|21|Mitzi Abigail Purnama|none|16|Joy Lai [1]|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:35|21|Janice Au|none|15|Teresa Chan|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:35|19|Janice Au|none|21|Teresa Chan|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
20140220|0:35|21|Janice Au|none|8|Teresa Chan|none|3CAFE47B-1456-4A55-943E-A37323A5E548|singles
