date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20170922|0:24|21|Steven Stallwood |Lizzie Tolman|19|Alvaro Leal|Laura Solis|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:24|21|Steven Stallwood |Lizzie Tolman|11|Alvaro Leal|Laura Solis|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:18|21|Timo Stoffelen|Amy Tan|8|Luis A. Silva|Mariana Afonso|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:18|21|Timo Stoffelen|Amy Tan|11|Luis A. Silva|Mariana Afonso|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:36|21|Ethan Van Leeuwen |Annie Lado|12|Dennis Koppen|Sabine De Wit|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:36|18|Ethan Van Leeuwen |Annie Lado|21|Dennis Koppen|Sabine De Wit|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:36|21|Ethan Van Leeuwen |Annie Lado|18|Dennis Koppen|Sabine De Wit|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:19|22|Melker Z-Bexell|Natasha Lado|20|Andreas Zbinden|Kelly Van Buiten|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:19|21|Melker Z-Bexell|Natasha Lado|11|Andreas Zbinden|Kelly Van Buiten|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:20|21|Harry Huang|Asmita Chaudhari|10|Andreas De Winné|Siebelijn De Sutter|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:20|21|Harry Huang|Asmita Chaudhari|5|Andreas De Winné|Siebelijn De Sutter|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:35|10|Andres Martin|Paula Lopez|21|Gijs Duijs|Milou Lugters|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:35|21|Andres Martin|Paula Lopez|14|Gijs Duijs|Milou Lugters|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:35|21|Andres Martin|Paula Lopez|15|Gijs Duijs|Milou Lugters|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:25|21|Rory Easton |Hope Warner|10|Matthias Kicklitz|Maria Kuse|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:25|23|Rory Easton |Hope Warner|21|Matthias Kicklitz|Maria Kuse|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:18|21|Markus Barth|Marie Christensen|15|Alexandre Lallemand|Estelle Pondant|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:18|21|Markus Barth|Marie Christensen|18|Alexandre Lallemand|Estelle Pondant|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922||Walkover Win|David Sugiharto|Chloe Mayer|Walkover Loss|Ranthushka Sasindu|Dilmi Dias|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:23|21|Wessel Van De Aar|Debora Jille|15|David Hong [8]|Molly Chapman|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:23|21|Wessel Van De Aar|Debora Jille|12|David Hong [8]|Molly Chapman|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:50|14|Hauke Graalmann|Stine Susan Küspert|21|Julien Scheiwiller|Jenjira Stadelmann|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:50|27|Hauke Graalmann|Stine Susan Küspert|25|Julien Scheiwiller|Jenjira Stadelmann|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:50|21|Hauke Graalmann|Stine Susan Küspert|17|Julien Scheiwiller|Jenjira Stadelmann|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:23|21|Callum Hemming |Fee Teng Liew|15|Brian Wassink|Charissa Kuiper|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:23|21|Callum Hemming |Fee Teng Liew|12|Brian Wassink|Charissa Kuiper|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:20|21|Jose Molares|Laura Santos|12|Senne Houthoofd|Steffi Van De Vel|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:20|22|Jose Molares|Laura Santos|20|Senne Houthoofd|Steffi Van De Vel|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:28|21|Jona Van Nieuwkerke |Joke De Langhe|19|Aaron Sonnenschein|Leona Michalski|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:28|21|Jona Van Nieuwkerke |Joke De Langhe|15|Aaron Sonnenschein|Leona Michalski|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
20170922|0:16|21|Tim Fischer|Jule Petrikowski|6|Scott Samuels|Cera Samuels|3D46106E-1273-465B-B4FF-E4DD56701790|doubles
