date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20140328|0:16|21|Simon Skok|Ana Marija Setina|10|Fabio Caponio|Lucrezia Boccasile|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|doubles
20140328|0:16|21|Simon Skok|Ana Marija Setina|3|Fabio Caponio|Lucrezia Boccasile|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|doubles
20140328|0:20|21|Sean Vendy|Lydia Powell|15|Sigurdur Sverrir Gunnarsson|Margret Johannsdottir|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|doubles
20140328|0:20|21|Sean Vendy|Lydia Powell|19|Sigurdur Sverrir Gunnarsson|Margret Johannsdottir|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|doubles
20140328|0:18|21|Ricardo Silva|Sofia Setim|8|David Salutt|Greta Cavone|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|doubles
20140328|0:18|21|Ricardo Silva|Sofia Setim|11|David Salutt|Greta Cavone|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|doubles
20140328|0:34|21|Eidur Isak Broddason|Margret Finnbogadottir|17|Matteo Bellucci|Giulia Fiorito|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|doubles
20140328|0:34|19|Eidur Isak Broddason|Margret Finnbogadottir|21|Matteo Bellucci|Giulia Fiorito|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|doubles
20140328|0:34|21|Eidur Isak Broddason|Margret Finnbogadottir|12|Matteo Bellucci|Giulia Fiorito|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|doubles
20140328|0:19|21|Daniel Johannesson|Sigridur Arnadottir|18|Filip Budzel|Ivana Zychova|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|doubles
20140328|0:19|21|Daniel Johannesson|Sigridur Arnadottir|14|Filip Budzel|Ivana Zychova|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|doubles
20140328|0:23|21|Kevin Strobl|Marah Punter|18|Leon Seiwald|Janine Lais|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|doubles
20140328|0:23|21|Kevin Strobl|Marah Punter|18|Leon Seiwald|Janine Lais|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|doubles
20140328|0:20|21|Martin Cerkovnik|Nastja Stovanje|11|Sturla Jørgensen|Elisa Wiborg|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|doubles
20140328|0:20|21|Martin Cerkovnik|Nastja Stovanje|18|Sturla Jørgensen|Elisa Wiborg|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|doubles
20140328||Walkover Win|Matthew Widdicombe|Jessica Hopton|Walkover Loss|Kamod Rashmitha Halambage|Thilini Promodika Hendahewa|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|doubles
20140328|0:24|21|Dragoslav Petrovic |none|17|Lukas Holub|none|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|singles
20140328|0:24|21|Dragoslav Petrovic |none|13|Lukas Holub|none|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|singles
20140328|0:35|19|Krzysztof Jakowczuk |none|21|Tom Rodrigues|none|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|singles
20140328|0:35|21|Krzysztof Jakowczuk |none|13|Tom Rodrigues|none|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|singles
20140328|0:35|21|Krzysztof Jakowczuk |none|13|Tom Rodrigues|none|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|singles
20140328|0:21|21|Manuel Vazquez |none|12|Ward Van Boven|none|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|singles
20140328|0:21|21|Manuel Vazquez |none|17|Ward Van Boven|none|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|singles
20140328|0:31|21|Richard Schneeberger|none|16|Guillaume Bonnet|none|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|singles
20140328|0:31|26|Richard Schneeberger|none|24|Guillaume Bonnet|none|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|singles
20140328|0:26|21|Vladimir Shishkov |none|13|Pablo Sanmartin|none|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|singles
20140328|0:26|21|Vladimir Shishkov |none|11|Pablo Sanmartin|none|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|singles
20140328|0:21|21|Blai Ramirez|none|15|Andraz Krapez [9/16]|none|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|singles
20140328|0:21|21|Blai Ramirez|none|9|Andraz Krapez [9/16]|none|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|singles
20140328|0:17|21|Collins Valentine Filimon|none|13|Chiao-Yi Li|none|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|singles
20140328|0:17|21|Collins Valentine Filimon|none|12|Chiao-Yi Li|none|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|singles
20140328|0:23|21|Vicent Riera|none|17|Christoph Syrch|none|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|singles
20140328|0:23|21|Vicent Riera|none|13|Christoph Syrch|none|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|singles
20140328|0:25|21|Alex Vlaar |none|14|Jan Hubacek|none|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|singles
20140328|0:25|21|Alex Vlaar |none|19|Jan Hubacek|none|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|singles
20140328|0:19|21|Bernardo Atilano|none|13|Pierrick Deschenaux|none|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|singles
20140328|0:19|21|Bernardo Atilano|none|10|Pierrick Deschenaux|none|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|singles
