date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20141212|0:20|21|Manuel Alejandro Del Rosario Pargas|none|11|Leosdanis Velazquez Rondon|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:20|21|Manuel Alejandro Del Rosario Pargas|none|14|Leosdanis Velazquez Rondon|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:21|21|Eduardo Oliveira |none|7|Cintya Oliveira|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:21|21|Eduardo Oliveira |none|17|Cintya Oliveira|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:38|22|Edimir Figueredo Garrido|Clara Aurora Echavarria Hardy|20|Ismael Bueno Lopez|Maria Mercedes Gonzalez Amate|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|doubles
20141212|0:38|21|Edimir Figueredo Garrido|Clara Aurora Echavarria Hardy|17|Ismael Bueno Lopez|Maria Mercedes Gonzalez Amate|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|doubles
20141212|0:14|21|Brian Lesley Irmo Kliwon|none|2|Rafael Jose Colombat Vinent|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:14|21|Brian Lesley Irmo Kliwon|none|1|Rafael Jose Colombat Vinent|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:38|21|Denival Candido|none|6|José Nogueira|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:38|20|Denival Candido|none|22|José Nogueira|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:38|21|Denival Candido|none|9|José Nogueira|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:20|21|Marcelo Alves Conceicao|Francisca Lima|2|Carlos Torres Araya|Catalina Jimeno|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|doubles
20141212|0:20|21|Marcelo Alves Conceicao|Francisca Lima|4|Carlos Torres Araya|Catalina Jimeno|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|doubles
20141212|0:15|21|Pedro Pablo De Vinatea |none|6|Rolando Bello Rodriguez|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:15|21|Pedro Pablo De Vinatea |none|3|Rolando Bello Rodriguez|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:10|21|Leonardo Zuffo |none|7|Alexis Munoz Guerrero|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:10|21|Leonardo Zuffo |none|6|Alexis Munoz Guerrero|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:48|18|Rodolfo Cano|none|21|Gabriel Partinelli Jannini [1]|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:48|21|Rodolfo Cano|none|19|Gabriel Partinelli Jannini [1]|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:48|21|Rodolfo Cano|none|17|Gabriel Partinelli Jannini [1]|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:22|21|Christofer Javier Perez Jimenez|none|13|Mildrey Pineda Hernandez|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:22|21|Christofer Javier Perez Jimenez|none|8|Mildrey Pineda Hernandez|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:20|21|Oriel Hernandez Martín|none|12|Marbelis Sosa Cause|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:20|21|Oriel Hernandez Martín|none|9|Marbelis Sosa Cause|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:43|19|Ismael Bueno Lopez|none|21|Alexis Caballero|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:43|21|Ismael Bueno Lopez|none|15|Alexis Caballero|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:43|21|Ismael Bueno Lopez|none|13|Alexis Caballero|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:13|21|Geraldo Da Silva Oliveira |none|8|Leosdanis Velazquez Rondon|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:13|21|Geraldo Da Silva Oliveira |none|10|Leosdanis Velazquez Rondon|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:20|21|Cintya Oliveira|none|15|Alain Leon Valdes|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:20|21|Cintya Oliveira|none|10|Alain Leon Valdes|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:26|21|Marcelo Alves Conceicao|none|5|Carlos Alberto Hessel Rodrigues|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:26|21|Marcelo Alves Conceicao|none|12|Carlos Alberto Hessel Rodrigues|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:24|21|William Castellanos |none|13|Carlos Torres Araya|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:24|21|William Castellanos |none|8|Carlos Torres Araya|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:15|21|Brian Lesley Irmo Kliwon|none|5|José Nogueira|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:15|21|Brian Lesley Irmo Kliwon|none|2|José Nogueira|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:23|21|Denival Candido|none|16|Rafael Jose Colombat Vinent|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:23|21|Denival Candido|none|15|Rafael Jose Colombat Vinent|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:28|21|Kadil Najarro Cabrera|none|14|Edimir Figueredo Garrido|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:28|21|Kadil Najarro Cabrera|none|15|Edimir Figueredo Garrido|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:25|21|Romulo Junio Soares|none|5|Ariel Prada Vasquez|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:25|21|Romulo Junio Soares|none|11|Ariel Prada Vasquez|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:13|21|Raul Anguiano |none|0|Mildrey Pineda Hernandez|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:13|21|Raul Anguiano |none|1|Mildrey Pineda Hernandez|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:15|21|Johann Breno |none|4|Marbelis Sosa Cause|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:15|21|Johann Breno |none|7|Marbelis Sosa Cause|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:40|21|Maria Mercedes Gonzalez Amate|none|9|Clara Aurora Echavarria Hardy|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:40|21|Maria Mercedes Gonzalez Amate|none|17|Clara Aurora Echavarria Hardy|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:25|21|Francisca Lima|none|9|Catalina Jimeno|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:25|21|Francisca Lima|none|13|Catalina Jimeno|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:20|21|Rolando Bello Rodriguez|none|7|Luiz Henrique Santos|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:20|21|Rolando Bello Rodriguez|none|8|Luiz Henrique Santos|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
20141212|0:22|21|Roeldi Beltran Martinez|none|12|Alexis Munoz Guerrero|none|3EFCD97C-51AD-42A0-9C9C-9401E3232E8B|singles
