date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20170803|0:18|21|Bao Duc Duong|none|11|Bhrugesh Piyush Desai|none|3FAADBC6-9149-4EC1-9B53-113768364656|singles
20170803|0:18|21|Bao Duc Duong|none|13|Bhrugesh Piyush Desai|none|3FAADBC6-9149-4EC1-9B53-113768364656|singles
20170803|0:18|21|Adelina Quiñones|none|4|Maya Chew|none|3FAADBC6-9149-4EC1-9B53-113768364656|singles
20170803|0:18|21|Adelina Quiñones|none|12|Maya Chew|none|3FAADBC6-9149-4EC1-9B53-113768364656|singles
20170803|0:32|12|Graceline Gunawan|none|21|Yesenia Duarte|none|3FAADBC6-9149-4EC1-9B53-113768364656|singles
20170803|0:32|21|Graceline Gunawan|none|19|Yesenia Duarte|none|3FAADBC6-9149-4EC1-9B53-113768364656|singles
20170803|0:32|21|Graceline Gunawan|none|13|Yesenia Duarte|none|3FAADBC6-9149-4EC1-9B53-113768364656|singles
20170803|0:17|21|Annika Horbach|none|9|Jacqueline Wendy Myers|none|3FAADBC6-9149-4EC1-9B53-113768364656|singles
20170803|0:17|21|Annika Horbach|none|9|Jacqueline Wendy Myers|none|3FAADBC6-9149-4EC1-9B53-113768364656|singles
20170803|0:18|21|Jennie Gai|none|7|Ines Castillo|none|3FAADBC6-9149-4EC1-9B53-113768364656|singles
20170803|0:18|21|Jennie Gai|none|11|Ines Castillo|none|3FAADBC6-9149-4EC1-9B53-113768364656|singles
20170803|0:26|21|Abhishek Yelegar |none|15|Bruno Barrueto Deza|none|3FAADBC6-9149-4EC1-9B53-113768364656|singles
20170803|0:26|21|Abhishek Yelegar |none|16|Bruno Barrueto Deza|none|3FAADBC6-9149-4EC1-9B53-113768364656|singles
20170803||Walkover Win|Grimaldy Navirio Gunawan|none|Walkover Loss|Kyle Golding|none|3FAADBC6-9149-4EC1-9B53-113768364656|singles
20170803|0:23|21|Kevin Cordon|none|7|Humberto Aguirre Fajardo|none|3FAADBC6-9149-4EC1-9B53-113768364656|singles
20170803|0:23|21|Kevin Cordon|none|9|Humberto Aguirre Fajardo|none|3FAADBC6-9149-4EC1-9B53-113768364656|singles
20170803|0:35|21|Howard Shu |none|18|Dewantoro Pandu|none|3FAADBC6-9149-4EC1-9B53-113768364656|singles
20170803|0:35|22|Howard Shu |none|20|Dewantoro Pandu|none|3FAADBC6-9149-4EC1-9B53-113768364656|singles
