date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20150311|0:42|21|Tomas Thouyaret|none|14|Vagner Antunes|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150311|0:42|20|Tomas Thouyaret|none|22|Vagner Antunes|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150311|0:42|21|Tomas Thouyaret|none|12|Vagner Antunes|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150311|0:58|23|Jose Guevara|none|21|Italo Hauer|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150311|0:58|18|Jose Guevara|none|21|Italo Hauer|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150311|0:58|21|Jose Guevara|none|13|Italo Hauer|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150311|0:37|21|Cleyson Nobre Santos|none|19|Matteo Bellucci|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150311|0:37|21|Cleyson Nobre Santos|none|16|Matteo Bellucci|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150311|0:16|21|Federico Diaz |none|9|Willian Guimaraes|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150311|0:16|21|Federico Diaz |none|10|Willian Guimaraes|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150311|0:16|21|Eduardo Vaz|none|11|Vinicius Oliveira Silva|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150311|0:16|21|Eduardo Vaz|none|4|Vinicius Oliveira Silva|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150311|0:44|21|Mateus Carrijo Cutti |none|11|Alisson Vasconcellos|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150311|0:44|18|Mateus Carrijo Cutti |none|21|Alisson Vasconcellos|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150311|0:44|24|Mateus Carrijo Cutti |none|22|Alisson Vasconcellos|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150311|0:26|21|Him Lam |none|12|Lucas Da Silva|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150311|0:26|21|Him Lam |none|15|Lucas Da Silva|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150311|0:32|21|Rodolfo Augusto Salles |none|17|Gabriel Guimaraes Nery|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150311|0:32|21|Rodolfo Augusto Salles |none|15|Gabriel Guimaraes Nery|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150311|0:30|21|Cleyson Nobre Santos|none|23|Aleksander Silva|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150311|0:30|21|Cleyson Nobre Santos|none|9|Aleksander Silva|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150311|0:30|21|Cleyson Nobre Santos|none|15|Aleksander Silva|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150311||Walkover Win|Tomas Thouyaret|none|Walkover Loss|Pirmin Klotzner|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150311|0:22|21|Jose Guevara|none|9|Felipe Augusto De Faria|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150311|0:22|21|Jose Guevara|none|13|Felipe Augusto De Faria|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150312|0:42|21|Tomas Thouyaret|none|14|Vagner Antunes|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150312|0:42|20|Tomas Thouyaret|none|22|Vagner Antunes|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150312|0:42|21|Tomas Thouyaret|none|12|Vagner Antunes|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150312|0:58|23|Jose Guevara|none|21|Italo Hauer|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150312|0:58|18|Jose Guevara|none|21|Italo Hauer|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150312|0:58|21|Jose Guevara|none|13|Italo Hauer|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150312|0:37|21|Cleyson Nobre Santos|none|19|Matteo Bellucci|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150312|0:37|21|Cleyson Nobre Santos|none|16|Matteo Bellucci|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150312|0:16|21|Federico Diaz |none|9|Willian Guimaraes|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150312|0:16|21|Federico Diaz |none|10|Willian Guimaraes|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150312|0:16|21|Eduardo Vaz|none|11|Vinicius Oliveira Silva|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150312|0:16|21|Eduardo Vaz|none|4|Vinicius Oliveira Silva|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150312|0:44|21|Mateus Carrijo Cutti |none|11|Alisson Vasconcellos|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150312|0:44|18|Mateus Carrijo Cutti |none|21|Alisson Vasconcellos|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150312|0:44|24|Mateus Carrijo Cutti |none|22|Alisson Vasconcellos|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150312|0:26|21|Him Lam |none|12|Lucas Da Silva|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150312|0:26|21|Him Lam |none|15|Lucas Da Silva|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150312|0:32|21|Rodolfo Augusto Salles |none|17|Gabriel Guimaraes Nery|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150312|0:32|21|Rodolfo Augusto Salles |none|15|Gabriel Guimaraes Nery|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150312|0:30|21|Cleyson Nobre Santos|none|23|Aleksander Silva|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150312|0:30|21|Cleyson Nobre Santos|none|9|Aleksander Silva|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150312|0:30|21|Cleyson Nobre Santos|none|15|Aleksander Silva|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150312||Walkover Win|Tomas Thouyaret|none|Walkover Loss|Pirmin Klotzner|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150312|0:22|21|Jose Guevara|none|9|Felipe Augusto De Faria|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150312|0:22|21|Jose Guevara|none|13|Felipe Augusto De Faria|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150313|0:42|21|Tomas Thouyaret|none|14|Vagner Antunes|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
20150313|0:42|20|Tomas Thouyaret|none|22|Vagner Antunes|none|405E335D-BDBE-4AA3-AF8A-B200D4B17A57|singles
