date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180205|0:34|10|Elahe Sepidan|none|12|Sayeh Khalil Rahman|none|43182981-89F5-4077-A4A4-E8B50C22426B|singles
20180205|0:34|11|Elahe Sepidan|none|3|Sayeh Khalil Rahman|none|43182981-89F5-4077-A4A4-E8B50C22426B|singles
20180205|0:34|9|Elahe Sepidan|none|11|Sayeh Khalil Rahman|none|43182981-89F5-4077-A4A4-E8B50C22426B|singles
20180205|0:34|11|Elahe Sepidan|none|8|Sayeh Khalil Rahman|none|43182981-89F5-4077-A4A4-E8B50C22426B|singles
20180205|0:34|11|Elahe Sepidan|none|8|Sayeh Khalil Rahman|none|43182981-89F5-4077-A4A4-E8B50C22426B|singles
20180205|0:18|11|Lee Zii Yii|none|7|Atena Hamidifar|none|43182981-89F5-4077-A4A4-E8B50C22426B|singles
20180205|0:18|11|Lee Zii Yii|none|6|Atena Hamidifar|none|43182981-89F5-4077-A4A4-E8B50C22426B|singles
20180205|0:18|11|Lee Zii Yii|none|5|Atena Hamidifar|none|43182981-89F5-4077-A4A4-E8B50C22426B|singles
20180205|0:36|9|Setayesh Abdolkarimi|none|11|Hajar Kabiri|none|43182981-89F5-4077-A4A4-E8B50C22426B|singles
20180205|0:36|11|Setayesh Abdolkarimi|none|6|Hajar Kabiri|none|43182981-89F5-4077-A4A4-E8B50C22426B|singles
20180205|0:36|11|Setayesh Abdolkarimi|none|3|Hajar Kabiri|none|43182981-89F5-4077-A4A4-E8B50C22426B|singles
20180205|0:36|9|Setayesh Abdolkarimi|none|11|Hajar Kabiri|none|43182981-89F5-4077-A4A4-E8B50C22426B|singles
20180205|0:36|11|Setayesh Abdolkarimi|none|8|Hajar Kabiri|none|43182981-89F5-4077-A4A4-E8B50C22426B|singles
20180205|0:20|11|Hamedanchi Azad Hale|none|4|Hadis Ahmadi|none|43182981-89F5-4077-A4A4-E8B50C22426B|singles
20180205|0:20|11|Hamedanchi Azad Hale|none|7|Hadis Ahmadi|none|43182981-89F5-4077-A4A4-E8B50C22426B|singles
20180205|0:20|11|Hamedanchi Azad Hale|none|4|Hadis Ahmadi|none|43182981-89F5-4077-A4A4-E8B50C22426B|singles
20180205|0:28|11|Nastaran Karami|none|6|Saghar Rafei|none|43182981-89F5-4077-A4A4-E8B50C22426B|singles
20180205|0:28|11|Nastaran Karami|none|4|Saghar Rafei|none|43182981-89F5-4077-A4A4-E8B50C22426B|singles
20180205|0:28|14|Nastaran Karami|none|15|Saghar Rafei|none|43182981-89F5-4077-A4A4-E8B50C22426B|singles
20180205|0:28|12|Nastaran Karami|none|10|Saghar Rafei|none|43182981-89F5-4077-A4A4-E8B50C22426B|singles
20180205|0:16|11|Hananeh Yaghobzadeh|none|8|Parnia Nabavi|none|43182981-89F5-4077-A4A4-E8B50C22426B|singles
20180205|0:16|11|Hananeh Yaghobzadeh|none|9|Parnia Nabavi|none|43182981-89F5-4077-A4A4-E8B50C22426B|singles
