date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20190124|0:20|21|Andreas Hoffmann|none|12|Simon Orri Johannsson|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:20|21|Andreas Hoffmann|none|9|Simon Orri Johannsson|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:25|21|Alexander Jackson|none|15|Eysteinn Hognason|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:25|21|Alexander Jackson|none|18|Eysteinn Hognason|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124||Walkover Win|David Orn Hardarson|none|Walkover Loss|Harry Huang|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:19|21|Jonas Baldursson|none|12|Edgars Vaivads|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:19|21|Jonas Baldursson|none|7|Edgars Vaivads|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:20|21|Frederik Elsner|none|16|Brynjar Mar Ellertsson|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:20|21|Frederik Elsner|none|8|Brynjar Mar Ellertsson|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:40|21|Jens-Frederik Nielsen|none|18|Robert Ingi Huldarsson|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:40|21|Jens-Frederik Nielsen|none|17|Robert Ingi Huldarsson|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:20|21|Sofia Macsali|none|9|Bjork Orradottir|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:20|21|Sofia Macsali|none|7|Bjork Orradottir|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:21|21|Pamela Reyes|none|11|Catarina Cristina|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:21|21|Pamela Reyes|none|5|Catarina Cristina|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:23|21|Lena Germann|none|10|Ragnheidur Birna Ragnarsdottir|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:23|21|Lena Germann|none|7|Ragnheidur Birna Ragnarsdottir|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:29|21|Markus Barth|none|19|Eidur Isak Broddason [1]|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:29|21|Markus Barth|none|9|Eidur Isak Broddason [1]|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:20|21|Andreas Hoffmann|none|13|Janis Vaivads|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:20|21|Andreas Hoffmann|none|5|Janis Vaivads|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:27|21|Alexander Jackson|none|15|Einar Sverrisson [3]|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:27|21|Alexander Jackson|none|10|Einar Sverrisson [3]|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:32|21|David Orn Hardarson|none|19|Bjarni Thor Sverrisson|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:32|21|David Orn Hardarson|none|19|Bjarni Thor Sverrisson|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:32|16|Jack Taylor|none|21|Jonas Baldursson|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:32|21|Jack Taylor|none|9|Jonas Baldursson|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:32|21|Jack Taylor|none|8|Jonas Baldursson|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:22|21|Frederik Elsner|none|16|Elis Thor Dansson [4]|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:22|21|Frederik Elsner|none|12|Elis Thor Dansson [4]|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:20|21|Jens-Frederik Nielsen|none|13|Sigurdur Edvard Olafsson|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:20|21|Jens-Frederik Nielsen|none|6|Sigurdur Edvard Olafsson|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:22|21|Mads Marum |none|13|Andri Broddason|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:22|21|Mads Marum |none|18|Andri Broddason|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124||Walkover Win|Diana Baltina|none|Walkover Loss|Karolina Prus [1]|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:15|21|Sofia Macsali|none|6|Arina Babre|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
20190124|0:15|21|Sofia Macsali|none|3|Arina Babre|none|438BD7DB-30A7-4E3D-A900-BC2C91E2FE30|singles
