date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20160211|0:20|21|Andrija Doder|Marija Sudimac|15|Giovanni Toti|Hanna Innerhofer|453BA4D4-48B4-4E25-BD25-A9F611B98BDC|doubles
20160211|0:20|21|Andrija Doder|Marija Sudimac|10|Giovanni Toti|Hanna Innerhofer|453BA4D4-48B4-4E25-BD25-A9F611B98BDC|doubles
20160211|0:24|21|Natchanon Tulamok|Sanicha Chumnibannakarn|13|Yann Breton|Florine Dupont|453BA4D4-48B4-4E25-BD25-A9F611B98BDC|doubles
20160211|0:24|21|Natchanon Tulamok|Sanicha Chumnibannakarn|16|Yann Breton|Florine Dupont|453BA4D4-48B4-4E25-BD25-A9F611B98BDC|doubles
20160211|0:21|21|Tilen Zalar|Nika Arih|16|Valentin Singer|Marion Le Turdu|453BA4D4-48B4-4E25-BD25-A9F611B98BDC|doubles
20160211|0:21|21|Tilen Zalar|Nika Arih|13|Valentin Singer|Marion Le Turdu|453BA4D4-48B4-4E25-BD25-A9F611B98BDC|doubles
20160211|0:52|21|Carl Harrbacka|Tilda Sjoo|23|Maxime Briot|Marine Hadjal|453BA4D4-48B4-4E25-BD25-A9F611B98BDC|doubles
20160211|0:52|21|Carl Harrbacka|Tilda Sjoo|19|Maxime Briot|Marine Hadjal|453BA4D4-48B4-4E25-BD25-A9F611B98BDC|doubles
20160211|0:52|21|Carl Harrbacka|Tilda Sjoo|14|Maxime Briot|Marine Hadjal|453BA4D4-48B4-4E25-BD25-A9F611B98BDC|doubles
20160211|0:32|21|Miha Ivancic|Petra Polanc|17|Ondrej Kral|Michaela Fuchsova|453BA4D4-48B4-4E25-BD25-A9F611B98BDC|doubles
20160211|0:32|21|Miha Ivancic|Petra Polanc|16|Ondrej Kral|Michaela Fuchsova|453BA4D4-48B4-4E25-BD25-A9F611B98BDC|doubles
20160211||Walkover Win|David Orteu|Marion Varrin|Walkover Loss|Gertjan Devaere|Lotte Derudder|453BA4D4-48B4-4E25-BD25-A9F611B98BDC|doubles
20160211|0:22|21|Barnabas Horvath|Anett Karsai|17|Alex Popov|Maria Boevska|453BA4D4-48B4-4E25-BD25-A9F611B98BDC|doubles
20160211|0:22|25|Barnabas Horvath|Anett Karsai|23|Alex Popov|Maria Boevska|453BA4D4-48B4-4E25-BD25-A9F611B98BDC|doubles
20160211|0:28|21|Melker Zickerman-Bexell|Maria Persson|18|Martin Petkov|Ventsislava Sakadjiiska|453BA4D4-48B4-4E25-BD25-A9F611B98BDC|doubles
20160211|0:28|14|Melker Zickerman-Bexell|Maria Persson|21|Martin Petkov|Ventsislava Sakadjiiska|453BA4D4-48B4-4E25-BD25-A9F611B98BDC|doubles
20160211|0:28|21|Melker Zickerman-Bexell|Maria Persson|12|Martin Petkov|Ventsislava Sakadjiiska|453BA4D4-48B4-4E25-BD25-A9F611B98BDC|doubles
20160211|0:20|21|Sukrit Maunglai|Natchpapha Chatupornkarnchana|4|Denis Marinov|Paola Kirova|453BA4D4-48B4-4E25-BD25-A9F611B98BDC|doubles
20160211|0:20|21|Sukrit Maunglai|Natchpapha Chatupornkarnchana|12|Denis Marinov|Paola Kirova|453BA4D4-48B4-4E25-BD25-A9F611B98BDC|doubles
20160211|0:22|21|Matej Hubacek|Berta Ausbergerova|19|Fabio Caponio|Claudia Vorhauser|453BA4D4-48B4-4E25-BD25-A9F611B98BDC|doubles
20160211|0:22|21|Matej Hubacek|Berta Ausbergerova|9|Fabio Caponio|Claudia Vorhauser|453BA4D4-48B4-4E25-BD25-A9F611B98BDC|doubles
