date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20181031|0:24|21|Young-Chin Mi |Valeska Knoblauch|5|Georgios Papadopoulos|Marcella Li Brizzi|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:24|21|Young-Chin Mi |Valeska Knoblauch|8|Georgios Papadopoulos|Marcella Li Brizzi|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|1:00|18|Amir Levi |Nina Gorodetzky|21|David Toupe|Emmanuelle Ott|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|1:00|21|Amir Levi |Nina Gorodetzky|18|David Toupe|Emmanuelle Ott|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|1:00|21|Amir Levi |Nina Gorodetzky|14|David Toupe|Emmanuelle Ott|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:23|21|Luca Olgiati |Karin Suter-Erath|9|Thomas Puska|Mirka Seuina Rautakoski|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:23|21|Luca Olgiati |Karin Suter-Erath|8|Thomas Puska|Mirka Seuina Rautakoski|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:25|21|Jordy Brouwer Von Gonzenbach |Man-Kei To|14|Avni Kertmen|Narin Uluc|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:25|21|Jordy Brouwer Von Gonzenbach |Man-Kei To|11|Avni Kertmen|Narin Uluc|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031||Walkover Win|Lucas Mazur |Faustine Noel|Walkover Loss|Xavier Debavelaere|Emona Ivanova|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:30|21|Marcel Adam |Katrin Seibert|13|Bobby Griffin|Emma Louise Stoner|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:30|21|Marcel Adam |Katrin Seibert|9|Bobby Griffin|Emma Louise Stoner|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:32|21|Hugo Saumier |Veronique Braud|14|Mustafa Tugra Nur|Zehra Baglar|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:32|21|Hugo Saumier |Veronique Braud|15|Mustafa Tugra Nur|Zehra Baglar|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:26|21|Colin Leslie |Cathrine Rosengren|18|William Smith|Julie Thrane|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:26|21|Colin Leslie |Cathrine Rosengren|16|William Smith|Julie Thrane|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:27|21|Konstantin Afinogenov |Emine Seckin|13|Laurent Bellia|Audrey Bellia-Sauvage|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:27|21|Konstantin Afinogenov |Emine Seckin|9|Laurent Bellia|Audrey Bellia-Sauvage|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:23|21|Gobi Ranganathan|Henriett Koosz|13|David Follett [5/6]|Heidi Manninen|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:23|21|Gobi Ranganathan|Henriett Koosz|13|David Follett [5/6]|Heidi Manninen|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:22|21|Thomas Wandschneider |none|1|Patrick Faure|none|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|singles
20181031|0:22|21|Thomas Wandschneider |none|2|Patrick Faure|none|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|singles
20181031|0:24|21|Timo Villanen|none|11|Alfonso Jimenez Luis|none|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|singles
20181031|0:24|21|Timo Villanen|none|5|Alfonso Jimenez Luis|none|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|singles
20181031|0:19|21|Andrew Martin |Rachel Choong|8|Djordje Koprivica|Oliwia Szmigiel|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:19|21|Andrew Martin |Rachel Choong|8|Djordje Koprivica|Oliwia Szmigiel|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:22|21|Robert Laing |Rebecca Bedford|16|Fabien Morat|Simone Emilie Meyer Larsen|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:22|21|Robert Laing |Rebecca Bedford|13|Fabien Morat|Simone Emilie Meyer Larsen|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:21|21|Yuri Stepanov |none|6|Chris Stewart|none|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|singles
20181031|0:21|21|Yuri Stepanov |none|11|Chris Stewart|none|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|singles
20181031|0:27|22|Markus Lehto|none|20|Francisco Motero|none|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|singles
20181031|0:27|21|Markus Lehto|none|6|Francisco Motero|none|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|singles
20181031||Walkover Win|Jan-Niklas Pott|Helle Sofie Sagoy|Walkover Loss|Xavier Debavelaere|Emona Ivanova|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:21|21|Bobby Griffin|Emma Louise Stoner|12|Florian Cantais|Catherine Naudin|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:21|21|Bobby Griffin|Emma Louise Stoner|11|Florian Cantais|Catherine Naudin|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:36|20|Oleksandr Chyrkov|Ivanna Redka|22|Mustafa Tugra Nur|Zehra Baglar|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:36|21|Oleksandr Chyrkov|Ivanna Redka|13|Mustafa Tugra Nur|Zehra Baglar|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:36|21|Oleksandr Chyrkov|Ivanna Redka|13|Mustafa Tugra Nur|Zehra Baglar|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:37|21|Meril Loquette|Coraline Bergeron|11|William Smith|Julie Thrane|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:37|7|Meril Loquette|Coraline Bergeron|21|William Smith|Julie Thrane|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:37|21|Meril Loquette|Coraline Bergeron|19|William Smith|Julie Thrane|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:23|21|Timo Villanen|Fiona Christie|6|Georgios Papadopoulos|Marcella Li Brizzi|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:23|21|Timo Villanen|Fiona Christie|10|Georgios Papadopoulos|Marcella Li Brizzi|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:29|21|David Toupe|Emmanuelle Ott|10|Connor Dua-Harper|Marilou Maurel|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:29|21|David Toupe|Emmanuelle Ott|7|Connor Dua-Harper|Marilou Maurel|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:29|21|Rick Cornell Hellmann|Elke Rongen|7|Thomas Puska|Mirka Seuina Rautakoski|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:29|24|Rick Cornell Hellmann|Elke Rongen|22|Thomas Puska|Mirka Seuina Rautakoski|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:45|21|Laurent Bellia|Audrey Bellia-Sauvage|13|Owen Kilburn|Sharon Jones-Barnes|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
20181031|0:45|11|Laurent Bellia|Audrey Bellia-Sauvage|21|Owen Kilburn|Sharon Jones-Barnes|4556B0A6-2F52-4A73-B9CC-F7E12CAD4031|doubles
