date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180921|0:23|21|Timo Stoffelen|Chloe Mayer|14|Bennet Peters|Sarah Bergedick|47E000F2-B3E9-4BF9-B449-EA6F738C5213|doubles
20180921|0:23|21|Timo Stoffelen|Chloe Mayer|11|Bennet Peters|Sarah Bergedick|47E000F2-B3E9-4BF9-B449-EA6F738C5213|doubles
20180921|0:24|21|Daniel Stratenko|Hannah Jaenichen|12|Jerome Pauquet|Kim Schmidt|47E000F2-B3E9-4BF9-B449-EA6F738C5213|doubles
20180921|0:24|21|Daniel Stratenko|Hannah Jaenichen|14|Jerome Pauquet|Kim Schmidt|47E000F2-B3E9-4BF9-B449-EA6F738C5213|doubles
20180921|0:22|21|Tobias Jonsson|Shana Pauquet|13|Ben Gatzsche|Mia Pethes|47E000F2-B3E9-4BF9-B449-EA6F738C5213|doubles
20180921|0:22|21|Tobias Jonsson|Shana Pauquet|12|Ben Gatzsche|Mia Pethes|47E000F2-B3E9-4BF9-B449-EA6F738C5213|doubles
20180921|0:17|21|Gijs Duijs|Maria Kuse|9|Leo Hölzmer|Zoé Sinico|47E000F2-B3E9-4BF9-B449-EA6F738C5213|doubles
20180921|0:17|21|Gijs Duijs|Maria Kuse|9|Leo Hölzmer|Zoé Sinico|47E000F2-B3E9-4BF9-B449-EA6F738C5213|doubles
20180921|0:23|21|Finn Achthoven|Jaymie Laurens|9|Malik Bourakkadi|Tabea Tirschmann|47E000F2-B3E9-4BF9-B449-EA6F738C5213|doubles
20180921|0:23|21|Finn Achthoven|Jaymie Laurens|10|Malik Bourakkadi|Tabea Tirschmann|47E000F2-B3E9-4BF9-B449-EA6F738C5213|doubles
20180921|0:39|21|Salvador Franco|Candela Arcos|10|Marcello Kausemann|Xenia Kölmel|47E000F2-B3E9-4BF9-B449-EA6F738C5213|doubles
20180921|0:39|20|Salvador Franco|Candela Arcos|22|Marcello Kausemann|Xenia Kölmel|47E000F2-B3E9-4BF9-B449-EA6F738C5213|doubles
20180921|0:39|21|Salvador Franco|Candela Arcos|16|Marcello Kausemann|Xenia Kölmel|47E000F2-B3E9-4BF9-B449-EA6F738C5213|doubles
20180921|0:24|21|Aaron Sonnenschein|Leona Michalski|8|Senne Houthoofd|Kirstin Boonen|47E000F2-B3E9-4BF9-B449-EA6F738C5213|doubles
20180921|0:24|21|Aaron Sonnenschein|Leona Michalski|8|Senne Houthoofd|Kirstin Boonen|47E000F2-B3E9-4BF9-B449-EA6F738C5213|doubles
20180921||Walkover Win|Jose Miguel Rodriguez|none|Walkover Loss|Thies Huth|none|47E000F2-B3E9-4BF9-B449-EA6F738C5213|singles
20180921|0:26|21|Corvin Schmitz|none|18|Geordan Tjon Kon Joe|none|47E000F2-B3E9-4BF9-B449-EA6F738C5213|singles
20180921|0:26|21|Corvin Schmitz|none|12|Geordan Tjon Kon Joe|none|47E000F2-B3E9-4BF9-B449-EA6F738C5213|singles
20180921||Walkover Win|Fernando Civico|none|Walkover Loss|Robin Mesman|none|47E000F2-B3E9-4BF9-B449-EA6F738C5213|singles
20180921|0:28|21|Leonard Johnson|none|16|Adrien Slegers|none|47E000F2-B3E9-4BF9-B449-EA6F738C5213|singles
20180921|0:28|21|Leonard Johnson|none|13|Adrien Slegers|none|47E000F2-B3E9-4BF9-B449-EA6F738C5213|singles
20180921|0:53|16|Joan Monroy|none|21|Kevin Hargiono|none|47E000F2-B3E9-4BF9-B449-EA6F738C5213|singles
20180921|0:53|21|Joan Monroy|none|16|Kevin Hargiono|none|47E000F2-B3E9-4BF9-B449-EA6F738C5213|singles
20180921|0:53|21|Joan Monroy|none|10|Kevin Hargiono|none|47E000F2-B3E9-4BF9-B449-EA6F738C5213|singles
20180921|0:17|21|Andy Buijk|none|2|Simon Rieck|none|47E000F2-B3E9-4BF9-B449-EA6F738C5213|singles
20180921|0:17|21|Andy Buijk|none|18|Simon Rieck|none|47E000F2-B3E9-4BF9-B449-EA6F738C5213|singles
20180921|0:18|21|Luca Froschauer|none|9|Hendrik Stagge|none|47E000F2-B3E9-4BF9-B449-EA6F738C5213|singles
20180921|0:18|21|Luca Froschauer|none|9|Hendrik Stagge|none|47E000F2-B3E9-4BF9-B449-EA6F738C5213|singles
20180921|0:25|21|Enrique Rodriguez|none|18|Andreas De Winné|none|47E000F2-B3E9-4BF9-B449-EA6F738C5213|singles
20180921|0:25|21|Enrique Rodriguez|none|11|Andreas De Winné|none|47E000F2-B3E9-4BF9-B449-EA6F738C5213|singles
20180921|0:40|21|Antonio Iglesias|none|12|Robby Bronselaer|none|47E000F2-B3E9-4BF9-B449-EA6F738C5213|singles
20180921|0:40|14|Antonio Iglesias|none|21|Robby Bronselaer|none|47E000F2-B3E9-4BF9-B449-EA6F738C5213|singles
20180921|0:40|21|Antonio Iglesias|none|16|Robby Bronselaer|none|47E000F2-B3E9-4BF9-B449-EA6F738C5213|singles
