date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20170817||Walkover Win|Renaldo Sinanan|none|Walkover Loss|Christopher Alexander Martinez Salvador [1]|none|4C080BB4-A002-43DD-BAFE-9A3B7BEBBD44|singles
20170817|0:22|21|Jascha Atmodikromo|none|16|Aleem Ali|none|4C080BB4-A002-43DD-BAFE-9A3B7BEBBD44|singles
20170817|0:22|21|Jascha Atmodikromo|none|11|Aleem Ali|none|4C080BB4-A002-43DD-BAFE-9A3B7BEBBD44|singles
20170817|0:20|21|Bruno Barrueto Deza |none|16|Johanthan Mangra|none|4C080BB4-A002-43DD-BAFE-9A3B7BEBBD44|singles
20170817|0:20|21|Bruno Barrueto Deza |none|11|Johanthan Mangra|none|4C080BB4-A002-43DD-BAFE-9A3B7BEBBD44|singles
20170817|0:25|21|Shane Wilson|none|5|Mackenzie Legen|none|4C080BB4-A002-43DD-BAFE-9A3B7BEBBD44|singles
20170817|0:25|21|Shane Wilson|none|4|Mackenzie Legen|none|4C080BB4-A002-43DD-BAFE-9A3B7BEBBD44|singles
20170817|0:23|21|Cesar Adonis Brito Gonzalez |none|12|Vance Juteram|none|4C080BB4-A002-43DD-BAFE-9A3B7BEBBD44|singles
20170817|0:23|21|Cesar Adonis Brito Gonzalez |none|11|Vance Juteram|none|4C080BB4-A002-43DD-BAFE-9A3B7BEBBD44|singles
20170817|0:20|21|Jorge Rodriguez|none|7|Nicholas Sobers|none|4C080BB4-A002-43DD-BAFE-9A3B7BEBBD44|singles
20170817|0:20|21|Jorge Rodriguez|none|9|Nicholas Sobers|none|4C080BB4-A002-43DD-BAFE-9A3B7BEBBD44|singles
20170817|0:18|21|Shae Michael Martin |none|10|Mikael Joachim|none|4C080BB4-A002-43DD-BAFE-9A3B7BEBBD44|singles
20170817|0:18|21|Shae Michael Martin |none|12|Mikael Joachim|none|4C080BB4-A002-43DD-BAFE-9A3B7BEBBD44|singles
20170817|0:43|19|Jehu Gaskin|none|21|Josef Gonzalez|none|4C080BB4-A002-43DD-BAFE-9A3B7BEBBD44|singles
20170817|0:43|21|Jehu Gaskin|none|19|Josef Gonzalez|none|4C080BB4-A002-43DD-BAFE-9A3B7BEBBD44|singles
20170817|0:43|21|Jehu Gaskin|none|11|Josef Gonzalez|none|4C080BB4-A002-43DD-BAFE-9A3B7BEBBD44|singles
20170817|0:38|21|Keshem Moore|none|12|Nathaniel Khillawan|none|4C080BB4-A002-43DD-BAFE-9A3B7BEBBD44|singles
