date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180227|0:27|21|Dakeil Jonathan Thorpe|none|12|Marc-Anthony Salmon|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180227|0:27|21|Dakeil Jonathan Thorpe|none|15|Marc-Anthony Salmon|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180227||Walkover Win|Matthew Yee-Grant|none|Walkover Loss|Kyle Alexander Munoz Seixas|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180227|0:49|21|Kevin Barkman|none|13|Kemar Valentine|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180227|0:49|21|Kevin Barkman|none|18|Kemar Valentine|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180227|0:31|21|Shae Michael Martin|none|15|Anil Seepaul|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180227|0:31|21|Shae Michael Martin|none|16|Anil Seepaul|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180227|0:17|21|Xiaodong Sheng|none|9|Kenneth Anglin|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180227|0:17|21|Xiaodong Sheng|none|8|Kenneth Anglin|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180227|0:15|21|Peder Søvndal|none|9|Mickhaile Williams|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180227|0:15|21|Peder Søvndal|none|8|Mickhaile Williams|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180227|0:41|21|Bradley Graham|none|17|Naim Mohammed|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180227|0:41|19|Bradley Graham|none|21|Naim Mohammed|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180227|0:41|21|Bradley Graham|none|14|Naim Mohammed|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180227|0:33|21|Joel Angus|none|11|Gavin Robinson|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180227|0:33|21|Joel Angus|none|16|Gavin Robinson|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180227|0:23|21|Cory Fanus|none|19|Che Alexander Beckford|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180227|0:23|21|Cory Fanus|none|13|Che Alexander Beckford|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180227|0:26|21|Enrico Baroni|none|9|Matthew Yee-Grant|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180227|0:26|21|Enrico Baroni|none|13|Matthew Yee-Grant|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180227|0:18|21|Antonio Li|none|4|Dakeil Jonathan Thorpe|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180227|0:18|21|Antonio Li|none|6|Dakeil Jonathan Thorpe|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180227|0:25|21|Xiaodong Sheng|none|7|Shae Michael Martin|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180227|0:25|21|Xiaodong Sheng|none|10|Shae Michael Martin|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180227|0:45|21|Kevin Barkman|none|11|Matthew Lee|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180227|0:45|21|Kevin Barkman|none|14|Matthew Lee|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180228|0:27|21|Dakeil Jonathan Thorpe|none|12|Marc-Anthony Salmon|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180228|0:27|21|Dakeil Jonathan Thorpe|none|15|Marc-Anthony Salmon|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180228||Walkover Win|Matthew Yee-Grant|none|Walkover Loss|Kyle Alexander Munoz Seixas|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180228|0:49|21|Kevin Barkman|none|13|Kemar Valentine|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180228|0:49|21|Kevin Barkman|none|18|Kemar Valentine|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180228|0:31|21|Shae Michael Martin|none|15|Anil Seepaul|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180228|0:31|21|Shae Michael Martin|none|16|Anil Seepaul|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180228|0:17|21|Xiaodong Sheng|none|9|Kenneth Anglin|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180228|0:17|21|Xiaodong Sheng|none|8|Kenneth Anglin|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180228|0:15|21|Peder Søvndal|none|9|Mickhaile Williams|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180228|0:15|21|Peder Søvndal|none|8|Mickhaile Williams|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180228|0:41|21|Bradley Graham|none|17|Naim Mohammed|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180228|0:41|19|Bradley Graham|none|21|Naim Mohammed|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180228|0:41|21|Bradley Graham|none|14|Naim Mohammed|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180228|0:33|21|Joel Angus|none|11|Gavin Robinson|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180228|0:33|21|Joel Angus|none|16|Gavin Robinson|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180228|0:23|21|Cory Fanus|none|19|Che Alexander Beckford|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180228|0:23|21|Cory Fanus|none|13|Che Alexander Beckford|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180228|0:26|21|Enrico Baroni|none|9|Matthew Yee-Grant|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180228|0:26|21|Enrico Baroni|none|13|Matthew Yee-Grant|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180228|0:18|21|Antonio Li|none|4|Dakeil Jonathan Thorpe|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180228|0:18|21|Antonio Li|none|6|Dakeil Jonathan Thorpe|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180228|0:25|21|Xiaodong Sheng|none|7|Shae Michael Martin|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180228|0:25|21|Xiaodong Sheng|none|10|Shae Michael Martin|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180228|0:45|21|Kevin Barkman|none|11|Matthew Lee|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180228|0:45|21|Kevin Barkman|none|14|Matthew Lee|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180301|0:27|21|Dakeil Jonathan Thorpe|none|12|Marc-Anthony Salmon|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180301|0:27|21|Dakeil Jonathan Thorpe|none|15|Marc-Anthony Salmon|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180301||Walkover Win|Matthew Yee-Grant|none|Walkover Loss|Kyle Alexander Munoz Seixas|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180301|0:49|21|Kevin Barkman|none|13|Kemar Valentine|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180301|0:49|21|Kevin Barkman|none|18|Kemar Valentine|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180301|0:31|21|Shae Michael Martin|none|15|Anil Seepaul|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180301|0:31|21|Shae Michael Martin|none|16|Anil Seepaul|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180301|0:17|21|Xiaodong Sheng|none|9|Kenneth Anglin|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180301|0:17|21|Xiaodong Sheng|none|8|Kenneth Anglin|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180301|0:15|21|Peder Søvndal|none|9|Mickhaile Williams|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180301|0:15|21|Peder Søvndal|none|8|Mickhaile Williams|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180301|0:41|21|Bradley Graham|none|17|Naim Mohammed|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180301|0:41|19|Bradley Graham|none|21|Naim Mohammed|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180301|0:41|21|Bradley Graham|none|14|Naim Mohammed|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180301|0:33|21|Joel Angus|none|11|Gavin Robinson|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180301|0:33|21|Joel Angus|none|16|Gavin Robinson|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180301|0:23|21|Cory Fanus|none|19|Che Alexander Beckford|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180301|0:23|21|Cory Fanus|none|13|Che Alexander Beckford|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180301|0:26|21|Enrico Baroni|none|9|Matthew Yee-Grant|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180301|0:26|21|Enrico Baroni|none|13|Matthew Yee-Grant|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180301|0:18|21|Antonio Li|none|4|Dakeil Jonathan Thorpe|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180301|0:18|21|Antonio Li|none|6|Dakeil Jonathan Thorpe|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180301|0:25|21|Xiaodong Sheng|none|7|Shae Michael Martin|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180301|0:25|21|Xiaodong Sheng|none|10|Shae Michael Martin|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180301|0:45|21|Kevin Barkman|none|11|Matthew Lee|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180301|0:45|21|Kevin Barkman|none|14|Matthew Lee|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180302|0:27|21|Dakeil Jonathan Thorpe|none|12|Marc-Anthony Salmon|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180302|0:27|21|Dakeil Jonathan Thorpe|none|15|Marc-Anthony Salmon|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180302||Walkover Win|Matthew Yee-Grant|none|Walkover Loss|Kyle Alexander Munoz Seixas|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180302|0:49|21|Kevin Barkman|none|13|Kemar Valentine|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180302|0:49|21|Kevin Barkman|none|18|Kemar Valentine|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180302|0:31|21|Shae Michael Martin|none|15|Anil Seepaul|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180302|0:31|21|Shae Michael Martin|none|16|Anil Seepaul|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180302|0:17|21|Xiaodong Sheng|none|9|Kenneth Anglin|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180302|0:17|21|Xiaodong Sheng|none|8|Kenneth Anglin|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180302|0:15|21|Peder Søvndal|none|9|Mickhaile Williams|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180302|0:15|21|Peder Søvndal|none|8|Mickhaile Williams|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180302|0:41|21|Bradley Graham|none|17|Naim Mohammed|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180302|0:41|19|Bradley Graham|none|21|Naim Mohammed|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180302|0:41|21|Bradley Graham|none|14|Naim Mohammed|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180302|0:33|21|Joel Angus|none|11|Gavin Robinson|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180302|0:33|21|Joel Angus|none|16|Gavin Robinson|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180302|0:23|21|Cory Fanus|none|19|Che Alexander Beckford|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180302|0:23|21|Cory Fanus|none|13|Che Alexander Beckford|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180302|0:26|21|Enrico Baroni|none|9|Matthew Yee-Grant|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180302|0:26|21|Enrico Baroni|none|13|Matthew Yee-Grant|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180302|0:18|21|Antonio Li|none|4|Dakeil Jonathan Thorpe|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180302|0:18|21|Antonio Li|none|6|Dakeil Jonathan Thorpe|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180302|0:25|21|Xiaodong Sheng|none|7|Shae Michael Martin|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180302|0:25|21|Xiaodong Sheng|none|10|Shae Michael Martin|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180302|0:45|21|Kevin Barkman|none|11|Matthew Lee|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180302|0:45|21|Kevin Barkman|none|14|Matthew Lee|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180303|0:27|21|Dakeil Jonathan Thorpe|none|12|Marc-Anthony Salmon|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180303|0:27|21|Dakeil Jonathan Thorpe|none|15|Marc-Anthony Salmon|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180303||Walkover Win|Matthew Yee-Grant|none|Walkover Loss|Kyle Alexander Munoz Seixas|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180303|0:49|21|Kevin Barkman|none|13|Kemar Valentine|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180303|0:49|21|Kevin Barkman|none|18|Kemar Valentine|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180303|0:31|21|Shae Michael Martin|none|15|Anil Seepaul|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180303|0:31|21|Shae Michael Martin|none|16|Anil Seepaul|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180303|0:17|21|Xiaodong Sheng|none|9|Kenneth Anglin|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180303|0:17|21|Xiaodong Sheng|none|8|Kenneth Anglin|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180303|0:15|21|Peder Søvndal|none|9|Mickhaile Williams|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180303|0:15|21|Peder Søvndal|none|8|Mickhaile Williams|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180303|0:41|21|Bradley Graham|none|17|Naim Mohammed|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180303|0:41|19|Bradley Graham|none|21|Naim Mohammed|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180303|0:41|21|Bradley Graham|none|14|Naim Mohammed|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180303|0:33|21|Joel Angus|none|11|Gavin Robinson|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180303|0:33|21|Joel Angus|none|16|Gavin Robinson|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180303|0:23|21|Cory Fanus|none|19|Che Alexander Beckford|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180303|0:23|21|Cory Fanus|none|13|Che Alexander Beckford|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180303|0:26|21|Enrico Baroni|none|9|Matthew Yee-Grant|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180303|0:26|21|Enrico Baroni|none|13|Matthew Yee-Grant|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180303|0:18|21|Antonio Li|none|4|Dakeil Jonathan Thorpe|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180303|0:18|21|Antonio Li|none|6|Dakeil Jonathan Thorpe|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180303|0:25|21|Xiaodong Sheng|none|7|Shae Michael Martin|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180303|0:25|21|Xiaodong Sheng|none|10|Shae Michael Martin|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180303|0:45|21|Kevin Barkman|none|11|Matthew Lee|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180303|0:45|21|Kevin Barkman|none|14|Matthew Lee|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180304|0:27|21|Dakeil Jonathan Thorpe|none|12|Marc-Anthony Salmon|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180304|0:27|21|Dakeil Jonathan Thorpe|none|15|Marc-Anthony Salmon|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180304||Walkover Win|Matthew Yee-Grant|none|Walkover Loss|Kyle Alexander Munoz Seixas|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180304|0:49|21|Kevin Barkman|none|13|Kemar Valentine|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180304|0:49|21|Kevin Barkman|none|18|Kemar Valentine|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180304|0:31|21|Shae Michael Martin|none|15|Anil Seepaul|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180304|0:31|21|Shae Michael Martin|none|16|Anil Seepaul|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180304|0:17|21|Xiaodong Sheng|none|9|Kenneth Anglin|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180304|0:17|21|Xiaodong Sheng|none|8|Kenneth Anglin|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180304|0:15|21|Peder Søvndal|none|9|Mickhaile Williams|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180304|0:15|21|Peder Søvndal|none|8|Mickhaile Williams|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180304|0:41|21|Bradley Graham|none|17|Naim Mohammed|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180304|0:41|19|Bradley Graham|none|21|Naim Mohammed|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180304|0:41|21|Bradley Graham|none|14|Naim Mohammed|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180304|0:33|21|Joel Angus|none|11|Gavin Robinson|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180304|0:33|21|Joel Angus|none|16|Gavin Robinson|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180304|0:23|21|Cory Fanus|none|19|Che Alexander Beckford|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180304|0:23|21|Cory Fanus|none|13|Che Alexander Beckford|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180304|0:26|21|Enrico Baroni|none|9|Matthew Yee-Grant|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180304|0:26|21|Enrico Baroni|none|13|Matthew Yee-Grant|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180304|0:18|21|Antonio Li|none|4|Dakeil Jonathan Thorpe|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180304|0:18|21|Antonio Li|none|6|Dakeil Jonathan Thorpe|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180304|0:25|21|Xiaodong Sheng|none|7|Shae Michael Martin|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180304|0:25|21|Xiaodong Sheng|none|10|Shae Michael Martin|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180304|0:45|21|Kevin Barkman|none|11|Matthew Lee|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
20180304|0:45|21|Kevin Barkman|none|14|Matthew Lee|none|4DC8AE6C-3BE4-4CBD-98D4-EA3F6F6A9991|singles
