date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20190411||21|Mattias Sonderskov|none|17|Robby Bronselaer|none|4EA4DAA3-1E96-41AB-AEC9-65E968B93E9E|singles
20190411||24|Mattias Sonderskov|none|22|Robby Bronselaer|none|4EA4DAA3-1E96-41AB-AEC9-65E968B93E9E|singles
20190411||21|Martin Bundgaard|none|17|Colin Hammarberg|none|4EA4DAA3-1E96-41AB-AEC9-65E968B93E9E|singles
20190411||20|Martin Bundgaard|none|22|Colin Hammarberg|none|4EA4DAA3-1E96-41AB-AEC9-65E968B93E9E|singles
20190411||21|Martin Bundgaard|none|13|Colin Hammarberg|none|4EA4DAA3-1E96-41AB-AEC9-65E968B93E9E|singles
20190411||21|Richard Kuhl|none|19|Tobias Mund|none|4EA4DAA3-1E96-41AB-AEC9-65E968B93E9E|singles
20190411||21|Richard Kuhl|none|11|Tobias Mund|none|4EA4DAA3-1E96-41AB-AEC9-65E968B93E9E|singles
20190411||21|Bruno Carvalho|none|19|Adnan Ebrahim [14]|none|4EA4DAA3-1E96-41AB-AEC9-65E968B93E9E|singles
20190411||23|Bruno Carvalho|none|21|Adnan Ebrahim [14]|none|4EA4DAA3-1E96-41AB-AEC9-65E968B93E9E|singles
20190411||21|David Kim|none|9|Matthias Almer|none|4EA4DAA3-1E96-41AB-AEC9-65E968B93E9E|singles
20190411||21|David Kim|none|15|Matthias Almer|none|4EA4DAA3-1E96-41AB-AEC9-65E968B93E9E|singles
20190411||21|Mathias Moldt Baskjaer|Emilie Aalestrup|19|Matthias Kicklitz|Thuc Phuong Nguyen|4EA4DAA3-1E96-41AB-AEC9-65E968B93E9E|doubles
20190411||16|Mathias Moldt Baskjaer|Emilie Aalestrup|21|Matthias Kicklitz|Thuc Phuong Nguyen|4EA4DAA3-1E96-41AB-AEC9-65E968B93E9E|doubles
20190411||21|Mathias Moldt Baskjaer|Emilie Aalestrup|10|Matthias Kicklitz|Thuc Phuong Nguyen|4EA4DAA3-1E96-41AB-AEC9-65E968B93E9E|doubles
20190411||21|Kiran George |none|13|Kaj Sjang Lü|none|4EA4DAA3-1E96-41AB-AEC9-65E968B93E9E|singles
20190411||21|Kiran George |none|15|Kaj Sjang Lü|none|4EA4DAA3-1E96-41AB-AEC9-65E968B93E9E|singles
20190411||18|Jonas Jæger|none|21|Michael Spencer-Smith [9]|none|4EA4DAA3-1E96-41AB-AEC9-65E968B93E9E|singles
20190411||21|Jonas Jæger|none|10|Michael Spencer-Smith [9]|none|4EA4DAA3-1E96-41AB-AEC9-65E968B93E9E|singles
20190411||21|Jonas Jæger|none|12|Michael Spencer-Smith [9]|none|4EA4DAA3-1E96-41AB-AEC9-65E968B93E9E|singles
20190411||21|Leona Michalski|none|15|Ieva Pope [4]|none|4EA4DAA3-1E96-41AB-AEC9-65E968B93E9E|singles
20190411||10|Leona Michalski|none|21|Ieva Pope [4]|none|4EA4DAA3-1E96-41AB-AEC9-65E968B93E9E|singles
20190411||22|Leona Michalski|none|20|Ieva Pope [4]|none|4EA4DAA3-1E96-41AB-AEC9-65E968B93E9E|singles
20190411||21|Brid Stepper |none|10|Thuc Phuong Nguyen|none|4EA4DAA3-1E96-41AB-AEC9-65E968B93E9E|singles
20190411||21|Brid Stepper |none|14|Thuc Phuong Nguyen|none|4EA4DAA3-1E96-41AB-AEC9-65E968B93E9E|singles
20190411||14|Maciej Matusz|Alan Ostrowski|21|Matti-Lukka Bahro|Marvin Schmidt|4EA4DAA3-1E96-41AB-AEC9-65E968B93E9E|doubles
