date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20170908|0:40|21|Nestor Gabrysiak|Laura Bujak|19|Pedro Mendes|Teresa Lopes|5328A95B-2637-4C2D-9717-9F56EF768F8D|doubles
20170908|0:40|16|Nestor Gabrysiak|Laura Bujak|21|Pedro Mendes|Teresa Lopes|5328A95B-2637-4C2D-9717-9F56EF768F8D|doubles
20170908|0:40|22|Nestor Gabrysiak|Laura Bujak|20|Pedro Mendes|Teresa Lopes|5328A95B-2637-4C2D-9717-9F56EF768F8D|doubles
20170908||Walkover Win|Arturs Kelpe|none|Walkover Loss|Robert Sokman|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:29|22|Evgeny Chertilin|none|20|Danielius Berzanskis|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:29|22|Evgeny Chertilin|none|20|Danielius Berzanskis|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:24|21|Reka Madarasz |none|7|Elena-Alexandra Diordiev|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:24|21|Reka Madarasz |none|16|Elena-Alexandra Diordiev|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:43|16|Liana Lencevica|none|21|Sofya Potapovich|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:43|21|Liana Lencevica|none|18|Sofya Potapovich|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:43|22|Liana Lencevica|none|20|Sofya Potapovich|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908||Walkover Win|Daniele Svelnyte|none|Walkover Loss|Hristomira Popovska [5]|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:18|21|Anastasiia Shapovalova|none|8|Perla Murenaite|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:18|21|Anastasiia Shapovalova|none|9|Perla Murenaite|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:23|21|Ella Soderstrom |none|10|Zuzanna Parysz|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:23|21|Ella Soderstrom |none|11|Zuzanna Parysz|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:27|21|Hasini Nusaka Ambalangodage|none|11|Mari Ann Karjus [8]|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:27|21|Hasini Nusaka Ambalangodage|none|16|Mari Ann Karjus [8]|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:24|13|Anastasiia Kurdyukova|none|21|Karina Kapanen|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:24|21|Anastasiia Kurdyukova|none|16|Karina Kapanen|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:24|21|Anastasiia Kurdyukova|none|12|Karina Kapanen|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:18|21|Anastasia Osiyanenko|none|10|Merit Mägi|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:18|21|Anastasia Osiyanenko|none|5|Merit Mägi|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:22|21|Dana Danilenko |none|8|Gabija Mockute|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:22|21|Dana Danilenko |none|6|Gabija Mockute|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:20|21|Mariia Sukhova|none|10|Teresa Lopes|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:20|21|Mariia Sukhova|none|13|Teresa Lopes|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:25|21|Una Berga|none|13|Anna Duda|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:25|21|Una Berga|none|13|Anna Duda|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:20|21|Grace King |none|15|Victoria Korobova|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:20|21|Grace King |none|9|Victoria Korobova|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:20|21|Viktoriia Kozyreva|none|5|Diana Stognija|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:20|21|Viktoriia Kozyreva|none|4|Diana Stognija|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:18|21|Vlada Gynga |none|8|Vitalija Movsovic|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:18|21|Vlada Gynga |none|10|Vitalija Movsovic|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:21|21|Magdalena Kulska|none|7|Diana Baltina|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:21|21|Magdalena Kulska|none|6|Diana Baltina|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:24|21|Maria Delcheva |none|11|Hannaliina Piho|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:24|21|Maria Delcheva |none|14|Hannaliina Piho|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:22|21|Dmitriy Panarin |none|10|Ardis Daniels Bedritis|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:22|21|Dmitriy Panarin |none|10|Ardis Daniels Bedritis|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:21|21|Szymon Stokfisz|none|10|Rihards Valters Blaubergs|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:21|21|Szymon Stokfisz|none|3|Rihards Valters Blaubergs|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:17|21|Karl Kert |none|7|Ardas Valantiejus|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:17|21|Karl Kert |none|3|Ardas Valantiejus|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:26|21|Aleksander Bazanov|none|14|Mamertas Noreika|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:26|21|Aleksander Bazanov|none|10|Mamertas Noreika|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:17|21|Georgii Karpov |none|3|Janis Vaivads|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:17|21|Georgii Karpov |none|7|Janis Vaivads|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:20|21|Jonas Petkus|none|12|Patriks Kruze|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:20|21|Jonas Petkus|none|13|Patriks Kruze|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:25|21|Markus Barth |none|11|Alexander Nikulin|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:25|21|Markus Barth |none|11|Alexander Nikulin|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:23|21|Victor Lindahl|none|10|Arturs Kelpe|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:23|21|Victor Lindahl|none|12|Arturs Kelpe|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:37|21|Evgeny Chertilin|none|17|Mantas Maule|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:37|18|Evgeny Chertilin|none|21|Mantas Maule|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:37|21|Evgeny Chertilin|none|18|Mantas Maule|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908||Walkover Win|Sarunas Stumbra|none|Walkover Loss|Oskar Svensson [8]|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:22|21|Hans-Kristjan Pilve|none|19|Mairis Loiko|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:22|21|Hans-Kristjan Pilve|none|4|Mairis Loiko|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:36|21|Justus Kilpi |none|16|Mark Sames|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:36|9|Justus Kilpi |none|21|Mark Sames|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:36|21|Justus Kilpi |none|14|Mark Sames|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:27|21|Pedro Mendes|none|16|Laurynas Borusas|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:27|21|Pedro Mendes|none|16|Laurynas Borusas|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:19|21|Zach Russ |none|6|Simas Kliostoraitis|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
20170908|0:19|21|Zach Russ |none|8|Simas Kliostoraitis|none|5328A95B-2637-4C2D-9717-9F56EF768F8D|singles
