date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20170622|0:20|21|Jakarin Homhaul |Amnouy Wetwithan|8|Francois Nalborczyk|Heidi Manninen|53A1D449-E91D-474A-B976-1003E7E6C570|doubles
20170622|0:20|21|Jakarin Homhaul |Amnouy Wetwithan|7|Francois Nalborczyk|Heidi Manninen|53A1D449-E91D-474A-B976-1003E7E6C570|doubles
20170622|0:21|21|Luca Olgiati |Karin Suter-Erath|14|Owen Kilburn|Sharon Jones-Barnes|53A1D449-E91D-474A-B976-1003E7E6C570|doubles
20170622|0:21|21|Luca Olgiati |Karin Suter-Erath|4|Owen Kilburn|Sharon Jones-Barnes|53A1D449-E91D-474A-B976-1003E7E6C570|doubles
20170622|0:21|21|Junthong Dumnern |Sujirat Pookkham|15|Marcelo Alves Conceicao|Esther Torres|53A1D449-E91D-474A-B976-1003E7E6C570|doubles
20170622|0:21|21|Junthong Dumnern |Sujirat Pookkham|6|Marcelo Alves Conceicao|Esther Torres|53A1D449-E91D-474A-B976-1003E7E6C570|doubles
20170622|0:23|21|Ho Yuen Chan |Man-Kei To|10|Konstantin Afinogenov|Liliia Prokofeva|53A1D449-E91D-474A-B976-1003E7E6C570|doubles
20170622|0:23|21|Ho Yuen Chan |Man-Kei To|16|Konstantin Afinogenov|Liliia Prokofeva|53A1D449-E91D-474A-B976-1003E7E6C570|doubles
20170622|0:22|21|Lucas Mazur |Faustine Noel|17|Alan Oliver|Megan Hollander|53A1D449-E91D-474A-B976-1003E7E6C570|doubles
20170622|0:22|21|Lucas Mazur |Faustine Noel|18|Alan Oliver|Megan Hollander|53A1D449-E91D-474A-B976-1003E7E6C570|doubles
20170622|0:24|21|Marcel Adam |Katrin Seibert|12|Kumar Nitesh|Darunee Henpraiwan|53A1D449-E91D-474A-B976-1003E7E6C570|doubles
20170622|0:24|21|Marcel Adam |Katrin Seibert|19|Kumar Nitesh|Darunee Henpraiwan|53A1D449-E91D-474A-B976-1003E7E6C570|doubles
20170622|0:24|21|Antony Forster|Mary Margaret Wilson|19|Mathieu Thomas [3]|Veronique Braud|53A1D449-E91D-474A-B976-1003E7E6C570|doubles
20170622|0:24|21|Antony Forster|Mary Margaret Wilson|15|Mathieu Thomas [3]|Veronique Braud|53A1D449-E91D-474A-B976-1003E7E6C570|doubles
20170622|0:16|21|Krysten Coombs |none|1|Miles Krajewski|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:16|21|Krysten Coombs |none|7|Miles Krajewski|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:24|21|Gobi Ranganathan|Henriett Koosz|16|Jose Guillermo Lama Seco|Begona Gago|53A1D449-E91D-474A-B976-1003E7E6C570|doubles
20170622|0:24|21|Gobi Ranganathan|Henriett Koosz|12|Jose Guillermo Lama Seco|Begona Gago|53A1D449-E91D-474A-B976-1003E7E6C570|doubles
20170622|0:25|21|Amir Levi|Nina Gorodetzky|16|Martin Rooke [5/6]|Laura Lee Jenkins|53A1D449-E91D-474A-B976-1003E7E6C570|doubles
20170622|0:25|21|Amir Levi|Nina Gorodetzky|10|Martin Rooke [5/6]|Laura Lee Jenkins|53A1D449-E91D-474A-B976-1003E7E6C570|doubles
20170622|1:02|18|Javier Fernandez|Marcela Quinteros|21|Bernard Lapointe|Yuka Chokyu|53A1D449-E91D-474A-B976-1003E7E6C570|doubles
20170622|1:02|21|Javier Fernandez|Marcela Quinteros|14|Bernard Lapointe|Yuka Chokyu|53A1D449-E91D-474A-B976-1003E7E6C570|doubles
20170622|1:02|21|Javier Fernandez|Marcela Quinteros|17|Bernard Lapointe|Yuka Chokyu|53A1D449-E91D-474A-B976-1003E7E6C570|doubles
20170622|0:21|21|Young-Chin Mi |Valeska Knoblauch|5|Stephen Durand|Mirka Seuina Rautakoski|53A1D449-E91D-474A-B976-1003E7E6C570|doubles
20170622|0:21|21|Young-Chin Mi |Valeska Knoblauch|8|Stephen Durand|Mirka Seuina Rautakoski|53A1D449-E91D-474A-B976-1003E7E6C570|doubles
20170622|0:31|21|Niall Mcveigh|none|16|Isaak Dalglish|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:31|21|Niall Mcveigh|none|16|Isaak Dalglish|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:16|21|Chun Yim Wong |none|3|Hector Jesus Salva Tunque|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:16|21|Chun Yim Wong |none|5|Hector Jesus Salva Tunque|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:15|21|Robert Laing|none|9|Aaron Keith|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:15|21|Robert Laing|none|1|Aaron Keith|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:24|21|Andrew Martin |none|14|Bunthan Yaemmali|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:24|21|Andrew Martin |none|10|Bunthan Yaemmali|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:22|21|Sam Seop Lee |none|5|Patrick Faure|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:22|21|Sam Seop Lee |none|4|Patrick Faure|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:19|21|Thomas Wandschneider |none|4|Marcelo Alves Conceicao|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:19|21|Thomas Wandschneider |none|4|Marcelo Alves Conceicao|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:49|22|Timo Villanen|none|20|Yuri Stepanov [5/6]|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:49|11|Timo Villanen|none|21|Yuri Stepanov [5/6]|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:49|21|Timo Villanen|none|14|Yuri Stepanov [5/6]|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:32|21|Jae Gun Jeong|none|15|Connor Dua-Harper [5/6]|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:32|21|Jae Gun Jeong|none|13|Connor Dua-Harper [5/6]|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:16|21|Alexander Mekhdiev|none|10|Wyatt Lightfoot|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:16|21|Alexander Mekhdiev|none|15|Wyatt Lightfoot|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:22|21|Jack Shephard |none|15|Fabien Morat|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:22|21|Jack Shephard |none|9|Fabien Morat|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:23|21|Bob Biesmans|none|15|Geoffrey Byzery|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:23|21|Bob Biesmans|none|13|Geoffrey Byzery|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:28|21|Pascal Wolter |none|11|Nail Jarvie|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:28|21|Pascal Wolter |none|14|Nail Jarvie|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:18|21|Ho Yuen Chan |none|6|Jose Guillermo Lama Seco|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:18|21|Ho Yuen Chan |none|3|Jose Guillermo Lama Seco|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:20|21|Jakarin Homhaul |none|13|Stephen Durand|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:20|21|Jakarin Homhaul |none|6|Stephen Durand|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:33|21|David Toupe |none|12|Young-Chin Mi|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:33|21|David Toupe |none|12|Young-Chin Mi|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:17|21|Javier Fernandez|none|7|Michael Smith|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:17|21|Javier Fernandez|none|1|Michael Smith|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:43|17|Kumar Nitesh|none|21|Alan Oliver|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:43|21|Kumar Nitesh|none|16|Alan Oliver|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:43|21|Kumar Nitesh|none|12|Alan Oliver|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:14|21|Mathieu Thomas |none|4|Xavier Debavelaere|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:14|21|Mathieu Thomas |none|6|Xavier Debavelaere|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:26|21|Meepian Subpong|none|10|William Smith|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:26|21|Meepian Subpong|none|15|William Smith|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:28|21|Simon Cruz Mondejar |none|11|Hugo Barrue|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:28|21|Simon Cruz Mondejar |none|8|Hugo Barrue|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:17|21|Kyung Hoon Kim |none|2|Amir Levi|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:17|21|Kyung Hoon Kim |none|2|Amir Levi|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:20|21|Thomas Puska|none|7|Roberto Punzo|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:20|21|Thomas Puska|none|8|Roberto Punzo|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:34|24|Martin Rooke |none|22|Junthong Dumnern|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:34|21|Martin Rooke |none|18|Junthong Dumnern|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:21|21|Rick Cornell Hellmann|none|11|Luca Olgiati|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:21|21|Rick Cornell Hellmann|none|9|Luca Olgiati|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:40|21|Mark Waller|none|14|Thomas Numitor|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:40|17|Mark Waller|none|21|Thomas Numitor|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:40|21|Mark Waller|none|19|Thomas Numitor|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:30|21|Umesh Vikram Kumar |none|10|Colin Leslie|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:30|21|Umesh Vikram Kumar |none|17|Colin Leslie|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:22|21|Lucas Mazur |none|8|Daniel Lee|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:22|21|Lucas Mazur |none|10|Daniel Lee|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:35|21|Sukant Kadam |none|14|Jan-Niklas Pott|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:35|15|Sukant Kadam |none|21|Jan-Niklas Pott|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:35|21|Sukant Kadam |none|16|Jan-Niklas Pott|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:40|18|Bernard Lapointe|none|21|Francois Nalborczyk|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:40|21|Bernard Lapointe|none|12|Francois Nalborczyk|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:40|21|Bernard Lapointe|none|15|Francois Nalborczyk|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:30|21|Gobi Ranganathan|none|18|Jordy Brouwer Von Gonzenbach [3/4]|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:30|21|Gobi Ranganathan|none|12|Jordy Brouwer Von Gonzenbach [3/4]|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:18|21|Karin Suter-Erath |none|5|Mirka Seuina Rautakoski|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:18|21|Karin Suter-Erath |none|3|Mirka Seuina Rautakoski|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:17|21|Sujirat Pookkham |none|9|Begona Gago|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:17|21|Sujirat Pookkham |none|2|Begona Gago|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:15|21|Christopher Budesheim|none|7|Stephen Bryan Halpin|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:15|21|Christopher Budesheim|none|4|Stephen Bryan Halpin|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:17|21|Rickard Nilsson |none|14|David Purdie|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:17|21|Rickard Nilsson |none|11|David Purdie|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:21|21|Siripong Teamarrom|none|12|Marcel Adam|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:21|21|Siripong Teamarrom|none|13|Marcel Adam|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:31|21|Anguiano Raul |none|8|Antony Forster|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:31|12|Anguiano Raul |none|13|Antony Forster|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:31|Walkover Win|Anguiano Raul |none|Walkover Loss|Antony Forster|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:18|21|Nina Gorodetzky |none|6|Laura Lee Jenkins|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
20170622|0:18|21|Nina Gorodetzky |none|2|Laura Lee Jenkins|none|53A1D449-E91D-474A-B976-1003E7E6C570|singles
