date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180824|0:01|21|Marcus Rindshøj|Nele Swerts Knudsen|11|Alexander Pilon|Mirjam Lindgarde|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
20180824|0:01|21|Marcus Rindshøj|Nele Swerts Knudsen|10|Alexander Pilon|Mirjam Lindgarde|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
20180824|0:18|21|William Kryger Boe|Mette Werge|16|Andy Buijk|Novi Wieland|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
20180824|0:18|21|William Kryger Boe|Mette Werge|14|Andy Buijk|Novi Wieland|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
20180824|0:21|21|Nicolas Hoareau|Laeticia Jaffrennou|18|Kasper Røjkjær Kjøbsted|Maiken Slorup Johansen|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
20180824|0:21|21|Nicolas Hoareau|Laeticia Jaffrennou|18|Kasper Røjkjær Kjøbsted|Maiken Slorup Johansen|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
20180824|0:35|21|Malthe Mølbjerg Nielsen|Josephine Stuhr Risager|16|Emil Söderdahl [4]|Jessica Silvennoinen|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
20180824|0:35|14|Malthe Mølbjerg Nielsen|Josephine Stuhr Risager|21|Emil Söderdahl [4]|Jessica Silvennoinen|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
20180824|0:35|27|Malthe Mølbjerg Nielsen|Josephine Stuhr Risager|25|Emil Söderdahl [4]|Jessica Silvennoinen|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
20180824|0:37|16|Benjamin Illum Klindt|Cecilie Frost Andersen|21|William Atkin|Lisa Curtin|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
20180824|0:37|21|Benjamin Illum Klindt|Cecilie Frost Andersen|12|William Atkin|Lisa Curtin|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
20180824|0:37|21|Benjamin Illum Klindt|Cecilie Frost Andersen|16|William Atkin|Lisa Curtin|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
20180824|0:25|21|Toby Leung|Kiara Henry|17|Tobias Rhein Larsen|Signe Hersleb Ghodt|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
20180824|0:25|21|Toby Leung|Kiara Henry|17|Tobias Rhein Larsen|Signe Hersleb Ghodt|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
20180824|0:36|21|Lasse Nielsen|Maria Møller|19|Callum Smith|Erin Waddell|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
20180824|0:36|21|Lasse Nielsen|Maria Møller|23|Callum Smith|Erin Waddell|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
20180824|0:36|21|Lasse Nielsen|Maria Møller|16|Callum Smith|Erin Waddell|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
20180824||Walkover Win|Nicki Sjerslev Christensen|Anne Sofie Locht|Walkover Loss|Enogat Roy|Alison Drouard|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
20180824|0:36|21|Jonas Kudsk|Anne Madsen|14|David Sugiharto|Kelly Van Buiten|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
20180824|0:36|24|Jonas Kudsk|Anne Madsen|22|David Sugiharto|Kelly Van Buiten|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
20180824|0:29|21|David Brandt|Cici Pedersen|9|Dyon Van Wijlick|Nadia Choukri|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
20180824|0:29|21|David Brandt|Cici Pedersen|11|Dyon Van Wijlick|Nadia Choukri|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
20180824|0:35|22|Tobias Kudsk|Carina Hartvig|20|Albin Thorsélius [3]|Ella Hellman|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
20180824|0:35|21|Tobias Kudsk|Carina Hartvig|17|Albin Thorsélius [3]|Ella Hellman|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
20180824|0:32|21|Tobias Rønbøg|Rebecca Thorup|17|Max Svensson|Fiona Hallberg|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
20180824|0:32|21|Tobias Rønbøg|Rebecca Thorup|14|Max Svensson|Fiona Hallberg|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
20180824|0:33|21|Alex Green|Estelle Van Leeuwen|15|Mathias Solgaard|Laura Fløj Thomsen|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
20180824|0:33|24|Alex Green|Estelle Van Leeuwen|22|Mathias Solgaard|Laura Fløj Thomsen|55EDE816-93D9-4063-ABBA-D94E91E171CB|doubles
