date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20141204||Walkover Win|Cesar Adonis Brito Gonzalez|none|Walkover Loss|Ilian Perez|none|577CB69E-4C89-4104-894C-B8A8F1F51E74|singles
20141204||Walkover Win|Wilmer Daniel Brea Nuñez|none|Walkover Loss|Alistair Casey|none|577CB69E-4C89-4104-894C-B8A8F1F51E74|singles
20141204||21|Dylan Darmohoetomo|none|17|Kleiner Ventura|none|577CB69E-4C89-4104-894C-B8A8F1F51E74|singles
20141204||21|Dylan Darmohoetomo|none|12|Kleiner Ventura|none|577CB69E-4C89-4104-894C-B8A8F1F51E74|singles
20141204||Walkover Win|Anny Elizabeth Sanchez Matos|none|Walkover Loss|Fanny Duarte|none|577CB69E-4C89-4104-894C-B8A8F1F51E74|singles
20141204||21|Daniela Macias|none|11|Bermary Altagracia Polanco Munoz|none|577CB69E-4C89-4104-894C-B8A8F1F51E74|singles
20141204||21|Daniela Macias|none|8|Bermary Altagracia Polanco Munoz|none|577CB69E-4C89-4104-894C-B8A8F1F51E74|singles
20141204||21|Daigenis Saturria|none|13|Luz Clarita Valdez Ogando|none|577CB69E-4C89-4104-894C-B8A8F1F51E74|singles
20141204||21|Daigenis Saturria|none|8|Luz Clarita Valdez Ogando|none|577CB69E-4C89-4104-894C-B8A8F1F51E74|singles
20141204||Walkover Win|Yuliana Faña|none|Walkover Loss|Alexandra Estepan Perdomo|none|577CB69E-4C89-4104-894C-B8A8F1F51E74|singles
20141204||4|Nairoby Abigail Jimenez|none|21|Licelott Sanchez|none|577CB69E-4C89-4104-894C-B8A8F1F51E74|singles
20141204||21|Nairoby Abigail Jimenez|none|13|Licelott Sanchez|none|577CB69E-4C89-4104-894C-B8A8F1F51E74|singles
20141204||21|Nairoby Abigail Jimenez|none|17|Licelott Sanchez|none|577CB69E-4C89-4104-894C-B8A8F1F51E74|singles
20141204||21|Edinvert Bienvenido Sanchez Matos|Anny Elizabeth Sanchez Matos|19|Cesar Adonis Brito Gonzalez|Nairoby Abigail Jimenez|577CB69E-4C89-4104-894C-B8A8F1F51E74|doubles
20141204||21|Edinvert Bienvenido Sanchez Matos|Anny Elizabeth Sanchez Matos|15|Cesar Adonis Brito Gonzalez|Nairoby Abigail Jimenez|577CB69E-4C89-4104-894C-B8A8F1F51E74|doubles
20141205||Walkover Win|Cesar Adonis Brito Gonzalez|none|Walkover Loss|Ilian Perez|none|577CB69E-4C89-4104-894C-B8A8F1F51E74|singles
20141205||Walkover Win|Wilmer Daniel Brea Nuñez|none|Walkover Loss|Alistair Casey|none|577CB69E-4C89-4104-894C-B8A8F1F51E74|singles
20141205||21|Dylan Darmohoetomo|none|17|Kleiner Ventura|none|577CB69E-4C89-4104-894C-B8A8F1F51E74|singles
20141205||21|Dylan Darmohoetomo|none|12|Kleiner Ventura|none|577CB69E-4C89-4104-894C-B8A8F1F51E74|singles
20141205||Walkover Win|Anny Elizabeth Sanchez Matos|none|Walkover Loss|Fanny Duarte|none|577CB69E-4C89-4104-894C-B8A8F1F51E74|singles
20141205||21|Daniela Macias|none|11|Bermary Altagracia Polanco Munoz|none|577CB69E-4C89-4104-894C-B8A8F1F51E74|singles
