date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20160630|0:39|18|Philip Shishov|none|21|Paschalis Melikidis|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160630|0:39|21|Philip Shishov|none|7|Paschalis Melikidis|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160630|0:39|21|Philip Shishov|none|9|Paschalis Melikidis|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160630|0:18|21|Dimitar Yanakiev|none|6|Nikolaos Koulakidis|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160630|0:18|21|Dimitar Yanakiev|none|4|Nikolaos Koulakidis|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160630|0:15|21|Simon Phil|none|8|Dimitrios Papadopoulos|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160630|0:15|21|Simon Phil|none|3|Dimitrios Papadopoulos|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160630|0:30|21|Alexandr Ursatii|none|18|Georgios Orfeas Tsamousiadis|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160630|0:30|21|Alexandr Ursatii|none|16|Georgios Orfeas Tsamousiadis|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160630|0:27|21|Vaggelis Sotiriadis|none|14|Andreas Ioannou|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160630|0:27|21|Vaggelis Sotiriadis|none|17|Andreas Ioannou|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160630|0:18|21|George Galvas |none|16|Christos Kaniouras|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160630|0:18|21|George Galvas |none|17|Christos Kaniouras|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160630|0:26|21|Jonathan Cassier |none|11|Georgios Chintiroglou|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160630|0:26|21|Jonathan Cassier |none|8|Georgios Chintiroglou|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160630|0:18|21|Vegard Rikheim |none|8|Ioannis Mamasidis|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160630|0:18|21|Vegard Rikheim |none|12|Ioannis Mamasidis|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160630|0:21|21|Philip Shishov|none|5|Athanasios Geranis|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160630|0:21|21|Philip Shishov|none|9|Athanasios Geranis|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160630|0:35|21|Dimitar Yanakiev|none|9|Dimitris Orlis [4]|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160630|0:35|21|Dimitar Yanakiev|none|11|Dimitris Orlis [4]|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160630|0:17|21|Vaggelis Sotiriadis|none|7|Stefanos Koukourikos|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160630|0:17|21|Vaggelis Sotiriadis|none|8|Stefanos Koukourikos|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160630|0:17|21|Simon Phil|none|11|Panagiotis Botelis [4]|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160630|0:17|21|Simon Phil|none|8|Panagiotis Botelis [4]|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160630|0:27|21|Alexandr Ursatii|none|18|Mihail Rami Panagiotou|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160630|0:27|21|Alexandr Ursatii|none|14|Mihail Rami Panagiotou|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160701|0:39|18|Philip Shishov|none|21|Paschalis Melikidis|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160701|0:39|21|Philip Shishov|none|7|Paschalis Melikidis|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160701|0:39|21|Philip Shishov|none|9|Paschalis Melikidis|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160701|0:18|21|Dimitar Yanakiev|none|6|Nikolaos Koulakidis|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160701|0:18|21|Dimitar Yanakiev|none|4|Nikolaos Koulakidis|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160701|0:15|21|Simon Phil|none|8|Dimitrios Papadopoulos|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160701|0:15|21|Simon Phil|none|3|Dimitrios Papadopoulos|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160701|0:30|21|Alexandr Ursatii|none|18|Georgios Orfeas Tsamousiadis|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160701|0:30|21|Alexandr Ursatii|none|16|Georgios Orfeas Tsamousiadis|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
20160701|0:27|21|Vaggelis Sotiriadis|none|14|Andreas Ioannou|none|577E4EB6-77F1-421C-B08A-E2DB5FA9EC0F|singles
