date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20170427|0:25|23|Hassan Kamoga|none|21|Ismail Rembe|none|58EB12CC-845E-40B5-85AD-AD5C6F2E2295|singles
20170427|0:25|21|Hassan Kamoga|none|6|Ismail Rembe|none|58EB12CC-845E-40B5-85AD-AD5C6F2E2295|singles
20170427|0:42|20|Paddy Kizza Kasirye|none|22|Rose Nansereko|none|58EB12CC-845E-40B5-85AD-AD5C6F2E2295|singles
20170427|0:42|21|Paddy Kizza Kasirye|none|9|Rose Nansereko|none|58EB12CC-845E-40B5-85AD-AD5C6F2E2295|singles
20170427|0:42|21|Paddy Kizza Kasirye|none|11|Rose Nansereko|none|58EB12CC-845E-40B5-85AD-AD5C6F2E2295|singles
20170427|0:15|21|Sanjeev Kumar |none|5|Stephen Durand [6]|none|58EB12CC-845E-40B5-85AD-AD5C6F2E2295|singles
20170427|0:15|21|Sanjeev Kumar |none|8|Stephen Durand [6]|none|58EB12CC-845E-40B5-85AD-AD5C6F2E2295|singles
20170427|0:22|21|Hussein Kasalirwe Kato|none|9|Abdu Walukagga|none|58EB12CC-845E-40B5-85AD-AD5C6F2E2295|singles
20170427|0:22|21|Hussein Kasalirwe Kato|none|7|Abdu Walukagga|none|58EB12CC-845E-40B5-85AD-AD5C6F2E2295|singles
20170427|0:20|21|Khadija Khamuka|none|6|Oliaji Toko Chandia|none|58EB12CC-845E-40B5-85AD-AD5C6F2E2295|singles
20170427|0:20|21|Khadija Khamuka|none|11|Oliaji Toko Chandia|none|58EB12CC-845E-40B5-85AD-AD5C6F2E2295|singles
20170427|0:22|21|Abu Hubaida |none|9|Richard Perot [5]|none|58EB12CC-845E-40B5-85AD-AD5C6F2E2295|singles
20170427|0:22|21|Abu Hubaida |none|10|Richard Perot [5]|none|58EB12CC-845E-40B5-85AD-AD5C6F2E2295|singles
20170427|0:32|21|James Ongaria|none|9|Bosco Olanya Kidega|none|58EB12CC-845E-40B5-85AD-AD5C6F2E2295|singles
20170427|0:32|19|James Ongaria|none|21|Bosco Olanya Kidega|none|58EB12CC-845E-40B5-85AD-AD5C6F2E2295|singles
20170427|0:32|21|James Ongaria|none|13|Bosco Olanya Kidega|none|58EB12CC-845E-40B5-85AD-AD5C6F2E2295|singles
20170427|0:15|21|Nilesh Balu Gaikwad|none|1|Bashir Mutyaba|none|58EB12CC-845E-40B5-85AD-AD5C6F2E2295|singles
