date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20171129|0:25|21|S. Sunjith (Jr)|Sruthi K.P|11|Dinesh Chaudhry|Rucha Nikam|59748208-9C5A-4FA3-AD95-09B0A7A9C775|doubles
20171129|0:25|21|S. Sunjith (Jr)|Sruthi K.P|10|Dinesh Chaudhry|Rucha Nikam|59748208-9C5A-4FA3-AD95-09B0A7A9C775|doubles
20171129||Walkover Win|Ketan Chahal|Mayuri Yadav|Walkover Loss|Himanshu Tiwari|Lalita Dahiya|59748208-9C5A-4FA3-AD95-09B0A7A9C775|doubles
20171129|0:20|21|Guang Liang Jason Wong |Putri Sari Dewi Citra|16|Aditya Nair|Deeksha Choudhary|59748208-9C5A-4FA3-AD95-09B0A7A9C775|doubles
20171129|0:20|21|Guang Liang Jason Wong |Putri Sari Dewi Citra|17|Aditya Nair|Deeksha Choudhary|59748208-9C5A-4FA3-AD95-09B0A7A9C775|doubles
20171129|0:20|21|Singh Vinay Kumar|Karishma Wadkar|11|Minhaz Mohammad|Aktar Shapla|59748208-9C5A-4FA3-AD95-09B0A7A9C775|doubles
20171129|0:20|21|Singh Vinay Kumar|Karishma Wadkar|14|Minhaz Mohammad|Aktar Shapla|59748208-9C5A-4FA3-AD95-09B0A7A9C775|doubles
20171129|0:25|21|Chang Tak Ching|Ng Wing Yung|10|Kiran Kumar Gopal|B Venkata Ramya Tulasi Bailupudi|59748208-9C5A-4FA3-AD95-09B0A7A9C775|doubles
20171129|0:25|21|Chang Tak Ching|Ng Wing Yung|16|Kiran Kumar Gopal|B Venkata Ramya Tulasi Bailupudi|59748208-9C5A-4FA3-AD95-09B0A7A9C775|doubles
20171129|0:36|21|Vighnesh Devlekar |Harika Veludurthi|14|Akshay Raut|Dhanya Nair|59748208-9C5A-4FA3-AD95-09B0A7A9C775|doubles
20171129|0:36|21|Vighnesh Devlekar |Harika Veludurthi|16|Akshay Raut|Dhanya Nair|59748208-9C5A-4FA3-AD95-09B0A7A9C775|doubles
20171129|0:31|21|Utkarsh Arora|Shikha Gautam|11|Kona Tarun|Sanjana Santosh|59748208-9C5A-4FA3-AD95-09B0A7A9C775|doubles
20171129|0:31|21|Utkarsh Arora|Shikha Gautam|8|Kona Tarun|Sanjana Santosh|59748208-9C5A-4FA3-AD95-09B0A7A9C775|doubles
20171129|0:20|21|Bimo Adi Prakoso |Yujia Jin|11|Kashish Sharma|Sanghamitra Saikia|59748208-9C5A-4FA3-AD95-09B0A7A9C775|doubles
20171129|0:20|21|Bimo Adi Prakoso |Yujia Jin|8|Kashish Sharma|Sanghamitra Saikia|59748208-9C5A-4FA3-AD95-09B0A7A9C775|doubles
20171129|0:18|21|Bhavya Rishi|none|8|Supriya Balli|none|59748208-9C5A-4FA3-AD95-09B0A7A9C775|singles
20171129|0:18|21|Bhavya Rishi|none|13|Supriya Balli|none|59748208-9C5A-4FA3-AD95-09B0A7A9C775|singles
20171129|0:39|16|Kanika Kanwal|none|21|Ruhi Raju|none|59748208-9C5A-4FA3-AD95-09B0A7A9C775|singles
20171129|0:39|21|Kanika Kanwal|none|14|Ruhi Raju|none|59748208-9C5A-4FA3-AD95-09B0A7A9C775|singles
20171129|0:39|21|Kanika Kanwal|none|19|Ruhi Raju|none|59748208-9C5A-4FA3-AD95-09B0A7A9C775|singles
20171129|0:30|21|Neha Pandit |none|17|Gauri Asaji|none|59748208-9C5A-4FA3-AD95-09B0A7A9C775|singles
20171129|0:30|21|Neha Pandit |none|15|Gauri Asaji|none|59748208-9C5A-4FA3-AD95-09B0A7A9C775|singles
20171129|0:25|21|Megha Morchana Bora|none|16|Rucha Nikam|none|59748208-9C5A-4FA3-AD95-09B0A7A9C775|singles
20171129|0:25|21|Megha Morchana Bora|none|10|Rucha Nikam|none|59748208-9C5A-4FA3-AD95-09B0A7A9C775|singles
20171129|0:05|Walkover Win|Deepali Gupta |none|Walkover Loss|Priya Konjengbam|none|59748208-9C5A-4FA3-AD95-09B0A7A9C775|singles
20171129|0:56|15|Rashi Tyagi|none|21|Simran Singhi|none|59748208-9C5A-4FA3-AD95-09B0A7A9C775|singles
20171129|0:56|21|Rashi Tyagi|none|19|Simran Singhi|none|59748208-9C5A-4FA3-AD95-09B0A7A9C775|singles
20171129|0:56|24|Rashi Tyagi|none|22|Simran Singhi|none|59748208-9C5A-4FA3-AD95-09B0A7A9C775|singles
