date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20140919|0:13|11|Lukas Osele|Karin Maran|9|Thomas Sibbald|Stephanie Pietersz|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:13|11|Lukas Osele|Karin Maran|8|Thomas Sibbald|Stephanie Pietersz|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:13|11|Lukas Osele|Karin Maran|6|Thomas Sibbald|Stephanie Pietersz|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:25|11|Pawel Smilowski|Magdalena Swierczynska|9|Martin Cerkovnik|Iza Salehar|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:25|10|Pawel Smilowski|Magdalena Swierczynska|11|Martin Cerkovnik|Iza Salehar|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:25|11|Pawel Smilowski|Magdalena Swierczynska|4|Martin Cerkovnik|Iza Salehar|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:25|11|Pawel Smilowski|Magdalena Swierczynska|9|Martin Cerkovnik|Iza Salehar|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:21|11|Chirag Chandrashekar Shetty|Ningshi Block Hazarika|7|Christoph Syrch|Janine Lais|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:21|11|Chirag Chandrashekar Shetty|Ningshi Block Hazarika|10|Christoph Syrch|Janine Lais|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:21|11|Chirag Chandrashekar Shetty|Ningshi Block Hazarika|8|Christoph Syrch|Janine Lais|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:15|11|Kevin Strobl|Marah Punter|10|Christopher Klauer|Katja Holenz|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:15|11|Kevin Strobl|Marah Punter|8|Christopher Klauer|Katja Holenz|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:15|11|Kevin Strobl|Marah Punter|4|Christopher Klauer|Katja Holenz|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919||Walkover Win|Max Weisskirchen |Eva Janssens|Walkover Loss|Andreas Stocker|Hannah Strobl|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:14|11|Joran Kweekel|Imke Van Der Aar|5|Michael Schausberger|Nadine Reiter|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:14|11|Joran Kweekel|Imke Van Der Aar|5|Michael Schausberger|Nadine Reiter|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:14|11|Joran Kweekel|Imke Van Der Aar|7|Michael Schausberger|Nadine Reiter|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:20|11|Adam Hall |Julie Mc Pherson|5|Przemyslaw Szydlowski|Joanna Stanisz|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:20|11|Adam Hall |Julie Mc Pherson|6|Przemyslaw Szydlowski|Joanna Stanisz|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:20|11|Adam Hall |Julie Mc Pherson|5|Przemyslaw Szydlowski|Joanna Stanisz|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:30|11|Arjun Matathil Ramachandran|Kuhoo Garg|9|Muhammed Ali Kurt [3/4]|Kader Inal|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:30|11|Arjun Matathil Ramachandran|Kuhoo Garg|2|Muhammed Ali Kurt [3/4]|Kader Inal|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:30|7|Arjun Matathil Ramachandran|Kuhoo Garg|11|Muhammed Ali Kurt [3/4]|Kader Inal|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:30|8|Arjun Matathil Ramachandran|Kuhoo Garg|11|Muhammed Ali Kurt [3/4]|Kader Inal|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:30|11|Arjun Matathil Ramachandran|Kuhoo Garg|10|Muhammed Ali Kurt [3/4]|Kader Inal|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:24|11|Simon Reinhardt|Lotte Derudder|6|Guillaume Bonnet|Estelle Pondant|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:24|11|Simon Reinhardt|Lotte Derudder|5|Guillaume Bonnet|Estelle Pondant|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:24|10|Simon Reinhardt|Lotte Derudder|11|Guillaume Bonnet|Estelle Pondant|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:24|11|Simon Reinhardt|Lotte Derudder|9|Guillaume Bonnet|Estelle Pondant|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:21|11|Michal Hubacek |Monika Svetnickova|8|Daan Philips|Anna Bogemans|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:21|11|Michal Hubacek |Monika Svetnickova|5|Daan Philips|Anna Bogemans|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:21|9|Michal Hubacek |Monika Svetnickova|11|Daan Philips|Anna Bogemans|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:21|11|Michal Hubacek |Monika Svetnickova|10|Daan Philips|Anna Bogemans|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:22|11|Miha Ivanic |Lia Salehar|6|Maarten Lenaerts|Marthe Tack|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:22|8|Miha Ivanic |Lia Salehar|11|Maarten Lenaerts|Marthe Tack|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:22|11|Miha Ivanic |Lia Salehar|5|Maarten Lenaerts|Marthe Tack|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:22|11|Miha Ivanic |Lia Salehar|6|Maarten Lenaerts|Marthe Tack|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:19|11|Julian Voight|Judith Petrikowski|10|Elias Bracke|Lise Jaques|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:19|11|Julian Voight|Judith Petrikowski|7|Elias Bracke|Lise Jaques|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:19|11|Julian Voight|Judith Petrikowski|10|Elias Bracke|Lise Jaques|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:23|11|Bjarne Geiss |Yvonne Li|4|Daniel Seifert|Runa Pluetzer|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:23|11|Bjarne Geiss |Yvonne Li|9|Daniel Seifert|Runa Pluetzer|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:23|8|Bjarne Geiss |Yvonne Li|11|Daniel Seifert|Runa Pluetzer|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:23|11|Bjarne Geiss |Yvonne Li|1|Daniel Seifert|Runa Pluetzer|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:31|11|Alex Dunn|Holly Newall|7|Krzysztof Jakowczuk [5/8]|Magda Konieczna|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:31|10|Alex Dunn|Holly Newall|11|Krzysztof Jakowczuk [5/8]|Magda Konieczna|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:31|7|Alex Dunn|Holly Newall|11|Krzysztof Jakowczuk [5/8]|Magda Konieczna|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:31|11|Alex Dunn|Holly Newall|9|Krzysztof Jakowczuk [5/8]|Magda Konieczna|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:31|11|Alex Dunn|Holly Newall|9|Krzysztof Jakowczuk [5/8]|Magda Konieczna|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:26|11|Duarte Nuno Anjo|Sofia Settim|10|Lukas Resch|Julia Resch|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:26|10|Duarte Nuno Anjo|Sofia Settim|11|Lukas Resch|Julia Resch|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:26|11|Duarte Nuno Anjo|Sofia Settim|10|Lukas Resch|Julia Resch|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:26|11|Duarte Nuno Anjo|Sofia Settim|8|Lukas Resch|Julia Resch|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:16|11|Melih Turgut |Fatma Nur Yavuz|7|Jan Louda|Denisa Sikalova|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:16|11|Melih Turgut |Fatma Nur Yavuz|5|Jan Louda|Denisa Sikalova|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:16|11|Melih Turgut |Fatma Nur Yavuz|7|Jan Louda|Denisa Sikalova|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:21|7|Lukas Osele|Karin Maran|11|Lucas Fallais|Maureen Gerard|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:21|11|Lukas Osele|Karin Maran|10|Lucas Fallais|Maureen Gerard|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:21|11|Lukas Osele|Karin Maran|6|Lucas Fallais|Maureen Gerard|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:21|11|Lukas Osele|Karin Maran|8|Lucas Fallais|Maureen Gerard|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:20|11|Pawel Smilowski|Magdalena Swierczynska|3|Andrej Serov|Katharina Hochmeir|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:20|11|Pawel Smilowski|Magdalena Swierczynska|8|Andrej Serov|Katharina Hochmeir|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:20|11|Pawel Smilowski|Magdalena Swierczynska|10|Andrej Serov|Katharina Hochmeir|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:21|11|Chirag Chandrashekar Shetty|Ningshi Block Hazarika|7|Yannick Wenk|Annika Schreiber|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:21|11|Chirag Chandrashekar Shetty|Ningshi Block Hazarika|8|Yannick Wenk|Annika Schreiber|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:21|11|Chirag Chandrashekar Shetty|Ningshi Block Hazarika|6|Yannick Wenk|Annika Schreiber|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:19|11|Niels Veenstra|Debora Jille|7|Kevin Strobl|Marah Punter|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:19|11|Niels Veenstra|Debora Jille|7|Kevin Strobl|Marah Punter|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:19|11|Niels Veenstra|Debora Jille|7|Kevin Strobl|Marah Punter|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:20|11|Alex Vlaar |none|4|Mattias Sonderskov|none|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|singles
20140919|0:20|11|Alex Vlaar |none|9|Mattias Sonderskov|none|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|singles
20140919|0:20|11|Alex Vlaar |none|6|Mattias Sonderskov|none|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|singles
20140919|0:19|11|Philip Birker|none|8|Jacub Hurta|none|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|singles
20140919|0:19|11|Philip Birker|none|9|Jacub Hurta|none|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|singles
20140919|0:19|11|Philip Birker|none|6|Jacub Hurta|none|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|singles
20140919|0:15|11|Max Weisskirchen |Eva Janssens|6|Joran Kweekel|Imke Van Der Aar|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:15|11|Max Weisskirchen |Eva Janssens|7|Joran Kweekel|Imke Van Der Aar|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:15|11|Max Weisskirchen |Eva Janssens|5|Joran Kweekel|Imke Van Der Aar|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:18|11|Arjun Matathil Ramachandran|Kuhoo Garg|3|Simon Reinhardt|Lotte Derudder|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:18|11|Arjun Matathil Ramachandran|Kuhoo Garg|7|Simon Reinhardt|Lotte Derudder|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:18|11|Arjun Matathil Ramachandran|Kuhoo Garg|9|Simon Reinhardt|Lotte Derudder|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
20140919|0:20|11|Simon Wang|none|6|Peter Ronn Stenseth|none|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|singles
20140919|0:20|11|Simon Wang|none|9|Peter Ronn Stenseth|none|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|singles
20140919|0:20|11|Simon Wang|none|4|Peter Ronn Stenseth|none|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|singles
20140919|0:35|11|Mateusz Biernacki|none|7|Luke Pearce|none|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|singles
20140919|0:35|11|Mateusz Biernacki|none|4|Luke Pearce|none|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|singles
20140919|0:35|9|Mateusz Biernacki|none|11|Luke Pearce|none|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|singles
20140919|0:35|11|Mateusz Biernacki|none|10|Luke Pearce|none|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|singles
20140919|0:34|11|Lukas Holub|none|5|Angelo Silva [9/16]|none|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|singles
20140919|0:34|3|Lukas Holub|none|11|Angelo Silva [9/16]|none|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|singles
20140919|0:34|11|Lukas Holub|none|10|Angelo Silva [9/16]|none|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|singles
20140919|0:34|11|Lukas Holub|none|6|Angelo Silva [9/16]|none|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|singles
20140919|0:21|11|Ross Green|none|7|Juno Thomas|none|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|singles
20140919|0:21|11|Ross Green|none|10|Juno Thomas|none|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|singles
20140919|0:21|11|Ross Green|none|7|Juno Thomas|none|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|singles
20140919|0:15|11|Bjarne Geiss |Yvonne Li|9|Julian Voight|Judith Petrikowski|5D21AB17-24C0-4CCA-A3DD-346B33CD14F0|doubles
