date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20181128||21|David King|none|12|Mark Brady|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||21|David King|none|5|Mark Brady|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||21|Joshua Apiliga|none|14|William Atkin|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||21|Joshua Apiliga|none|15|William Atkin|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||21|Vegard Rikheim |none|15|Archit Sachdeva|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||21|Vegard Rikheim |none|10|Archit Sachdeva|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||20|Jonathan Dolan |none|22|Sam Lyle|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||21|Jonathan Dolan |none|17|Sam Lyle|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||21|Jonathan Dolan |none|10|Sam Lyle|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||16|Robert Cybulski|none|21|Toby Leung|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||21|Robert Cybulski|none|14|Toby Leung|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||21|Robert Cybulski|none|17|Toby Leung|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||18|Andrew Heinemann|none|21|Mattias Sonderskov [11]|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||22|Andrew Heinemann|none|20|Mattias Sonderskov [11]|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||21|Andrew Heinemann|none|11|Mattias Sonderskov [11]|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||21|Lisa Curtin|none|19|Lowri Hart|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||18|Lisa Curtin|none|21|Lowri Hart|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||21|Lisa Curtin|none|15|Lowri Hart|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||16|Sofie Løth Topp|none|21|Sarah Preece|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||21|Sofie Løth Topp|none|19|Sarah Preece|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||21|Sofie Løth Topp|none|9|Sarah Preece|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||25|Basia Grodynska|none|23|Til'Shiloh Shaw|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||21|Basia Grodynska|none|14|Til'Shiloh Shaw|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||21|Bruno Carvalho |none|17|Mads Sørensen|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||21|Bruno Carvalho |none|15|Mads Sørensen|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||21|Jonathan Dolan |none|7|Jesper De Waal|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||21|Jonathan Dolan |none|12|Jesper De Waal|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||21|Phone Pyae Naing |none|16|William Kitching|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
20181128||21|Phone Pyae Naing |none|12|William Kitching|none|5F02E1FA-3CC7-471D-9C16-0679981B87FA|singles
