date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20170601|0:20|21|Eidur Isak Broddason|none|1|Simon Oziminski|none|610E21F4-06FF-4601-91E0-206BEBE10FB9|singles
20170601|0:20|21|Eidur Isak Broddason|none|11|Simon Oziminski|none|610E21F4-06FF-4601-91E0-206BEBE10FB9|singles
20170601|0:27|21|Mattias Xu|none|13|Ivan Medynskiy|none|610E21F4-06FF-4601-91E0-206BEBE10FB9|singles
20170601|0:27|21|Mattias Xu|none|12|Ivan Medynskiy|none|610E21F4-06FF-4601-91E0-206BEBE10FB9|singles
20170601|0:31|21|Ridzwan Rahmat|none|11|Robert Ingi Huldarsson|none|610E21F4-06FF-4601-91E0-206BEBE10FB9|singles
20170601|0:31|21|Ridzwan Rahmat|none|10|Robert Ingi Huldarsson|none|610E21F4-06FF-4601-91E0-206BEBE10FB9|singles
20170601|0:29|24|Dzmitry Saidakou|none|22|Jonas Petkus|none|610E21F4-06FF-4601-91E0-206BEBE10FB9|singles
20170601|0:29|21|Dzmitry Saidakou|none|11|Jonas Petkus|none|610E21F4-06FF-4601-91E0-206BEBE10FB9|singles
20170601|0:28|21|Miika Lahtinen|none|7|Karl-Rasmus Pungas|none|610E21F4-06FF-4601-91E0-206BEBE10FB9|singles
20170601|0:28|21|Miika Lahtinen|none|6|Karl-Rasmus Pungas|none|610E21F4-06FF-4601-91E0-206BEBE10FB9|singles
20170601|0:35|21|Mikk Ounmaa|none|17|Saruul Shafiq|none|610E21F4-06FF-4601-91E0-206BEBE10FB9|singles
20170601|0:35|21|Mikk Ounmaa|none|15|Saruul Shafiq|none|610E21F4-06FF-4601-91E0-206BEBE10FB9|singles
20170601||Walkover Win|Matis Kaart|none|Walkover Loss|Petr Beran|none|610E21F4-06FF-4601-91E0-206BEBE10FB9|singles
20170601|0:31|21|Emil Johansson|none|18|Ignas Reznikas|none|610E21F4-06FF-4601-91E0-206BEBE10FB9|singles
20170601|0:31|21|Emil Johansson|none|19|Ignas Reznikas|none|610E21F4-06FF-4601-91E0-206BEBE10FB9|singles
20170601|0:30|21|Mark Brady|none|9|Edgaras Slusnys|none|610E21F4-06FF-4601-91E0-206BEBE10FB9|singles
20170601|0:30|21|Mark Brady|none|18|Edgaras Slusnys|none|610E21F4-06FF-4601-91E0-206BEBE10FB9|singles
20170601|0:24|21|Nicolas A. Mueller|none|12|Kristaps Kalnins|none|610E21F4-06FF-4601-91E0-206BEBE10FB9|singles
20170601|0:24|21|Nicolas A. Mueller|none|11|Kristaps Kalnins|none|610E21F4-06FF-4601-91E0-206BEBE10FB9|singles
20170601|0:26|21|Muhammad Ziyad Md Tah|none|8|Jonas Schwarz|none|610E21F4-06FF-4601-91E0-206BEBE10FB9|singles
20170601|0:26|21|Muhammad Ziyad Md Tah|none|12|Jonas Schwarz|none|610E21F4-06FF-4601-91E0-206BEBE10FB9|singles
