date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20190117|0:19|21|Szymon Slepecki|none|13|Luis Mennecken|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:19|21|Szymon Slepecki|none|15|Luis Mennecken|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:17|21|Kishan Hathi|none|5|Niklas Hosnofsky|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:17|21|Kishan Hathi|none|5|Niklas Hosnofsky|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117||Walkover Win|Daniel Stratenko|none|Walkover Loss|Piotr Wiercigroch|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:26|22|Viacheslav Yakovlev|none|20|Peter Kovac|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:26|21|Viacheslav Yakovlev|none|17|Peter Kovac|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:20|21|Artur Gwiazdowski|none|15|Kilian Lipinsky|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:20|21|Artur Gwiazdowski|none|17|Kilian Lipinsky|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:25|21|Mikolaj Szymanowski|none|14|Pascal Scheiel|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:25|21|Mikolaj Szymanowski|none|15|Pascal Scheiel|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117||Walkover Win|Uladzimir Kryvasheyeu|none|Walkover Loss|Victor Ørding Kauffmann|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:24|21|Patryk Kordek|none|12|Ben Gatzsche|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:24|22|Patryk Kordek|none|20|Ben Gatzsche|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:21|21|Yevhen Kobzar|none|18|Simon Rieck|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:21|21|Yevhen Kobzar|none|17|Simon Rieck|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117||Walkover Win|Miha Masten|none|Walkover Loss|Marek Dostál|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:15|21|Dai Wang|none|5|Dominika Gajda|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:15|21|Dai Wang|none|6|Dominika Gajda|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:21|21|Anna Siess Ryberg|none|9|Nina Zwan|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:21|21|Anna Siess Ryberg|none|13|Nina Zwan|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:33|17|Anastasiia Prokopovych|none|21|Anastasiia Kosenchuk|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:33|21|Anastasiia Prokopovych|none|18|Anastasiia Kosenchuk|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:33|21|Anastasiia Prokopovych|none|17|Anastasiia Kosenchuk|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:17|21|Mariia Stoliarenko|none|8|Aleksandra Radziszewska|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:17|21|Mariia Stoliarenko|none|11|Aleksandra Radziszewska|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:23|21|Varvara Frolova|none|16|Aliaksandra Vasileuskaya|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:23|22|Varvara Frolova|none|20|Aliaksandra Vasileuskaya|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:18|21|Daria Zimnol|none|14|Mia Pethes|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:18|21|Daria Zimnol|none|8|Mia Pethes|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:23|21|Polina Tkach|none|11|Sofia Slosiarikova|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:23|21|Polina Tkach|none|16|Sofia Slosiarikova|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:22|21|Nina Becker|none|19|Anna Czuchra|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:22|21|Nina Becker|none|19|Anna Czuchra|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:29|19|Mia Tarcalova|none|21|Antonina Marszalek|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:29|21|Mia Tarcalova|none|16|Antonina Marszalek|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:29|21|Mia Tarcalova|none|13|Antonina Marszalek|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:19|21|Marie Růžičková|none|7|Julia Prokopczuk|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:19|21|Marie Růžičková|none|11|Julia Prokopczuk|none|61655554-6A72-492A-A33F-17D057395E96|singles
20190117|0:17|21|Mykhailo Selivanov|Ivan Skurikhin|12|Niklas Hosnofsky|Kilian Lipinsky|61655554-6A72-492A-A33F-17D057395E96|doubles
