date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20160914||21|Stijn De Langhe|none|15|Peter Lang|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|Stijn De Langhe|none|16|Peter Lang|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|Søren Toft|none|14|Alexandre Lallemand|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|Søren Toft|none|19|Alexandre Lallemand|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||14|Luke Pearce|none|21|Simon Wang|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|Luke Pearce|none|15|Simon Wang|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|Luke Pearce|none|18|Simon Wang|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||11|Birger Abts|none|21|Samuel Hsiao|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|Birger Abts|none|14|Samuel Hsiao|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|Birger Abts|none|11|Samuel Hsiao|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|Robert Mann|none|16|Christoffer Elbrønd|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|Robert Mann|none|19|Christoffer Elbrønd|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|Clara Lassaux|none|4|Stefania Konstantakatou|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|Clara Lassaux|none|6|Stefania Konstantakatou|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|Luke Pearce|none|12|Harald Hiemstra|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|Luke Pearce|none|13|Harald Hiemstra|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|Fabian Roth|none|8|Rasmus Messerschmidt [4]|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|Fabian Roth|none|9|Rasmus Messerschmidt [4]|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|Søren Toft|none|12|Mathias Bonny [7]|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||12|Søren Toft|none|21|Mathias Bonny [7]|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|Søren Toft|none|9|Mathias Bonny [7]|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||17|Russell Muns|Debora Jille|21|Rohan Kapoor|Sanjana Santosh|64532855-8526-4035-8309-C7C3527E12D1|doubles
20160914||21|Russell Muns|Debora Jille|12|Rohan Kapoor|Sanjana Santosh|64532855-8526-4035-8309-C7C3527E12D1|doubles
20160914||21|Russell Muns|Debora Jille|16|Rohan Kapoor|Sanjana Santosh|64532855-8526-4035-8309-C7C3527E12D1|doubles
20160914||21|Felix Burestedt |none|17|David King|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|Felix Burestedt |none|8|David King|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||14|Jia Wei Tan|none|21|Birger Abts|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|Jia Wei Tan|none|19|Birger Abts|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|Jia Wei Tan|none|14|Birger Abts|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|Felix Burestedt |none|12|Lakhanee Sarang|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|Felix Burestedt |none|12|Lakhanee Sarang|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|Bernardo Atilano|none|13|Nathan Vervaeke|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|Bernardo Atilano|none|13|Nathan Vervaeke|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|Jelle Maas|Imke Van Der Aar|17|Bernardo Atilano|Mariana Chang|64532855-8526-4035-8309-C7C3527E12D1|doubles
20160914||21|Jelle Maas|Imke Van Der Aar|13|Bernardo Atilano|Mariana Chang|64532855-8526-4035-8309-C7C3527E12D1|doubles
20160914||21|Put Marijn|none|19|Alexander Roovers|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||15|Put Marijn|none|21|Alexander Roovers|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|Put Marijn|none|18|Alexander Roovers|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||17|Alex Vlaar|none|21|Michael Spencer-Smith|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|Alex Vlaar|none|14|Michael Spencer-Smith|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||23|Alex Vlaar|none|21|Michael Spencer-Smith|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|David King|none|13|Niels Veenstra|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||21|David King|none|13|Niels Veenstra|none|64532855-8526-4035-8309-C7C3527E12D1|singles
20160914||17|Christian Kirchmayr|none|21|Ben Hunt|none|64532855-8526-4035-8309-C7C3527E12D1|singles
