date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180419||21|Alexander Cook|none|13|Mikk Järveoja|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180419||16|Alexander Cook|none|21|Mikk Järveoja|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180419||21|Alexander Cook|none|18|Mikk Järveoja|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180419||21|Adam Lam|none|13|Ivan Panev [16]|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180419||21|Adam Lam|none|13|Ivan Panev [16]|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180419||21|Juno Thomas |none|14|Mihail Rami Panagiotou|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180419||21|Juno Thomas |none|18|Mihail Rami Panagiotou|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180419||21|Kaj Sjang Lü|none|9|Henry Prothero|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180419||21|Kaj Sjang Lü|none|13|Henry Prothero|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180419||21|Julien Carraggi|none|18|Christakis Temereas|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180419||21|Julien Carraggi|none|10|Christakis Temereas|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180419||21|Rowan Scheurkogel |none|15|Saruul Shafiq|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180419||21|Rowan Scheurkogel |none|15|Saruul Shafiq|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180419||13|Johnnie Torjussen |none|21|Jonathan Dolan|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180419||21|Johnnie Torjussen |none|17|Jonathan Dolan|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180419||21|Johnnie Torjussen |none|16|Jonathan Dolan|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180419||21|Mark Sames|none|15|Adrian Theodoros Demetriades|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180419||21|Mark Sames|none|14|Adrian Theodoros Demetriades|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180420||21|Alexander Cook|none|13|Mikk Järveoja|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180420||16|Alexander Cook|none|21|Mikk Järveoja|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180420||21|Alexander Cook|none|18|Mikk Järveoja|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180420||21|Adam Lam|none|13|Ivan Panev [16]|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180420||21|Adam Lam|none|13|Ivan Panev [16]|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180420||21|Juno Thomas |none|14|Mihail Rami Panagiotou|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180420||21|Juno Thomas |none|18|Mihail Rami Panagiotou|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180420||21|Kaj Sjang Lü|none|9|Henry Prothero|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180420||21|Kaj Sjang Lü|none|13|Henry Prothero|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180420||21|Julien Carraggi|none|18|Christakis Temereas|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180420||21|Julien Carraggi|none|10|Christakis Temereas|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180420||21|Rowan Scheurkogel |none|15|Saruul Shafiq|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180420||21|Rowan Scheurkogel |none|15|Saruul Shafiq|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180420||13|Johnnie Torjussen |none|21|Jonathan Dolan|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180420||21|Johnnie Torjussen |none|17|Jonathan Dolan|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180420||21|Johnnie Torjussen |none|16|Jonathan Dolan|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180420||21|Mark Sames|none|15|Adrian Theodoros Demetriades|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180420||21|Mark Sames|none|14|Adrian Theodoros Demetriades|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180421||21|Alexander Cook|none|13|Mikk Järveoja|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180421||16|Alexander Cook|none|21|Mikk Järveoja|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180421||21|Alexander Cook|none|18|Mikk Järveoja|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180421||21|Adam Lam|none|13|Ivan Panev [16]|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180421||21|Adam Lam|none|13|Ivan Panev [16]|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180421||21|Juno Thomas |none|14|Mihail Rami Panagiotou|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180421||21|Juno Thomas |none|18|Mihail Rami Panagiotou|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180421||21|Kaj Sjang Lü|none|9|Henry Prothero|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180421||21|Kaj Sjang Lü|none|13|Henry Prothero|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180421||21|Julien Carraggi|none|18|Christakis Temereas|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180421||21|Julien Carraggi|none|10|Christakis Temereas|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180421||21|Rowan Scheurkogel |none|15|Saruul Shafiq|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180421||21|Rowan Scheurkogel |none|15|Saruul Shafiq|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180421||13|Johnnie Torjussen |none|21|Jonathan Dolan|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180421||21|Johnnie Torjussen |none|17|Jonathan Dolan|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180421||21|Johnnie Torjussen |none|16|Jonathan Dolan|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180421||21|Mark Sames|none|15|Adrian Theodoros Demetriades|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180421||21|Mark Sames|none|14|Adrian Theodoros Demetriades|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180422||21|Alexander Cook|none|13|Mikk Järveoja|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180422||16|Alexander Cook|none|21|Mikk Järveoja|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180422||21|Alexander Cook|none|18|Mikk Järveoja|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180422||21|Adam Lam|none|13|Ivan Panev [16]|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
20180422||21|Adam Lam|none|13|Ivan Panev [16]|none|65DEEE82-EC2B-4DE0-8200-B572FE5C5ADF|singles
