date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20170420||Walkover Win|Gabriel Urteaga Hammond|none|Walkover Loss|Nicolas Macias [1]|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:21|21|Mariano Novoa|none|18|Santiago De La Oliva Alzamora|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:21|21|Mariano Novoa|none|15|Santiago De La Oliva Alzamora|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:22|21|Gustavo Alfredo Salazar |none|15|Renzo Camogliano Telge|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:22|21|Gustavo Alfredo Salazar |none|17|Renzo Camogliano Telge|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:25|21|Fabricio Farias|none|11|Rodrigo Camogliano Telge|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:25|21|Fabricio Farias|none|15|Rodrigo Camogliano Telge|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:22|21|Diego Subauste Tokumura|none|11|Bryan Rodrigo Roque Caycho|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:22|21|Diego Subauste Tokumura|none|10|Bryan Rodrigo Roque Caycho|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420||Walkover Win|Matias Zamorano Ramos|none|Walkover Loss|Alfonso Garcia-Rosell [3]|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:30|21|Uriel Francisco Canjura Artiga|none|2|Leonardo Isa|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:30|21|Uriel Francisco Canjura Artiga|none|8|Leonardo Isa|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420||Walkover Win|Raul Blondet Martinez|none|Walkover Loss|Dennis Coke [2]|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:18|21|Maria Delia Zambrano|none|10|Stefany Ying Chie Chen Chen|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:18|21|Maria Delia Zambrano|none|9|Stefany Ying Chie Chen Chen|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:20|21|Haramara Gaitan|none|5|Belen Troncoso|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:20|21|Haramara Gaitan|none|6|Belen Troncoso|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:20|21|Daniela Macias|none|12|Katherine Wynter|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:20|21|Daniela Macias|none|8|Katherine Wynter|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:09|11|Nairoby Abigail Jimenez |none|0|Johanna Breyne|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:09|Walkover Win|Nairoby Abigail Jimenez |none|Walkover Loss|Johanna Breyne|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:24|21|Samia Lima|none|11|Micaela Flores Vasquez De Velasco|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:24|21|Samia Lima|none|10|Micaela Flores Vasquez De Velasco|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:43|20|Ingrid Valeria Salas Huamani|none|22|Sara Michele Barrios Chiong|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:43|21|Ingrid Valeria Salas Huamani|none|13|Sara Michele Barrios Chiong|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:43|21|Ingrid Valeria Salas Huamani|none|15|Sara Michele Barrios Chiong|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:29|26|Micaela Castillo Salazar|none|24|Lauren Villalobos|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:29|21|Micaela Castillo Salazar|none|19|Lauren Villalobos|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:23|21|Paula La Torre Regal|none|13|Chiara Piazza|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:23|21|Paula La Torre Regal|none|16|Chiara Piazza|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:30|21|Sofia Setim|none|17|Adelina Quiñones|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:30|21|Sofia Setim|none|12|Adelina Quiñones|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:38|14|Jaqueline Lima|none|21|Ines Castillo|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:38|21|Jaqueline Lima|none|16|Ines Castillo|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:38|21|Jaqueline Lima|none|16|Ines Castillo|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:30|21|Nikte Alejandra Sotomayor |none|16|Fernanda Saponara Rivva|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:30|21|Nikte Alejandra Sotomayor |none|17|Fernanda Saponara Rivva|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:25|21|Disha Gupta|none|7|Thaina Bellido Garcia|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:25|21|Disha Gupta|none|8|Thaina Bellido Garcia|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:42|21|Yaqueline Duarte|none|18|Daniela Zapata|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:42|16|Yaqueline Duarte|none|21|Daniela Zapata|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:42|21|Yaqueline Duarte|none|16|Daniela Zapata|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:16|21|Fatima Beatriz Centeno Fuentes|none|8|Ines Mendoza Rosell|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:16|21|Fatima Beatriz Centeno Fuentes|none|7|Ines Mendoza Rosell|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420||Walkover Win|Yue Yang Cao|none|Walkover Loss|Aimee Moran [2]|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:45|22|Mario Cuba|Diego Mini|24|Phillip Chew|Ryan Chew|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|doubles
20170420|0:45|21|Mario Cuba|Diego Mini|19|Phillip Chew|Ryan Chew|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|doubles
20170420|0:45|21|Mario Cuba|Diego Mini|19|Phillip Chew|Ryan Chew|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|doubles
20170420|0:28|21|Duarte Nuno Anjo|none|16|Anthony Mcnee|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:28|21|Duarte Nuno Anjo|none|15|Anthony Mcnee|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:22|21|Diego Mini|none|13|Diego Castillo|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:22|21|Diego Mini|none|12|Diego Castillo|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420||Walkover Win|Raul Blondet Martinez|none|Walkover Loss|Ruben Castellanos [7]|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:32|21|Rosario Maddaloni |none|13|Nicolas Macias|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:32|21|Rosario Maddaloni |none|13|Nicolas Macias|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:20|21|Rudolf Dellenbach |none|8|Mariano Novoa|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:20|21|Rudolf Dellenbach |none|10|Mariano Novoa|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:30|21|Dennis Coke|none|13|Cory Fanus|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:30|21|Dennis Coke|none|18|Cory Fanus|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:28|21|Fabricio Farias|none|16|Nicholas Bonkowsky [5]|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:28|21|Fabricio Farias|none|14|Nicholas Bonkowsky [5]|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:45|21|Uriel Francisco Canjura Artiga|none|7|Jose Guevara|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:45|18|Uriel Francisco Canjura Artiga|none|21|Jose Guevara|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:45|24|Uriel Francisco Canjura Artiga|none|22|Jose Guevara|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:30|21|Arturo Hernandez|none|15|Diego Subauste Tokumura|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:30|21|Arturo Hernandez|none|17|Diego Subauste Tokumura|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:28|21|Bruno Barrueto Deza|none|19|Alonso Medel|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:28|21|Bruno Barrueto Deza|none|13|Alonso Medel|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:28|21|Gustavo Alfredo Salazar|none|9|Mathew Fogarty|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:28|21|Gustavo Alfredo Salazar|none|15|Mathew Fogarty|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420||Walkover Win|Adam Mendrek |none|Walkover Loss|Rodolfo Ramirez|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:25|21|Daniel La Torre Regal|none|10|Matias Zamorano Ramos|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
20170420|0:25|21|Daniel La Torre Regal|none|13|Matias Zamorano Ramos|none|670A8C74-E7CB-4AC0-817E-1FF2F1A1D7B0|singles
