date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20141218|0:21|21|Vladimir Nikulov|Daria Serebriakova|7|Emre Sonmez [1]|Ilayda Nur Ozelgul|69E74D0B-59D7-4381-9564-E8B70EC443E4|doubles
20141218|0:21|21|Vladimir Nikulov|Daria Serebriakova|18|Emre Sonmez [1]|Ilayda Nur Ozelgul|69E74D0B-59D7-4381-9564-E8B70EC443E4|doubles
20141218|0:11|21|Kubilay Sadi|Yaren Dolcu|8|Fayzullojon Bakhshilloev|Valeriya Mushtakova|69E74D0B-59D7-4381-9564-E8B70EC443E4|doubles
20141218|0:11|21|Kubilay Sadi|Yaren Dolcu|12|Fayzullojon Bakhshilloev|Valeriya Mushtakova|69E74D0B-59D7-4381-9564-E8B70EC443E4|doubles
20141218|0:33|20|Emre Comert |Pinar Usluer|22|Tanguy Citron|Lole Courtois|69E74D0B-59D7-4381-9564-E8B70EC443E4|doubles
20141218|0:33|21|Emre Comert |Pinar Usluer|18|Tanguy Citron|Lole Courtois|69E74D0B-59D7-4381-9564-E8B70EC443E4|doubles
20141218|0:33|21|Emre Comert |Pinar Usluer|16|Tanguy Citron|Lole Courtois|69E74D0B-59D7-4381-9564-E8B70EC443E4|doubles
20141218|0:09|21|Alexander Bass|Anastasiya Cherniavskaya|3|Azizbek Majitov|Dilrabo Ahmedova|69E74D0B-59D7-4381-9564-E8B70EC443E4|doubles
20141218|0:09|21|Alexander Bass|Anastasiya Cherniavskaya|3|Azizbek Majitov|Dilrabo Ahmedova|69E74D0B-59D7-4381-9564-E8B70EC443E4|doubles
20141218|0:14|21|Burak Furkan Demir|Büşra Benk|4|Oguzhan Mehmet Celik|Selen Guney|69E74D0B-59D7-4381-9564-E8B70EC443E4|doubles
20141218|0:14|21|Burak Furkan Demir|Büşra Benk|9|Oguzhan Mehmet Celik|Selen Guney|69E74D0B-59D7-4381-9564-E8B70EC443E4|doubles
20141218|0:33|27|Alexander Butovetstkiy|Gusel Yarmeeva|25|Mehmet Capar [3]|Dilara Subasi|69E74D0B-59D7-4381-9564-E8B70EC443E4|doubles
20141218|0:33|25|Alexander Butovetstkiy|Gusel Yarmeeva|23|Mehmet Capar [3]|Dilara Subasi|69E74D0B-59D7-4381-9564-E8B70EC443E4|doubles
20141218|0:23|21|Pierrick Deschnaux|Tiffany Girona|19|Berk Avci|Sevval Buse Alsoy|69E74D0B-59D7-4381-9564-E8B70EC443E4|doubles
20141218|0:23|21|Pierrick Deschnaux|Tiffany Girona|8|Berk Avci|Sevval Buse Alsoy|69E74D0B-59D7-4381-9564-E8B70EC443E4|doubles
20141218|0:23|21|Igor Bjelan |Milica Simic|19|Osman Uyhan|Kübra Karatas|69E74D0B-59D7-4381-9564-E8B70EC443E4|doubles
20141218|0:23|21|Igor Bjelan |Milica Simic|18|Osman Uyhan|Kübra Karatas|69E74D0B-59D7-4381-9564-E8B70EC443E4|doubles
20141218|0:31|21|Fayzullojon Bakhshilloev|none|19|Cahid Ali Hasanov|none|69E74D0B-59D7-4381-9564-E8B70EC443E4|singles
20141218|0:31|18|Fayzullojon Bakhshilloev|none|21|Cahid Ali Hasanov|none|69E74D0B-59D7-4381-9564-E8B70EC443E4|singles
20141218|0:31|21|Fayzullojon Bakhshilloev|none|14|Cahid Ali Hasanov|none|69E74D0B-59D7-4381-9564-E8B70EC443E4|singles
20141218|0:20|21|Nikolaj Persson|none|19|Murat Saka|none|69E74D0B-59D7-4381-9564-E8B70EC443E4|singles
20141218|0:20|21|Nikolaj Persson|none|8|Murat Saka|none|69E74D0B-59D7-4381-9564-E8B70EC443E4|singles
20141218|0:22|21|Ömer Altinkopru|none|19|Kanan Rzayev [15]|none|69E74D0B-59D7-4381-9564-E8B70EC443E4|singles
20141218|0:22|21|Ömer Altinkopru|none|11|Kanan Rzayev [15]|none|69E74D0B-59D7-4381-9564-E8B70EC443E4|singles
20141218|0:13|21|Gergin Nedyalkov |none|4|Husam Alnaies|none|69E74D0B-59D7-4381-9564-E8B70EC443E4|singles
20141218|0:13|21|Gergin Nedyalkov |none|5|Husam Alnaies|none|69E74D0B-59D7-4381-9564-E8B70EC443E4|singles
20141218|0:15|21|Ramazan Tekdemİr|none|8|Tural Rasulov|none|69E74D0B-59D7-4381-9564-E8B70EC443E4|singles
20141218|0:15|21|Ramazan Tekdemİr|none|5|Tural Rasulov|none|69E74D0B-59D7-4381-9564-E8B70EC443E4|singles
20141218|0:21|21|Magnus Sahlberg|none|11|Amrullo Bakhshullaev|none|69E74D0B-59D7-4381-9564-E8B70EC443E4|singles
20141218|0:21|21|Magnus Sahlberg|none|16|Amrullo Bakhshullaev|none|69E74D0B-59D7-4381-9564-E8B70EC443E4|singles
20141218|0:59|14|Haktan Doğan|none|21|Nathan Laemmel|none|69E74D0B-59D7-4381-9564-E8B70EC443E4|singles
20141218|0:59|22|Haktan Doğan|none|20|Nathan Laemmel|none|69E74D0B-59D7-4381-9564-E8B70EC443E4|singles
20141218|0:59|21|Haktan Doğan|none|15|Nathan Laemmel|none|69E74D0B-59D7-4381-9564-E8B70EC443E4|singles
20141218|0:17|21|Oguzhan Mehmet Celik|none|9|Abdulsamad Alsubaih|none|69E74D0B-59D7-4381-9564-E8B70EC443E4|singles
20141218|0:17|21|Oguzhan Mehmet Celik|none|7|Abdulsamad Alsubaih|none|69E74D0B-59D7-4381-9564-E8B70EC443E4|singles
20141218|0:20|21|Tanguy Citron |none|5|Kubilay Sadi|none|69E74D0B-59D7-4381-9564-E8B70EC443E4|singles
20141218|0:20|21|Tanguy Citron |none|14|Kubilay Sadi|none|69E74D0B-59D7-4381-9564-E8B70EC443E4|singles
20141218|0:16|21|Alexander Butovetstkiy |none|9|Orkhan Qalandarov|none|69E74D0B-59D7-4381-9564-E8B70EC443E4|singles
20141218|0:16|21|Alexander Butovetstkiy |none|6|Orkhan Qalandarov|none|69E74D0B-59D7-4381-9564-E8B70EC443E4|singles
20141218|0:40|19|Murathan Eken|none|21|Jonathan Persson [11]|none|69E74D0B-59D7-4381-9564-E8B70EC443E4|singles
20141218|0:40|23|Murathan Eken|none|21|Jonathan Persson [11]|none|69E74D0B-59D7-4381-9564-E8B70EC443E4|singles
20141218|0:40|21|Murathan Eken|none|19|Jonathan Persson [11]|none|69E74D0B-59D7-4381-9564-E8B70EC443E4|singles
20141218|0:03|3|Oktay Aydin|none|2|Hasan Makki Ali Alnaies|none|69E74D0B-59D7-4381-9564-E8B70EC443E4|singles
20141218|0:03|Walkover Win|Oktay Aydin|none|Walkover Loss|Hasan Makki Ali Alnaies|none|69E74D0B-59D7-4381-9564-E8B70EC443E4|singles
