date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20190125|0:34|19|Neil Bhabuta|Lisa Curtin|21|Alvin Palm|Ida Melkerhed|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:34|21|Neil Bhabuta|Lisa Curtin|12|Alvin Palm|Ida Melkerhed|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:34|21|Neil Bhabuta|Lisa Curtin|17|Alvin Palm|Ida Melkerhed|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:23|21|Christian Faust Kjær|Frederikke Østergaard|4|Carl Claesson|Sofia Björck|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:23|21|Christian Faust Kjær|Frederikke Østergaard|8|Carl Claesson|Sofia Björck|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:34|21|Martin Zuazola|Maria Otegui|17|Aybars Akeren|Bahar Sabanci|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:34|12|Martin Zuazola|Maria Otegui|21|Aybars Akeren|Bahar Sabanci|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:34|22|Martin Zuazola|Maria Otegui|20|Aybars Akeren|Bahar Sabanci|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:51|23|Jarne Schlevoigt|Julia Meyer|25|Jerome Pauquet|Kim Schmidt|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:51|21|Jarne Schlevoigt|Julia Meyer|12|Jerome Pauquet|Kim Schmidt|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:51|21|Jarne Schlevoigt|Julia Meyer|19|Jerome Pauquet|Kim Schmidt|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:28|21|Igor Pushkarev|Aleksandra Chushkina|14|Marcos Rodriguez|Rio Abril|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:28|21|Igor Pushkarev|Aleksandra Chushkina|13|Marcos Rodriguez|Rio Abril|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:02|24|Artem Kamalov|Alisa Kironda|22|Danylo Shevchuk|Amina Lysenko|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:02|21|Artem Kamalov|Alisa Kironda|14|Danylo Shevchuk|Amina Lysenko|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:19|21|Boris Panfilov|Valeriya Isakova|8|Karl Sufryd|Antonia Kuntz|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:19|21|Boris Panfilov|Valeriya Isakova|11|Karl Sufryd|Antonia Kuntz|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:21|21|Simon Sandin|Elin Boman|14|Julian Blaumoser|Cara Siebrecht|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:21|21|Simon Sandin|Elin Boman|16|Julian Blaumoser|Cara Siebrecht|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:28|20|Malik Bourakkadi|Tabea Tirschmann|22|Alexander Strandberg|Lovisa Neuber|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:28|21|Malik Bourakkadi|Tabea Tirschmann|14|Alexander Strandberg|Lovisa Neuber|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:28|21|Malik Bourakkadi|Tabea Tirschmann|12|Alexander Strandberg|Lovisa Neuber|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:38|16|Joseph Scott|Eleanor Butler|21|Andre Irpola|Nomin Sukhbaatar|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:38|21|Joseph Scott|Eleanor Butler|17|Andre Irpola|Nomin Sukhbaatar|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:38|21|Joseph Scott|Eleanor Butler|16|Andre Irpola|Nomin Sukhbaatar|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125||21|Ludwig Axelsson|Jessica Silvennoinen|14|Guillermo Figueras|Ana Caballero|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125||21|Ludwig Axelsson|Jessica Silvennoinen|12|Guillermo Figueras|Ana Caballero|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:27|21|Vladislav Dobychkin|Anna Khodyreva|9|Nadeem Dalvi|Megan Brierley|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:27|21|Vladislav Dobychkin|Anna Khodyreva|17|Nadeem Dalvi|Megan Brierley|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:26|21|Eric Ramstedt|Thea Roslin|16|Liam Bauwens|Luisa Pagliara|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:26|22|Eric Ramstedt|Thea Roslin|20|Liam Bauwens|Luisa Pagliara|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:27|21|Andrey Antropov|Ekaterina Kazantseva|15|Daniel Clarke|Rebecka Näslund|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:27|21|Andrey Antropov|Ekaterina Kazantseva|19|Daniel Clarke|Rebecka Näslund|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:42|22|Artur Manukian|Elizaveta Baranova|20|Daniel Mcmillan|Sophie Hillman|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:42|20|Artur Manukian|Elizaveta Baranova|22|Daniel Mcmillan|Sophie Hillman|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:42|21|Artur Manukian|Elizaveta Baranova|12|Daniel Mcmillan|Sophie Hillman|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:44|21|Jonathan Dresp|Michelle Kanschik|17|Pablo Murciano|Covadonga Menendez|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:44|18|Jonathan Dresp|Michelle Kanschik|21|Pablo Murciano|Covadonga Menendez|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:44|21|Jonathan Dresp|Michelle Kanschik|16|Pablo Murciano|Covadonga Menendez|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|doubles
20190125|0:48|13|Daniil Dubovenko|none|21|Martin Zuazola|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:48|21|Daniil Dubovenko|none|16|Martin Zuazola|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:48|21|Daniil Dubovenko|none|17|Martin Zuazola|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:30|21|Egor Borisov |none|15|Mario Kirisma|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:30|21|Egor Borisov |none|9|Mario Kirisma|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:28|21|Aymeric Tores|none|14|Ricardo Rettig|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:28|21|Aymeric Tores|none|8|Ricardo Rettig|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:27|21|Nicolas Hoareau |none|14|Isaac Weir|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:27|21|Nicolas Hoareau |none|11|Isaac Weir|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:44|6|Kilian Maurer |none|21|Simon Sandin|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:44|21|Kilian Maurer |none|9|Simon Sandin|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:44|21|Kilian Maurer |none|18|Simon Sandin|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:29|21|Justus Graumann|none|15|Artem Kamalov|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:29|21|Justus Graumann|none|14|Artem Kamalov|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:25|21|Maksim Ogloblin|none|19|William Vaughan|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:25|21|Maksim Ogloblin|none|8|William Vaughan|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:30|21|Ilya Kim |none|13|Adam Elmfeldt|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:30|21|Ilya Kim |none|12|Adam Elmfeldt|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:45|13|Oliver Butler|none|21|Anosch Ali|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:45|21|Oliver Butler|none|16|Anosch Ali|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:45|21|Oliver Butler|none|19|Anosch Ali|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:46|20|Vladislav Dobychkin |none|22|Emil Söderdahl|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:46|21|Vladislav Dobychkin |none|15|Emil Söderdahl|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:46|21|Vladislav Dobychkin |none|19|Emil Söderdahl|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:25|21|Cholan Kayan|none|13|Yannick Feltes|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:25|21|Cholan Kayan|none|10|Yannick Feltes|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:26|21|Tobias Mickel |none|17|Quentin Ronget|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:26|21|Tobias Mickel |none|14|Quentin Ronget|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:28|21|Kenneth Neumann|none|11|Liam Bauwens|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:28|21|Kenneth Neumann|none|12|Liam Bauwens|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:23|21|Guillermo Figueras|none|15|Andrey Antropov [14]|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
20190125|0:23|21|Guillermo Figueras|none|13|Andrey Antropov [14]|none|6A6FC63B-75A6-4CC8-83D1-91DBAFF63F3A|singles
