date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180125|0:01|21|Manuel Vazquez |none|11|Eysteinn Hognason|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:01|21|Manuel Vazquez |none|12|Eysteinn Hognason|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:16|21|Sachin Chandra Shekhara|none|10|Simon Orri Johannsson|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:16|21|Sachin Chandra Shekhara|none|16|Simon Orri Johannsson|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:30|21|Filip Budzel |none|14|Taatsiannguaq Pedersen|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:30|26|Filip Budzel |none|24|Taatsiannguaq Pedersen|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:26|24|Sequssuna Fleischer Schmidt|none|22|Kristjan Adalsteinsson|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:26|21|Sequssuna Fleischer Schmidt|none|13|Kristjan Adalsteinsson|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:27|21|Arturo Hernandez |none|13|Kristofer Darri Finnsson|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:27|23|Arturo Hernandez |none|21|Kristofer Darri Finnsson|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:47|15|Mathias Lund Hansen|none|21|Eidur Isak Broddason|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:47|21|Mathias Lund Hansen|none|12|Eidur Isak Broddason|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:47|23|Mathias Lund Hansen|none|21|Eidur Isak Broddason|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:25|21|David Jones |none|5|Andri Broddason|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:25|21|David Jones |none|8|Andri Broddason|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:43|21|Toke Ketwa-Driefer|none|13|Joseph Hulbert|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:43|16|Toke Ketwa-Driefer|none|21|Joseph Hulbert|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:43|21|Toke Ketwa-Driefer|none|17|Joseph Hulbert|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:30|21|Ondřej Král |none|7|Tobias Mund|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:30|21|Ondřej Král |none|12|Tobias Mund|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125||Walkover Win|Einar Sverrisson|none|Walkover Loss|Jhotiswaran Karupathevan|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:32|21|Leon Seiwald |none|15|Jens-Frederik Nielsen|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:32|21|Leon Seiwald |none|18|Jens-Frederik Nielsen|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:31|21|Robert Thor Henn|none|19|Richard Kuhl|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:31|21|Robert Thor Henn|none|11|Richard Kuhl|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:30|21|Michael Giesinger |none|13|Marcus Jansson|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:30|23|Michael Giesinger |none|21|Marcus Jansson|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:26|21|Marton Szerecz|none|13|Jonas Petkus|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:26|21|Marton Szerecz|none|7|Jonas Petkus|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:18|21|Mihkel Laanes |none|6|Brynjar Mar Ellertsson|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:18|21|Mihkel Laanes |none|5|Brynjar Mar Ellertsson|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:20|21|Philip Birker|none|10|Sigurdur Edvard Olafsson|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:20|21|Philip Birker|none|17|Sigurdur Edvard Olafsson|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:28|21|Talar Laa|none|18|Ignas Reznikas|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:28|21|Talar Laa|none|17|Ignas Reznikas|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:27|21|Bedrich Valenta |none|13|Ivar Oddsson|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:27|21|Bedrich Valenta |none|15|Ivar Oddsson|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:26|21|Alex Alcala Dominguez|none|11|Bjarni Thor Sverrisson|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:26|21|Alex Alcala Dominguez|none|5|Bjarni Thor Sverrisson|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:27|21|Ditlev Jaeger Holm |none|13|Daniel Johannesson|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:27|21|Ditlev Jaeger Holm |none|6|Daniel Johannesson|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125||Walkover Win|Patrick Bjerregaard|none|Walkover Loss|Sigurdur Sverrir Gunnarsson|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:29|21|Gergo Pytel |none|15|Mark Sames|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
20180125|0:29|21|Gergo Pytel |none|18|Mark Sames|none|6D470E9C-B7DF-4412-A7C4-61190AD43714|singles
