date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20171122|0:43|12|Sahar Rajabi|none|14|Manaal Tariq|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:43|12|Sahar Rajabi|none|10|Manaal Tariq|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:43|15|Sahar Rajabi|none|14|Manaal Tariq|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:43|11|Sahar Rajabi|none|8|Manaal Tariq|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:29|11|Hediyeh Shams |none|6|Nasim Safai|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:29|11|Hediyeh Shams |none|9|Nasim Safai|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:29|11|Hediyeh Shams |none|7|Nasim Safai|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:27|11|Paria Eskandari|none|9|Nastaran Karami|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:27|6|Paria Eskandari|none|11|Nastaran Karami|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:27|11|Paria Eskandari|none|8|Nastaran Karami|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:27|11|Paria Eskandari|none|7|Nastaran Karami|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:25|11|Taravat Alinezhad |none|3|Parnia Nabavi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:25|9|Taravat Alinezhad |none|11|Parnia Nabavi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:25|11|Taravat Alinezhad |none|5|Parnia Nabavi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:25|11|Taravat Alinezhad |none|7|Parnia Nabavi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:25|11|Fatemeh Mouneskhah|none|9|Fatemeh Babaei|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:25|11|Fatemeh Mouneskhah|none|7|Fatemeh Babaei|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:25|11|Fatemeh Mouneskhah|none|9|Fatemeh Babaei|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:26|11|Sahar Rajabi|none|7|Kimia Azadvari|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:26|11|Sahar Rajabi|none|13|Kimia Azadvari|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:26|11|Sahar Rajabi|none|9|Kimia Azadvari|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:26|11|Sahar Rajabi|none|7|Kimia Azadvari|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:23|11|Yeganeh Kermani |none|6|Romina Tajik|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:23|11|Yeganeh Kermani |none|4|Romina Tajik|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:23|11|Yeganeh Kermani |none|5|Romina Tajik|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:38|15|Mahsa Abdi|none|14|Saghar Rafei|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:38|11|Mahsa Abdi|none|13|Saghar Rafei|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:38|5|Mahsa Abdi|none|11|Saghar Rafei|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:38|11|Mahsa Abdi|none|7|Saghar Rafei|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:38|11|Mahsa Abdi|none|9|Saghar Rafei|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:28|11|Samin Abedkhojasteh |none|4|Yeganeh Tafreshi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:28|7|Samin Abedkhojasteh |none|11|Yeganeh Tafreshi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:28|11|Samin Abedkhojasteh |none|5|Yeganeh Tafreshi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:28|11|Samin Abedkhojasteh |none|6|Yeganeh Tafreshi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:40|13|Sina Javidiabdolahzadehaval|none|11|Parsa Shahbazi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:40|8|Sina Javidiabdolahzadehaval|none|11|Parsa Shahbazi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:40|7|Sina Javidiabdolahzadehaval|none|11|Parsa Shahbazi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:40|12|Sina Javidiabdolahzadehaval|none|10|Parsa Shahbazi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:40|11|Sina Javidiabdolahzadehaval|none|9|Parsa Shahbazi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:15|11|Ali Hosseinkhani|none|2|Nematullah Habibi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:15|11|Ali Hosseinkhani|none|3|Nematullah Habibi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:15|11|Ali Hosseinkhani|none|6|Nematullah Habibi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:33|11|Matin Moghimi|none|9|Syed Daanyaal Ali|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:33|12|Matin Moghimi|none|10|Syed Daanyaal Ali|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:33|7|Matin Moghimi|none|11|Syed Daanyaal Ali|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:33|11|Matin Moghimi|none|9|Syed Daanyaal Ali|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:18|11|Mehdi Ansari|none|5|Zana Ghaderi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:18|12|Mehdi Ansari|none|10|Zana Ghaderi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:18|11|Mehdi Ansari|none|8|Zana Ghaderi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:16|11|Alireza Karami|none|5|Najibullah Yousufi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:16|11|Alireza Karami|none|2|Najibullah Yousufi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:16|11|Alireza Karami|none|4|Najibullah Yousufi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:24|11|Mohamad Charmali|none|7|Amir Arsalan Omidi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:24|11|Mohamad Charmali|none|9|Amir Arsalan Omidi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:24|15|Mohamad Charmali|none|13|Amir Arsalan Omidi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:45|11|Amirhossein Noralyan |none|6|Sina Javidiabdolahzadehaval|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:45|13|Amirhossein Noralyan |none|15|Sina Javidiabdolahzadehaval|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:45|11|Amirhossein Noralyan |none|5|Sina Javidiabdolahzadehaval|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:45|11|Amirhossein Noralyan |none|13|Sina Javidiabdolahzadehaval|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:45|11|Amirhossein Noralyan |none|5|Sina Javidiabdolahzadehaval|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:15|11|Ali Hosseinkhani|none|7|Mohammad Amin Abedi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:15|11|Ali Hosseinkhani|none|5|Mohammad Amin Abedi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:15|11|Ali Hosseinkhani|none|9|Mohammad Amin Abedi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:33|11|Matin Moghimi|none|13|Pooya Heidari|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:33|11|Matin Moghimi|none|5|Pooya Heidari|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:33|11|Matin Moghimi|none|7|Pooya Heidari|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:33|3|Matin Moghimi|none|11|Pooya Heidari|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:33|13|Matin Moghimi|none|11|Pooya Heidari|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:20|11|Ali Bastani|none|6|Sabuhi Huseynov [3]|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:20|11|Ali Bastani|none|4|Sabuhi Huseynov [3]|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:20|11|Ali Bastani|none|3|Sabuhi Huseynov [3]|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:45|11|Mehdi Ansari|none|5|Nima Rostampourlagaldani|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:45|12|Mehdi Ansari|none|14|Nima Rostampourlagaldani|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:45|11|Mehdi Ansari|none|9|Nima Rostampourlagaldani|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:45|9|Mehdi Ansari|none|11|Nima Rostampourlagaldani|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:45|11|Mehdi Ansari|none|9|Nima Rostampourlagaldani|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:28|13|Amir Jabbari |none|11|Alireza Karami|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:28|11|Amir Jabbari |none|7|Alireza Karami|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:28|11|Amir Jabbari |none|6|Alireza Karami|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171122|0:12|11|Ali Bastani|Alireza Karami|0|Nematullah Habibi|Najibullah Yousufi|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|doubles
20171122|0:12|11|Ali Bastani|Alireza Karami|3|Nematullah Habibi|Najibullah Yousufi|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|doubles
20171122|0:12|11|Ali Bastani|Alireza Karami|2|Nematullah Habibi|Najibullah Yousufi|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|doubles
20171123|0:43|12|Sahar Rajabi|none|14|Manaal Tariq|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171123|0:43|12|Sahar Rajabi|none|10|Manaal Tariq|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171123|0:43|15|Sahar Rajabi|none|14|Manaal Tariq|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171123|0:43|11|Sahar Rajabi|none|8|Manaal Tariq|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171123|0:29|11|Hediyeh Shams |none|6|Nasim Safai|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171123|0:29|11|Hediyeh Shams |none|9|Nasim Safai|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171123|0:29|11|Hediyeh Shams |none|7|Nasim Safai|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171123|0:27|11|Paria Eskandari|none|9|Nastaran Karami|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171123|0:27|6|Paria Eskandari|none|11|Nastaran Karami|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171123|0:27|11|Paria Eskandari|none|8|Nastaran Karami|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171123|0:27|11|Paria Eskandari|none|7|Nastaran Karami|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171123|0:25|11|Taravat Alinezhad |none|3|Parnia Nabavi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171123|0:25|9|Taravat Alinezhad |none|11|Parnia Nabavi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171123|0:25|11|Taravat Alinezhad |none|5|Parnia Nabavi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171123|0:25|11|Taravat Alinezhad |none|7|Parnia Nabavi|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171123|0:25|11|Fatemeh Mouneskhah|none|9|Fatemeh Babaei|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171123|0:25|11|Fatemeh Mouneskhah|none|7|Fatemeh Babaei|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171123|0:25|11|Fatemeh Mouneskhah|none|9|Fatemeh Babaei|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171123|0:26|11|Sahar Rajabi|none|7|Kimia Azadvari|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171123|0:26|11|Sahar Rajabi|none|13|Kimia Azadvari|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171123|0:26|11|Sahar Rajabi|none|9|Kimia Azadvari|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
20171123|0:26|11|Sahar Rajabi|none|7|Kimia Azadvari|none|6E48C6E2-5A71-4168-BAE7-6F1B623B53B5|singles
