date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180322|0:34|21|Kai Ma|none|16|Paul Ouano|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:34|16|Kai Ma|none|21|Paul Ouano|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:34|21|Kai Ma|none|18|Paul Ouano|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:24|21|Yunzhi Chen|none|18|Connor Chin|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:24|21|Yunzhi Chen|none|16|Connor Chin|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:23|21|Aaron Hsu|none|17|Kyle To|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:23|21|Aaron Hsu|none|17|Kyle To|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:21|21|Wendy Zhang|none|10|Jasleen Kaur|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:21|21|Wendy Zhang|none|12|Jasleen Kaur|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:14|21|Brian Yang |none|5|Brian Heckel|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:14|21|Brian Yang |none|5|Brian Heckel|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322||Walkover Win|Talia Ng|none|Walkover Loss|Eunice Hermanto|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:22|21|Eliana Zhang|none|11|Yoko Ujike|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:22|21|Eliana Zhang|none|11|Yoko Ujike|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:18|21|Sharon Au|none|6|Yovella Petrucci|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:18|21|Sharon Au|none|9|Yovella Petrucci|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:19|21|Johnna Rymes|none|13|Noelle Yau|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:19|21|Johnna Rymes|none|14|Noelle Yau|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:36|14|Eason Wong|none|21|Anthony Tso|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:36|21|Eason Wong|none|16|Anthony Tso|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:36|21|Eason Wong|none|17|Anthony Tso|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:17|21|Emily Chan|none|7|Iona Gualdi|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:17|21|Emily Chan|none|4|Iona Gualdi|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:28|21|Kevin Wang|none|13|Stanley Feng [4]|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:28|21|Kevin Wang|none|14|Stanley Feng [4]|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:35|18|Noah Xu|none|21|Mateo Delmastro [3]|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:35|21|Noah Xu|none|19|Mateo Delmastro [3]|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:35|21|Noah Xu|none|13|Mateo Delmastro [3]|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:23|21|Clarence Chau|none|16|Isaac Su [2]|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:23|21|Clarence Chau|none|10|Isaac Su [2]|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:35|21|Kristian Chow|none|19|Kai Ma|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:35|6|Kristian Chow|none|21|Kai Ma|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:35|21|Kristian Chow|none|18|Kai Ma|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322||Walkover Win|Yunzhi Chen|none|Walkover Loss|Smit Patel|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:23|21|Aaron Hsu|none|16|Jett Ko|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:23|21|Aaron Hsu|none|16|Jett Ko|none|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|singles
20180322|0:42|24|Kevin Wang|Wendy Zhang|26|Connor Chin|Emily Chan|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|doubles
20180322|0:42|21|Kevin Wang|Wendy Zhang|15|Connor Chin|Emily Chan|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|doubles
20180322|0:42|21|Kevin Wang|Wendy Zhang|9|Connor Chin|Emily Chan|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|doubles
20180322|0:26|17|Jett Ko|Jasleen Kaur|21|Brian Heckel|Noelle Yau|6E8A9B11-DF6D-4EDA-8536-A8BA6B6837E6|doubles
