date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20161130||15|Paul Reynolds |Rachael Darragh|21|Nathan Rossiter|Emily Robinson|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|doubles
20161130||21|Paul Reynolds |Rachael Darragh|19|Nathan Rossiter|Emily Robinson|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|doubles
20161130||21|Paul Reynolds |Rachael Darragh|12|Nathan Rossiter|Emily Robinson|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|doubles
20161130||21|David Hong|Hope Warner|17|Tsung Fong Mo|Gean Sou Mo|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|doubles
20161130||22|David Hong|Hope Warner|20|Tsung Fong Mo|Gean Sou Mo|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|doubles
20161130||22|Alexander Dunn |none|20|George Priestman|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Alexander Dunn |none|16|George Priestman|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||24|Daniel Font|none|22|Heng Lin Ngan|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Daniel Font|none|14|Heng Lin Ngan|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|William Kitching|none|18|Joshua Young|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|William Kitching|none|15|Joshua Young|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||Walkover Win|Christopher Grimley|none|Walkover Loss|Viknesh Rajendran|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Richard Kuhl|none|3|Raymond Webster|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Richard Kuhl|none|2|Raymond Webster|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Kerri Scott|none|15|Gean Sou Mo|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Kerri Scott|none|15|Gean Sou Mo|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Woon Kok Hong|none|11|Nhat Nguyen [11]|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Woon Kok Hong|none|11|Nhat Nguyen [11]|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Sian Kelly|none|16|Kelly Stern|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Sian Kelly|none|14|Kelly Stern|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Steven Stallwood|Molly Chapman|13|Paul Reynolds [4]|Rachael Darragh|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|doubles
20161130||15|Steven Stallwood|Molly Chapman|21|Paul Reynolds [4]|Rachael Darragh|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|doubles
20161130||21|Steven Stallwood|Molly Chapman|16|Paul Reynolds [4]|Rachael Darragh|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|doubles
20161130||22|Yu Jen Chi |none|24|Matthew Grimley|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Yu Jen Chi |none|16|Matthew Grimley|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Yu Jen Chi |none|14|Matthew Grimley|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Freya Patel-Redfearn|none|14|Ciara Torrance|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Freya Patel-Redfearn|none|19|Ciara Torrance|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Juliane Piron|none|11|Emily Beach|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Juliane Piron|none|16|Emily Beach|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Christopher Grimley|none|16|Lukas Zevl [10]|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Christopher Grimley|none|14|Lukas Zevl [10]|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||Walkover Win|Oliver Baczala|Max Flynn|Walkover Loss|Yu Jen Chi [3]|Kuo Ching-Hung|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|doubles
20161130||21|Tsui-Yee Lau |none|17|Freya Patel-Redfearn|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Tsui-Yee Lau |none|11|Freya Patel-Redfearn|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Maryna Ilyinskaya |none|8|Rosemary Allen|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Maryna Ilyinskaya |none|11|Rosemary Allen|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Shang Kai Lin|Yang Po-Hsuan|14|Li Jinqiu [4]|Liu Zerun|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|doubles
20161130||21|Shang Kai Lin|Yang Po-Hsuan|15|Li Jinqiu [4]|Liu Zerun|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|doubles
20161130||21|Ciar Pringle|Caitlin Pringle|15|Joshua Young [3]|Grace Taylor|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|doubles
20161130||21|Ciar Pringle|Caitlin Pringle|12|Joshua Young [3]|Grace Taylor|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|doubles
20161130||21|Alexander Cook|none|14|David Walsh|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Alexander Cook|none|17|David Walsh|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||17|George Nicolaou|none|21|Harry Huang|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|George Nicolaou|none|6|Harry Huang|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|George Nicolaou|none|8|Harry Huang|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|David King|none|10|Scott Oates|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|David King|none|10|Scott Oates|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Joel Koenig |none|15|Martin Drabble|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Joel Koenig |none|16|Martin Drabble|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||16|Ciar Pringle|none|21|Zach Russ|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Ciar Pringle|none|10|Zach Russ|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||25|Ciar Pringle|none|23|Zach Russ|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Daniel Leers|none|12|Tsung Fong Mo|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Daniel Leers|none|17|Tsung Fong Mo|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Jonathan Dolan|none|12|Luke Pearce|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Jonathan Dolan|none|8|Luke Pearce|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Paige Butler |none|5|Jessica Li|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Paige Butler |none|16|Jessica Li|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Ciar Pringle|Caitlin Pringle|9|Felix Deblois-Beaucage|Nadianie Ouaqouaq-Bergeron|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|doubles
20161130||21|Ciar Pringle|Caitlin Pringle|14|Felix Deblois-Beaucage|Nadianie Ouaqouaq-Bergeron|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|doubles
20161130||23|David King|none|21|Joel Koenig [9]|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|David King|none|13|Joel Koenig [9]|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Jonathan Dolan|none|14|Rohan Midha [8]|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Jonathan Dolan|none|11|Rohan Midha [8]|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Mark Brady|none|7|William Kitching|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||20|Mark Brady|none|22|William Kitching|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Mark Brady|none|12|William Kitching|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Holly Newall|none|12|Grace Taylor|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Holly Newall|none|11|Grace Taylor|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Abigail Holden|none|11|Kerri Scott|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||24|Abigail Holden|none|22|Kerri Scott|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Jonathan Dolan|David Walsh|4|Luke Hill|David Poole|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|doubles
20161130||21|Jonathan Dolan|David Walsh|9|Luke Hill|David Poole|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|doubles
20161130||21|Mark Brady|Ciaran Chambers|9|Daniel Leers|Sam Lyle|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|doubles
20161130||21|Mark Brady|Ciaran Chambers|17|Daniel Leers|Sam Lyle|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|doubles
20161130||21|Grace King |none|18|Holly Newall|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||25|Grace King |none|23|Holly Newall|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161130||21|Rory Easton|David Hong|18|Mark Brady|Ciaran Chambers|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|doubles
20161130||18|Rory Easton|David Hong|21|Mark Brady|Ciaran Chambers|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|doubles
20161130||22|Rory Easton|David Hong|20|Mark Brady|Ciaran Chambers|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|doubles
20161201||15|Paul Reynolds |Rachael Darragh|21|Nathan Rossiter|Emily Robinson|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|doubles
20161201||21|Paul Reynolds |Rachael Darragh|19|Nathan Rossiter|Emily Robinson|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|doubles
20161201||21|Paul Reynolds |Rachael Darragh|12|Nathan Rossiter|Emily Robinson|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|doubles
20161201||21|David Hong|Hope Warner|17|Tsung Fong Mo|Gean Sou Mo|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|doubles
20161201||22|David Hong|Hope Warner|20|Tsung Fong Mo|Gean Sou Mo|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|doubles
20161201||22|Alexander Dunn |none|20|George Priestman|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161201||21|Alexander Dunn |none|16|George Priestman|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161201||24|Daniel Font|none|22|Heng Lin Ngan|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
20161201||21|Daniel Font|none|14|Heng Lin Ngan|none|6E9CFC52-FDCF-44D9-BFB1-A41F7340D3BB|singles
